cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
ALUMINUMPHOSPHIDE,CA,6,1997,Corn,1,Corn,1.24439102840286e-5,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Cotton,2,Cotton,NA,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Rice,3,Rice,7.490787e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Sorghum,4,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Soybeans,5,Soybeans,NA,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Sunflower,6,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Peanuts,10,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Tobacco,11,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Sweet Corn,12,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Mint,14,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Barley,21,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Durum Wheat,22,Wheat,8.23270400699348e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Spring Wheat,23,Wheat,8.23270400699348e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Winter Wheat,24,Wheat,8.23270400699348e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Other Small Grains,25,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Dbl Crop WinWht/Soybeans,26,Double,8.23270400699348e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Rye,27,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Oats,28,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Millet,29,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Speltz,30,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Canola,31,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Flaxseed,32,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Safflower,33,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Rape Seed,34,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Mustard,35,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Alfalfa,36,Alfalfa,2.167946e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Other Hay/Non Alfalfa,37,Pasture_and_hay,4.228331e-6,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Camelina,38,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Buckwheat,39,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Sugarbeets,41,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Dry Beans,42,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Potatoes,43,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Other Crops,44,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Sugarcane,45,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Sweet Potatoes,46,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Misc Vegs & Fruits,47,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Watermelons,48,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Onions,49,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Cucumbers,50,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Chick Peas,51,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Lentils,52,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Peas,53,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Tomatoes,54,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Caneberries,55,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Hops,56,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Herbs,57,Vegetables_and_fruit,1.723581518767e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Sod/Grass Seed,59,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Switchgrass,60,Not_surveyed,NA,1,0,2
ALUMINUMPHOSPHIDE,CA,6,1997,Fallow/Idle Cropland,61,Pasture_and_hay,4.228331e-6,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Pasture/Grass,62,Pasture_and_hay,4.228331e-6,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Forest,63,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Shrubland,64,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Barren,65,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Cherries,66,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Peaches,67,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Apples,68,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Grapes,69,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Christmas Trees,70,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Other Tree Crops,71,Other_crops,9.893816e-4,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Citrus,72,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Pecans,74,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Almonds,75,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Walnuts,76,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Pears,77,Orchards_and_grapes,0.008787743,0,0,3
ALUMINUMPHOSPHIDE,CA,6,1997,Water,83,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Wetlands,87,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Aquaculture,92,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Open Water,111,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Perennial Ice/Snow,112,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Developed/Open Space,121,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Developed/Low Intensity,122,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Developed/Med Intensity,123,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Developed/High Intensity,124,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Barren,131,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Deciduous Forest,141,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Evergreen Forest,142,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Mixed Forest,143,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Shrubland,152,Non_crop,NA,0,1,1
ALUMINUMPHOSPHIDE,CA,6,1997,Grassland Herbaceous,171,Non_crop,NA,0,1,1
