cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,AZ,4,2017,Corn,1,Corn,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Cotton,2,Cotton,9.96966075565955e-4,0,0,3
IMIDACLOPRID,AZ,4,2017,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Sorghum,4,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Soybeans,5,Soybeans,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Sunflower,6,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Peanuts,10,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Tobacco,11,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Sweet Corn,12,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Barley,21,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Durum Wheat,22,Wheat,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Spring Wheat,23,Wheat,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Winter Wheat,24,Wheat,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Dbl Crop WinWht/Soybeans,26,Double,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Canola,31,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Rape Seed,34,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Sugarbeets,41,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Dry Beans,42,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Potatoes,43,Vegetables_and_fruit,0.257197646144005,0,0,3
IMIDACLOPRID,AZ,4,2017,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Sugarcane,45,Other_crops,NA,0,0,3
IMIDACLOPRID,AZ,4,2017,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,AZ,4,2017,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
