cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,MN,27,2011,Corn,1,Corn,NA,0,0,3
IMIDACLOPRID,MN,27,2011,Cotton,2,Cotton,NA,0,0,3
IMIDACLOPRID,MN,27,2011,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,MN,27,2011,Sorghum,4,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Soybeans,5,Soybeans,0.0136232867188163,0,0,3
IMIDACLOPRID,MN,27,2011,Sunflower,6,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Peanuts,10,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Tobacco,11,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Sweet Corn,12,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Barley,21,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Durum Wheat,22,Wheat,4.42384851341615e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Spring Wheat,23,Wheat,4.42384851341615e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Winter Wheat,24,Wheat,4.42384851341615e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Dbl Crop WinWht/Soybeans,26,Double,0.0140656715701579,0,0,3
IMIDACLOPRID,MN,27,2011,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Canola,31,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Rape Seed,34,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,MN,27,2011,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,MN,27,2011,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Sugarbeets,41,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Dry Beans,42,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Potatoes,43,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Sugarcane,45,Other_crops,1.944082e-4,0,0,3
IMIDACLOPRID,MN,27,2011,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MN,27,2011,Watermelons,48,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Onions,49,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Cucumbers,50,Vegetables_and_fruit,0.02912448,0,0,3
IMIDACLOPRID,MN,27,2011,Chick Peas,51,Vegetables_and_fruit,0.02912448,0,0,3
