cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,MO,29,2009,Corn,1,Corn,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Cotton,2,Cotton,0.0415820965086321,0,0,3
IMIDACLOPRID,MO,29,2009,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Sorghum,4,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Soybeans,5,Soybeans,7.60104806158122e-4,0,0,3
IMIDACLOPRID,MO,29,2009,Sunflower,6,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Peanuts,10,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Tobacco,11,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Sweet Corn,12,Vegetables_and_fruit,6.835338e-4,0,0,3
IMIDACLOPRID,MO,29,2009,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Barley,21,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Durum Wheat,22,Wheat,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Spring Wheat,23,Wheat,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Winter Wheat,24,Wheat,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Dbl Crop WinWht/Soybeans,26,Double,7.60104806158122e-4,0,0,3
IMIDACLOPRID,MO,29,2009,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Canola,31,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Rape Seed,34,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,MO,29,2009,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,MO,29,2009,Sugarbeets,41,Other_crops,0.001242329,0,0,3
IMIDACLOPRID,MO,29,2009,Dry Beans,42,Vegetables_and_fruit,6.835338e-4,0,0,3
IMIDACLOPRID,MO,29,2009,Potatoes,43,Vegetables_and_fruit,6.835338e-4,0,0,3
IMIDACLOPRID,MO,29,2009,Other Crops,44,Not_surveyed,NA,1,0,2
