cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,NE,31,2008,Corn,1,Corn,4.70748102171352e-4,0,0,3
IMIDACLOPRID,NE,31,2008,Cotton,2,Cotton,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Sorghum,4,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Soybeans,5,Soybeans,0.00166801069503686,0,0,3
IMIDACLOPRID,NE,31,2008,Sunflower,6,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Peanuts,10,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Tobacco,11,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Sweet Corn,12,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Barley,21,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Durum Wheat,22,Wheat,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Spring Wheat,23,Wheat,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Winter Wheat,24,Wheat,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Dbl Crop WinWht/Soybeans,26,Double,0.00166801069503686,0,0,3
IMIDACLOPRID,NE,31,2008,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Canola,31,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Rape Seed,34,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Sugarbeets,41,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Dry Beans,42,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Potatoes,43,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Sugarcane,45,Other_crops,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Watermelons,48,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Onions,49,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Cucumbers,50,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Chick Peas,51,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Lentils,52,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Peas,53,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Tomatoes,54,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Caneberries,55,Vegetables_and_fruit,0.1569875,0,0,3
IMIDACLOPRID,NE,31,2008,Hops,56,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Herbs,57,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Sod/Grass Seed,59,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Switchgrass,60,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NE,31,2008,Fallow/Idle Cropland,61,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Pasture/Grass,62,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Forest,63,Non_crop,NA,0,1,1
IMIDACLOPRID,NE,31,2008,Shrubland,64,Non_crop,NA,0,1,1
IMIDACLOPRID,NE,31,2008,Barren,65,Non_crop,NA,0,1,1
IMIDACLOPRID,NE,31,2008,Cherries,66,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,NE,31,2008,Peaches,67,Orchards_and_grapes,NA,0,0,3
