cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,NY,36,2014,Corn,1,Corn,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Cotton,2,Cotton,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Sorghum,4,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Soybeans,5,Soybeans,0.0514893103742259,0,0,3
IMIDACLOPRID,NY,36,2014,Sunflower,6,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Peanuts,10,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Tobacco,11,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Sweet Corn,12,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Barley,21,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Durum Wheat,22,Wheat,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Spring Wheat,23,Wheat,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Winter Wheat,24,Wheat,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Dbl Crop WinWht/Soybeans,26,Double,0.0514893103742259,0,0,3
IMIDACLOPRID,NY,36,2014,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Canola,31,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Rape Seed,34,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Sugarbeets,41,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dry Beans,42,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Potatoes,43,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Sugarcane,45,Other_crops,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Watermelons,48,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Onions,49,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Cucumbers,50,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Chick Peas,51,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Lentils,52,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Peas,53,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Tomatoes,54,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Caneberries,55,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Hops,56,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Herbs,57,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Sod/Grass Seed,59,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Switchgrass,60,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Fallow/Idle Cropland,61,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Pasture/Grass,62,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Forest,63,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Shrubland,64,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Barren,65,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Cherries,66,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Peaches,67,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Apples,68,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Grapes,69,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Christmas Trees,70,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Other Tree Crops,71,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Citrus,72,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Pecans,74,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Almonds,75,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Walnuts,76,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Pears,77,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Water,83,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Wetlands,87,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Aquaculture,92,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Open Water,111,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Perennial Ice/Snow,112,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Developed/Open Space,121,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Developed/Low Intensity,122,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Developed/Med Intensity,123,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Developed/High Intensity,124,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Barren,131,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Deciduous Forest,141,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Evergreen Forest,142,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Mixed Forest,143,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Shrubland,152,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Grassland Herbaceous,171,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Grassland/Pasture,176,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Pasture/Hay,181,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Woody Wetlands,190,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Herbaceous Wetlands,195,Non_crop,NA,0,1,1
IMIDACLOPRID,NY,36,2014,Pistachios,204,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Triticale,205,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Carrots,206,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Asparagus,207,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Garlic,208,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Cantaloupes,209,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Prunes,210,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Olives,211,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Oranges,212,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Honeydew Melons,213,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Broccoli,214,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Peppers,216,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Pomegranates,217,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Nectarines,218,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Greens,219,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Plums,220,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Strawberries,221,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Squash,222,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Apricots,223,Orchards_and_grapes,0.02530797,0,0,3
IMIDACLOPRID,NY,36,2014,Vetch,224,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Dbl Crop WinWht/Corn,225,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Oats/Corn,226,Double,NA,0.5,0,3
IMIDACLOPRID,NY,36,2014,Lettuce,227,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Pumpkins,229,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Lettuce/Durum Wht,230,Double,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Lettuce/Cantaloupe,231,Double,0.03580148,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Lettuce/Cotton,232,Double,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Lettuce/Barley,233,Double,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Durum Wht/Sorghum,234,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Barley/Sorghum,235,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop WinWht/Sorghum,236,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Barley/Corn,237,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop WinWht/Cotton,238,Double,NA,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Soybeans/Cotton,239,Double,0.0514893103742259,0,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Soybeans/Oats,240,Double,0.0514893103742259,0.5,0,3
IMIDACLOPRID,NY,36,2014,Dbl Crop Corn/Soybeans,241,Double,0.0514893103742259,0,0,3
IMIDACLOPRID,NY,36,2014,Blueberries,242,Not_surveyed,NA,1,0,2
IMIDACLOPRID,NY,36,2014,Cabbage,243,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Cauliflower,244,Vegetables_and_fruit,0.01790074,0,0,3
IMIDACLOPRID,NY,36,2014,Celery,245,Vegetables_and_fruit,0.01790074,0,0,3
