cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,PA,42,2012,Corn,1,Corn,0.00118625524460887,0,0,3
IMIDACLOPRID,PA,42,2012,Cotton,2,Cotton,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,PA,42,2012,Sorghum,4,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Soybeans,5,Soybeans,0.00479881860992535,0,0,3
IMIDACLOPRID,PA,42,2012,Sunflower,6,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Peanuts,10,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Tobacco,11,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Sweet Corn,12,Vegetables_and_fruit,0.05180807,0,0,3
IMIDACLOPRID,PA,42,2012,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Barley,21,Other_crops,0.009434852,0,0,3
IMIDACLOPRID,PA,42,2012,Durum Wheat,22,Wheat,2.03181996191521e-4,0,0,3
IMIDACLOPRID,PA,42,2012,Spring Wheat,23,Wheat,2.03181996191521e-4,0,0,3
IMIDACLOPRID,PA,42,2012,Winter Wheat,24,Wheat,2.03181996191521e-4,0,0,3
IMIDACLOPRID,PA,42,2012,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Dbl Crop WinWht/Soybeans,26,Double,0.00500200060611687,0,0,3
IMIDACLOPRID,PA,42,2012,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,PA,42,2012,Canola,31,Other_crops,0.009434852,0,0,3
