cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,TN,47,2010,Corn,1,Corn,9.01843660639693e-5,0,0,3
IMIDACLOPRID,TN,47,2010,Cotton,2,Cotton,0.0373914169151798,0,0,3
IMIDACLOPRID,TN,47,2010,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,TN,47,2010,Sorghum,4,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Soybeans,5,Soybeans,0.00414383090744411,0,0,3
IMIDACLOPRID,TN,47,2010,Sunflower,6,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Peanuts,10,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Tobacco,11,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Sweet Corn,12,Vegetables_and_fruit,0.001416295,0,0,3
IMIDACLOPRID,TN,47,2010,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Barley,21,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Durum Wheat,22,Wheat,0.00385165208932198,0,0,3
IMIDACLOPRID,TN,47,2010,Spring Wheat,23,Wheat,0.00385165208932198,0,0,3
IMIDACLOPRID,TN,47,2010,Winter Wheat,24,Wheat,0.00385165208932198,0,0,3
IMIDACLOPRID,TN,47,2010,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Dbl Crop WinWht/Soybeans,26,Double,0.00799548299676609,0,0,3
IMIDACLOPRID,TN,47,2010,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Canola,31,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Rape Seed,34,Other_crops,0.03706583,0,0,3
IMIDACLOPRID,TN,47,2010,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,TN,47,2010,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,TN,47,2010,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,TN,47,2010,Buckwheat,39,Not_surveyed,NA,1,0,2
