cmpd_usgs,state_alpha,state_fips,year,Categories,value,crop_usgs,kg_ha,unsurveyed,noncrop,coverage
IMIDACLOPRID,WI,55,2003,Corn,1,Corn,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Cotton,2,Cotton,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Rice,3,Rice,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Sorghum,4,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Soybeans,5,Soybeans,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Sunflower,6,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Peanuts,10,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Tobacco,11,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Sweet Corn,12,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Pop or Orn Corn,13,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Mint,14,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Barley,21,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Durum Wheat,22,Wheat,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Spring Wheat,23,Wheat,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Winter Wheat,24,Wheat,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Other Small Grains,25,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Dbl Crop WinWht/Soybeans,26,Double,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Rye,27,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Oats,28,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Millet,29,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Speltz,30,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Canola,31,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Flaxseed,32,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Safflower,33,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Rape Seed,34,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Mustard,35,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Alfalfa,36,Alfalfa,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Other Hay/Non Alfalfa,37,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Camelina,38,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Buckwheat,39,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Sugarbeets,41,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Dry Beans,42,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Potatoes,43,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Other Crops,44,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Sugarcane,45,Other_crops,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Sweet Potatoes,46,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Misc Vegs & Fruits,47,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Watermelons,48,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Onions,49,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Cucumbers,50,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Chick Peas,51,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Lentils,52,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Peas,53,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Tomatoes,54,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Caneberries,55,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Hops,56,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Herbs,57,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Clover/Wildflowers,58,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Sod/Grass Seed,59,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Switchgrass,60,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Fallow/Idle Cropland,61,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Pasture/Grass,62,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Forest,63,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Shrubland,64,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Barren,65,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Cherries,66,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Peaches,67,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Apples,68,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Grapes,69,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Christmas Trees,70,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Other Tree Crops,71,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Citrus,72,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Pecans,74,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Almonds,75,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Walnuts,76,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Pears,77,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Water,83,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Wetlands,87,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Aquaculture,92,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Open Water,111,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Perennial Ice/Snow,112,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Developed/Open Space,121,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Developed/Low Intensity,122,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Developed/Med Intensity,123,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Developed/High Intensity,124,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Barren,131,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Deciduous Forest,141,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Evergreen Forest,142,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Mixed Forest,143,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Shrubland,152,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Grassland Herbaceous,171,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Grassland/Pasture,176,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Pasture/Hay,181,Pasture_and_hay,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Woody Wetlands,190,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Herbaceous Wetlands,195,Non_crop,NA,0,1,1
IMIDACLOPRID,WI,55,2003,Pistachios,204,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Triticale,205,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Carrots,206,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Asparagus,207,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Garlic,208,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Cantaloupes,209,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Prunes,210,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Olives,211,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Oranges,212,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Honeydew Melons,213,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Broccoli,214,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Peppers,216,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Pomegranates,217,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Nectarines,218,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Greens,219,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Plums,220,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Strawberries,221,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Squash,222,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Apricots,223,Orchards_and_grapes,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Vetch,224,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Dbl Crop WinWht/Corn,225,Double,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Oats/Corn,226,Double,NA,0.5,0,3
IMIDACLOPRID,WI,55,2003,Lettuce,227,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Pumpkins,229,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Lettuce/Durum Wht,230,Double,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Lettuce/Cantaloupe,231,Double,0.04530316,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Lettuce/Cotton,232,Double,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Lettuce/Barley,233,Double,0.025005551,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Durum Wht/Sorghum,234,Double,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Barley/Sorghum,235,Double,0.004707942,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop WinWht/Sorghum,236,Double,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Barley/Corn,237,Double,0.002353971,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop WinWht/Cotton,238,Double,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Soybeans/Cotton,239,Double,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Soybeans/Oats,240,Double,NA,0.5,0,3
IMIDACLOPRID,WI,55,2003,Dbl Crop Corn/Soybeans,241,Double,NA,0,0,3
IMIDACLOPRID,WI,55,2003,Blueberries,242,Not_surveyed,NA,1,0,2
IMIDACLOPRID,WI,55,2003,Cabbage,243,Vegetables_and_fruit,0.02265158,0,0,3
IMIDACLOPRID,WI,55,2003,Cauliflower,244,Vegetables_and_fruit,0.02265158,0,0,3
