year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,AL,1,1,Corn,Corn,0.04553906,1.154644,7.377228,0,0,usgs,3
2011,AL,1,2,Cotton,Cotton,0.3360703,5.559849,17.1089,0,0,usgs,3
2011,AL,1,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,AL,1,4,Sorghum,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,5,Soybeans,Soybeans,0.03113525,0.9152718,0.838851,0,0,usgs,3
2011,AL,1,6,Sunflower,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,10,Peanuts,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,11,Tobacco,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,12,Sweet Corn,Vegetables_and_fruit,0.374008,3.9004,9.725716,0,0,usgs,3
2011,AL,1,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,21,Barley,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,22,Durum Wheat,Wheat,0.02735064,0.5589126,2.737023,0,0,usgs,3
2011,AL,1,23,Spring Wheat,Wheat,0.02735064,0.5589126,2.737023,0,0,usgs,3
2011,AL,1,24,Winter Wheat,Wheat,0.02735064,0.5589126,2.737023,0,0,usgs,3
2011,AL,1,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,26,Dbl Crop WinWht/Soybeans,Double,0.05848589,1.474184,3.575874,0,0,usgs,3
2011,AL,1,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,31,Canola,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,34,Rape Seed,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,36,Alfalfa,Alfalfa,0.01435163,0.3448015,0.05341211,0,0,usgs,3
2011,AL,1,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.001582881,0.004504955,0.004847641,0,0,interp_s,3
2011,AL,1,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,41,Sugarbeets,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,42,Dry Beans,Vegetables_and_fruit,0.374008,3.9004,9.725716,0,0,usgs,3
2011,AL,1,43,Potatoes,Vegetables_and_fruit,0.374008,3.9004,9.725716,0,0,usgs,3
2011,AL,1,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,45,Sugarcane,Other_crops,1.070033,6.507596,3.993623,0,0,usgs,3
2011,AL,1,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,AL,1,48,Watermelons,Vegetables_and_fruit,0.374008,3.9004,9.725716,0,0,usgs,3
2011,AL,1,49,Onions,Vegetables_and_fruit,0.374008,3.9004,9.725716,0,0,usgs,3
