year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2014,AZ,4,1,Corn,Corn,0.3224656,2.060903,13.32985,0,0,usgs,3
2014,AZ,4,2,Cotton,Cotton,0.1680995,1.159362,6.009923,0,0,usgs,3
2014,AZ,4,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2014,AZ,4,4,Sorghum,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2014,AZ,4,6,Sunflower,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,10,Peanuts,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,11,Tobacco,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,12,Sweet Corn,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,21,Barley,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,22,Durum Wheat,Wheat,0.01615413,0.6503535,3.285434,0,0,usgs,3
2014,AZ,4,23,Spring Wheat,Wheat,0.01615413,0.6503535,3.285434,0,0,usgs,3
2014,AZ,4,24,Winter Wheat,Wheat,0.01615413,0.6503535,3.285434,0,0,usgs,3
2014,AZ,4,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2014,AZ,4,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,31,Canola,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,34,Rape Seed,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,36,Alfalfa,Alfalfa,0.8274605,4.063443,2.368321,0,0,usgs,3
2014,AZ,4,37,Other Hay/Non Alfalfa,Pasture_and_hay,3.490928e-4,0.00116325,0.001367662,0,0,interp_s,3
2014,AZ,4,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,41,Sugarbeets,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,42,Dry Beans,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,43,Potatoes,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,45,Sugarcane,Other_crops,6.931421e-6,2.888092e-4,0.001386284,0,0,interp,3
2014,AZ,4,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,48,Watermelons,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,49,Onions,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,50,Cucumbers,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,51,Chick Peas,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,52,Lentils,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,53,Peas,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,54,Tomatoes,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,55,Caneberries,Vegetables_and_fruit,1.925619,17.87845,80.56552,0,0,usgs,3
2014,AZ,4,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,61,Fallow/Idle Cropland,Pasture_and_hay,3.490928e-4,0.00116325,0.001367662,0,0,interp_s,3
2014,AZ,4,62,Pasture/Grass,Pasture_and_hay,3.490928e-4,0.00116325,0.001367662,0,0,interp_s,3
2014,AZ,4,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,66,Cherries,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,67,Peaches,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,68,Apples,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,69,Grapes,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,AZ,4,72,Citrus,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,74,Pecans,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,75,Almonds,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,76,Walnuts,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,77,Pears,Orchards_and_grapes,0.5239904,3.535993,7.849251,0,0,usgs,3
2014,AZ,4,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2014,AZ,4,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
