year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2008,CA,6,1,Corn,Corn,0.6661242,5.201382,1.679741,0,0,usgs,3
2008,CA,6,2,Cotton,Cotton,1.640156,13.5998,13.94381,0,0,usgs,3
2008,CA,6,3,Rice,Rice,0.01311617,0.2566343,0.04354578,0,0,usgs,3
2008,CA,6,4,Sorghum,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2008,CA,6,6,Sunflower,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,10,Peanuts,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,11,Tobacco,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,12,Sweet Corn,Vegetables_and_fruit,1.920274,12.06038,23.05457,0,0,usgs,3
2008,CA,6,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CA,6,14,Mint,Vegetables_and_fruit,1.920274,12.06038,23.05457,0,0,usgs,3
2008,CA,6,21,Barley,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,22,Durum Wheat,Wheat,0.119788,1.044632,0.6154515,0,0,usgs,3
2008,CA,6,23,Spring Wheat,Wheat,0.119788,1.044632,0.6154515,0,0,usgs,3
2008,CA,6,24,Winter Wheat,Wheat,0.119788,1.044632,0.6154515,0,0,usgs,3
2008,CA,6,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CA,6,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2008,CA,6,27,Rye,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,28,Oats,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CA,6,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CA,6,31,Canola,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,32,Flaxseed,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
2008,CA,6,33,Safflower,Other_crops,0.2551578,2.904843,1.80231,0,0,usgs,3
