year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2008,CO,8,1,Corn,Corn,0.0409392,0.6761778,3.762533,0,0,usgs,3
2008,CO,8,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2008,CO,8,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2008,CO,8,4,Sorghum,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,5,Soybeans,Soybeans,0.04370988,1.451901,1.470495,0,0,usgs,3
2008,CO,8,6,Sunflower,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,10,Peanuts,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,11,Tobacco,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,12,Sweet Corn,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,21,Barley,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,22,Durum Wheat,Wheat,0.02811115,0.4905026,0.2120296,0,0,usgs,3
2008,CO,8,23,Spring Wheat,Wheat,0.02811115,0.4905026,0.2120296,0,0,usgs,3
2008,CO,8,24,Winter Wheat,Wheat,0.02811115,0.4905026,0.2120296,0,0,usgs,3
2008,CO,8,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,26,Dbl Crop WinWht/Soybeans,Double,0.07182103,1.942404,1.682524,0,0,usgs,3
2008,CO,8,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,31,Canola,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,34,Rape Seed,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,36,Alfalfa,Alfalfa,0.1149679,1.288008,1.627479,0,0,usgs,3
2008,CO,8,37,Other Hay/Non Alfalfa,Pasture_and_hay,1.156559e-4,0.001871067,0.001601538,0,0,interp_s,3
2008,CO,8,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,41,Sugarbeets,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,42,Dry Beans,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,43,Potatoes,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,45,Sugarcane,Other_crops,0.0849965,0.6365239,2.541426,0,0,usgs,3
2008,CO,8,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,48,Watermelons,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,49,Onions,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,50,Cucumbers,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,51,Chick Peas,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,52,Lentils,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,53,Peas,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,54,Tomatoes,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,55,Caneberries,Vegetables_and_fruit,0.8112353,5.636529,7.401216,0,0,usgs,3
2008,CO,8,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,61,Fallow/Idle Cropland,Pasture_and_hay,1.156559e-4,0.001871067,0.001601538,0,0,interp_s,3
2008,CO,8,62,Pasture/Grass,Pasture_and_hay,1.156559e-4,0.001871067,0.001601538,0,0,interp_s,3
2008,CO,8,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,66,Cherries,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,67,Peaches,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,68,Apples,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,69,Grapes,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,CO,8,72,Citrus,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,74,Pecans,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,75,Almonds,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,76,Walnuts,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,77,Pears,Orchards_and_grapes,0.6912676,4.893385,3.524297,0,0,usgs,3
2008,CO,8,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
2008,CO,8,142,Evergreen Forest,Non_crop,NA,NA,NA,0,1,NA,1
