year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,CT,9,1,Corn,Corn,0.2996348,7.261498,5.610423,0,0,usgs,3
2009,CT,9,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2009,CT,9,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,CT,9,4,Sorghum,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,5,Soybeans,Soybeans,0.005682445,0.2367685,1.136489,0,0,usgs,3
2009,CT,9,6,Sunflower,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,10,Peanuts,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,11,Tobacco,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,12,Sweet Corn,Vegetables_and_fruit,0.2660273,2.135064,11.9182,0,0,usgs,3
2009,CT,9,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,21,Barley,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,22,Durum Wheat,Wheat,NA,NA,NA,0,0,NA,3
2009,CT,9,23,Spring Wheat,Wheat,NA,NA,NA,0,0,NA,3
2009,CT,9,24,Winter Wheat,Wheat,NA,NA,NA,0,0,NA,3
2009,CT,9,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2009,CT,9,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,31,Canola,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,CT,9,34,Rape Seed,Other_crops,0.04348269,0.6667581,11.44678,0,0,usgs,3
2009,CT,9,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
