year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,FL,12,1,Corn,Corn,0.101101,2.002139,1.952963,0,0,usgs,3
2013,FL,12,2,Cotton,Cotton,0.5272893,16.87762,24.12912,0,0,usgs,3
2013,FL,12,3,Rice,Rice,3.602868,20.58782,90.07169,0,0,interp_s,3
2013,FL,12,4,Sorghum,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,5,Soybeans,Soybeans,0.1390955,3.702837,5.057752,0,0,usgs,3
2013,FL,12,6,Sunflower,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,10,Peanuts,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,11,Tobacco,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,12,Sweet Corn,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,21,Barley,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,22,Durum Wheat,Wheat,0.002028863,0.03111034,0.5340964,0,0,usgs,3
2013,FL,12,23,Spring Wheat,Wheat,0.002028863,0.03111034,0.5340964,0,0,usgs,3
2013,FL,12,24,Winter Wheat,Wheat,0.002028863,0.03111034,0.5340964,0,0,usgs,3
2013,FL,12,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,26,Dbl Crop WinWht/Soybeans,Double,0.1411244,3.733947,5.591848,0,0,usgs,3
2013,FL,12,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,31,Canola,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,34,Rape Seed,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,36,Alfalfa,Alfalfa,NA,NA,NA,0,0,NA,3
2013,FL,12,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.008553618,0.02237916,0.04060527,0,0,interp_s,3
2013,FL,12,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,41,Sugarbeets,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,42,Dry Beans,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,43,Potatoes,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,45,Sugarcane,Other_crops,1.01346,0.2769653,2.326727,0,0,usgs,3
2013,FL,12,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,48,Watermelons,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,49,Onions,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,50,Cucumbers,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,51,Chick Peas,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,52,Lentils,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,53,Peas,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,54,Tomatoes,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,55,Caneberries,Vegetables_and_fruit,3.056265,15.53354,31.79398,0,0,usgs,3
2013,FL,12,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,FL,12,61,Fallow/Idle Cropland,Pasture_and_hay,0.008553618,0.02237916,0.04060527,0,0,interp_s,3
2013,FL,12,62,Pasture/Grass,Pasture_and_hay,0.008553618,0.02237916,0.04060527,0,0,interp_s,3
2013,FL,12,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,FL,12,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2013,FL,12,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2013,FL,12,66,Cherries,Orchards_and_grapes,3.150594,34.68255,82.25809,0,0,usgs,3
2013,FL,12,67,Peaches,Orchards_and_grapes,3.150594,34.68255,82.25809,0,0,usgs,3
2013,FL,12,68,Apples,Orchards_and_grapes,3.150594,34.68255,82.25809,0,0,usgs,3
