year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,IA,19,1,Corn,Corn,0.06935997,1.437412,11.07861,0,0,usgs,3
2013,IA,19,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,IA,19,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,IA,19,4,Sorghum,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,5,Soybeans,Soybeans,0.06261957,1.517863,6.5492,0,0,usgs,3
2013,IA,19,6,Sunflower,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,10,Peanuts,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,11,Tobacco,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,12,Sweet Corn,Vegetables_and_fruit,0.2660602,7.09754,3.514835,0,0,usgs,3
2013,IA,19,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,21,Barley,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,22,Durum Wheat,Wheat,0.01526169,0.4137993,1.346296,0,0,usgs,3
2013,IA,19,23,Spring Wheat,Wheat,0.01526169,0.4137993,1.346296,0,0,usgs,3
2013,IA,19,24,Winter Wheat,Wheat,0.01526169,0.4137993,1.346296,0,0,usgs,3
2013,IA,19,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,26,Dbl Crop WinWht/Soybeans,Double,0.07788126,1.931662,7.895495,0,0,usgs,3
2013,IA,19,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,31,Canola,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,34,Rape Seed,Other_crops,0.002550823,0.05353358,0.5027229,0,0,usgs,3
2013,IA,19,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,IA,19,36,Alfalfa,Alfalfa,0.03968569,0.7907003,0.1898086,0,0,usgs,3
2013,IA,19,37,Other Hay/Non Alfalfa,Pasture_and_hay,3.335124e-4,7.617431e-4,0.001403257,0,0,interp_s,3
