year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,ID,16,1,Corn,Corn,0.07605897,0.2640854,1.685329,0,0,usgs,3
2011,ID,16,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2011,ID,16,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,ID,16,4,Sorghum,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2011,ID,16,6,Sunflower,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,10,Peanuts,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,11,Tobacco,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,12,Sweet Corn,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,21,Barley,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,22,Durum Wheat,Wheat,0.01589616,0.2165016,1.024101,0,0,usgs,3
2011,ID,16,23,Spring Wheat,Wheat,0.01589616,0.2165016,1.024101,0,0,usgs,3
2011,ID,16,24,Winter Wheat,Wheat,0.01589616,0.2165016,1.024101,0,0,usgs,3
2011,ID,16,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2011,ID,16,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,31,Canola,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,34,Rape Seed,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,36,Alfalfa,Alfalfa,0.02678119,0.6648098,0.1131307,0,0,usgs,3
2011,ID,16,37,Other Hay/Non Alfalfa,Pasture_and_hay,7.61175e-4,6.003383e-4,0.001084024,0,0,interp_s,3
2011,ID,16,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,41,Sugarbeets,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,42,Dry Beans,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,43,Potatoes,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,45,Sugarcane,Other_crops,0.2678066,1.468091,1.466112,0,0,usgs,3
2011,ID,16,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,48,Watermelons,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,49,Onions,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,50,Cucumbers,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,51,Chick Peas,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,52,Lentils,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,53,Peas,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,54,Tomatoes,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,55,Caneberries,Vegetables_and_fruit,0.6836672,5.553885,43.9018,0,0,usgs,3
2011,ID,16,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,ID,16,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
