year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,IN,18,1,Corn,Corn,0.04868289,1.029321,4.955176,0,0,usgs,3
2010,IN,18,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,IN,18,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,IN,18,4,Sorghum,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,5,Soybeans,Soybeans,0.02968911,0.6282176,6.708728,0,0,usgs,3
2010,IN,18,6,Sunflower,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,10,Peanuts,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,11,Tobacco,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,12,Sweet Corn,Vegetables_and_fruit,0.8283993,10.11197,13.98876,0,0,usgs,3
2010,IN,18,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,21,Barley,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,22,Durum Wheat,Wheat,0.002784402,0.07786117,0.2548097,0,0,usgs,3
2010,IN,18,23,Spring Wheat,Wheat,0.002784402,0.07786117,0.2548097,0,0,usgs,3
2010,IN,18,24,Winter Wheat,Wheat,0.002784402,0.07786117,0.2548097,0,0,usgs,3
2010,IN,18,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,26,Dbl Crop WinWht/Soybeans,Double,0.03247351,0.7060787,6.963538,0,0,usgs,3
2010,IN,18,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,31,Canola,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,34,Rape Seed,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,36,Alfalfa,Alfalfa,0.01812103,0.3376663,0.1393439,0,0,usgs,3
2010,IN,18,37,Other Hay/Non Alfalfa,Pasture_and_hay,4.831055e-4,0.001286818,0.00224343,0,0,interp_s,3
2010,IN,18,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,41,Sugarbeets,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,42,Dry Beans,Vegetables_and_fruit,0.8283993,10.11197,13.98876,0,0,usgs,3
2010,IN,18,43,Potatoes,Vegetables_and_fruit,0.8283993,10.11197,13.98876,0,0,usgs,3
2010,IN,18,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,45,Sugarcane,Other_crops,0.2078991,1.070938,4.448736,0,0,usgs,3
2010,IN,18,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,IN,18,48,Watermelons,Vegetables_and_fruit,0.8283993,10.11197,13.98876,0,0,usgs,3
