year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,KS,20,1,Corn,Corn,0.02475968,0.5222618,3.103594,0,0,usgs,3
2010,KS,20,2,Cotton,Cotton,0.4247441,5.913331,10.38907,0,0,usgs,3
2010,KS,20,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,KS,20,4,Sorghum,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,5,Soybeans,Soybeans,0.009947117,0.2306904,2.103322,0,0,usgs,3
2010,KS,20,6,Sunflower,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,10,Peanuts,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,11,Tobacco,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,12,Sweet Corn,Vegetables_and_fruit,0.3030662,1.832976,11.79853,0,0,usgs,3
2010,KS,20,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,21,Barley,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,22,Durum Wheat,Wheat,0.007434344,0.1722048,0.5300183,0,0,usgs,3
2010,KS,20,23,Spring Wheat,Wheat,0.007434344,0.1722048,0.5300183,0,0,usgs,3
2010,KS,20,24,Winter Wheat,Wheat,0.007434344,0.1722048,0.5300183,0,0,usgs,3
2010,KS,20,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,26,Dbl Crop WinWht/Soybeans,Double,0.01738146,0.4028952,2.63334,0,0,usgs,3
2010,KS,20,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,31,Canola,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,34,Rape Seed,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,36,Alfalfa,Alfalfa,0.1396335,3.317397,0.6657755,0,0,usgs,3
2010,KS,20,37,Other Hay/Non Alfalfa,Pasture_and_hay,3.297584e-5,4.840927e-4,2.910153e-4,0,0,interp_s,3
2010,KS,20,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,41,Sugarbeets,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,42,Dry Beans,Vegetables_and_fruit,0.3030662,1.832976,11.79853,0,0,usgs,3
2010,KS,20,43,Potatoes,Vegetables_and_fruit,0.3030662,1.832976,11.79853,0,0,usgs,3
2010,KS,20,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,45,Sugarcane,Other_crops,0.00887017,0.2126254,1.270763,0,0,usgs,3
2010,KS,20,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,KS,20,48,Watermelons,Vegetables_and_fruit,0.3030662,1.832976,11.79853,0,0,usgs,3
2010,KS,20,49,Onions,Vegetables_and_fruit,0.3030662,1.832976,11.79853,0,0,usgs,3
