year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,MA,25,1,Corn,Corn,0.05845316,1.435455,2.522579,0,0,usgs,3
2011,MA,25,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2011,MA,25,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,MA,25,4,Sorghum,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,5,Soybeans,Soybeans,0.0110213,0.289091,2.612897,0,0,usgs,3
2011,MA,25,6,Sunflower,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,10,Peanuts,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,11,Tobacco,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,12,Sweet Corn,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,21,Barley,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,22,Durum Wheat,Wheat,NA,NA,NA,0,0,NA,3
2011,MA,25,23,Spring Wheat,Wheat,NA,NA,NA,0,0,NA,3
2011,MA,25,24,Winter Wheat,Wheat,NA,NA,NA,0,0,NA,3
2011,MA,25,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2011,MA,25,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,31,Canola,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,34,Rape Seed,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,36,Alfalfa,Alfalfa,0.02480335,0.1982017,0.2891438,0,0,usgs,3
2011,MA,25,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.01553562,0.381877,0.06216564,0,0,interp_s,3
2011,MA,25,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,41,Sugarbeets,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,42,Dry Beans,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,43,Potatoes,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,45,Sugarcane,Other_crops,0.08765731,1.344126,23.0757,0,0,interp,3
2011,MA,25,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MA,25,48,Watermelons,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,49,Onions,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,50,Cucumbers,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
2011,MA,25,51,Chick Peas,Vegetables_and_fruit,2.321323,7.242006,23.73623,0,0,usgs,3
