year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,MD,24,1,Corn,Corn,0.02892643,0.7387546,3.339557,0,0,usgs,3
2010,MD,24,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,MD,24,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,MD,24,4,Sorghum,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,5,Soybeans,Soybeans,0.008447808,0.1962934,1.395416,0,0,usgs,3
2010,MD,24,6,Sunflower,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,10,Peanuts,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,11,Tobacco,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,12,Sweet Corn,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,21,Barley,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,22,Durum Wheat,Wheat,0.003185756,0.06274291,0.1054801,0,0,usgs,3
2010,MD,24,23,Spring Wheat,Wheat,0.003185756,0.06274291,0.1054801,0,0,usgs,3
2010,MD,24,24,Winter Wheat,Wheat,0.003185756,0.06274291,0.1054801,0,0,usgs,3
2010,MD,24,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,26,Dbl Crop WinWht/Soybeans,Double,0.01163356,0.2590363,1.500896,0,0,usgs,3
2010,MD,24,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,31,Canola,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,34,Rape Seed,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,36,Alfalfa,Alfalfa,0.04201738,0.7478531,0.3530085,0,0,usgs,3
2010,MD,24,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.01712437,0.1445488,0.1600096,0,0,interp_s,3
2010,MD,24,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,41,Sugarbeets,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,42,Dry Beans,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,43,Potatoes,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,45,Sugarcane,Other_crops,0.007983715,0.01586854,0.1085821,0,0,usgs,3
2010,MD,24,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,48,Watermelons,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,49,Onions,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,50,Cucumbers,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,51,Chick Peas,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,52,Lentils,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,53,Peas,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,54,Tomatoes,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,55,Caneberries,Vegetables_and_fruit,0.6558935,4.827219,9.034299,0,0,usgs,3
2010,MD,24,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,61,Fallow/Idle Cropland,Pasture_and_hay,0.01712437,0.1445488,0.1600096,0,0,interp_s,3
2010,MD,24,62,Pasture/Grass,Pasture_and_hay,0.01712437,0.1445488,0.1600096,0,0,interp_s,3
2010,MD,24,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2010,MD,24,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2010,MD,24,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2010,MD,24,66,Cherries,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,67,Peaches,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,68,Apples,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,69,Grapes,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,MD,24,72,Citrus,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,74,Pecans,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,75,Almonds,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
2010,MD,24,76,Walnuts,Orchards_and_grapes,4.610249,34.8659,24.9599,0,0,usgs,3
