year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2008,ME,23,1,Corn,Corn,0.02891825,0.6255305,0.1242966,0,0,usgs,3
2008,ME,23,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2008,ME,23,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2008,ME,23,4,Sorghum,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,5,Soybeans,Soybeans,0.005365371,0.1670167,0.02554939,0,0,interp_s,3
2008,ME,23,6,Sunflower,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,10,Peanuts,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,11,Tobacco,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,12,Sweet Corn,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,21,Barley,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,22,Durum Wheat,Wheat,NA,NA,NA,0,0,NA,3
2008,ME,23,23,Spring Wheat,Wheat,NA,NA,NA,0,0,NA,3
2008,ME,23,24,Winter Wheat,Wheat,NA,NA,NA,0,0,NA,3
2008,ME,23,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2008,ME,23,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,31,Canola,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,34,Rape Seed,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,36,Alfalfa,Alfalfa,0.01094613,0.2691587,0.04378452,0,0,interp,3
2008,ME,23,37,Other Hay/Non Alfalfa,Pasture_and_hay,3.783662e-4,0.01389296,0.002038201,0,0,interp_s,3
2008,ME,23,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,41,Sugarbeets,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,42,Dry Beans,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,43,Potatoes,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,45,Sugarcane,Other_crops,0.07641675,0.05845985,0.3282544,0,0,interp_s,3
2008,ME,23,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,48,Watermelons,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,49,Onions,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,50,Cucumbers,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,51,Chick Peas,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,52,Lentils,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,53,Peas,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,54,Tomatoes,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,55,Caneberries,Vegetables_and_fruit,0.3856951,3.544809,41.34182,0,0,usgs,3
2008,ME,23,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,ME,23,61,Fallow/Idle Cropland,Pasture_and_hay,3.783662e-4,0.01389296,0.002038201,0,0,interp_s,3
2008,ME,23,62,Pasture/Grass,Pasture_and_hay,3.783662e-4,0.01389296,0.002038201,0,0,interp_s,3
2008,ME,23,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2008,ME,23,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2008,ME,23,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2008,ME,23,66,Cherries,Orchards_and_grapes,4.034645,37.62115,20.80244,0,0,usgs,3
