year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,MN,27,1,Corn,Corn,0.04122924,1.031674,7.949015,0,0,usgs,3
2011,MN,27,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2011,MN,27,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,MN,27,4,Sorghum,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,5,Soybeans,Soybeans,0.06971714,1.962125,5.440492,0,0,usgs,3
2011,MN,27,6,Sunflower,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,10,Peanuts,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,11,Tobacco,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,12,Sweet Corn,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,21,Barley,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,22,Durum Wheat,Wheat,0.07163304,1.490307,0.8549215,0,0,usgs,3
2011,MN,27,23,Spring Wheat,Wheat,0.07163304,1.490307,0.8549215,0,0,usgs,3
2011,MN,27,24,Winter Wheat,Wheat,0.07163304,1.490307,0.8549215,0,0,usgs,3
2011,MN,27,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,26,Dbl Crop WinWht/Soybeans,Double,0.1413502,3.452431,6.295414,0,0,usgs,3
2011,MN,27,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,31,Canola,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,34,Rape Seed,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,36,Alfalfa,Alfalfa,0.0176314,0.4231222,0.06536661,0,0,usgs,3
2011,MN,27,37,Other Hay/Non Alfalfa,Pasture_and_hay,2.921901e-5,3.472313e-4,4.75303e-4,0,0,interp_s,3
2011,MN,27,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,41,Sugarbeets,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,42,Dry Beans,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,43,Potatoes,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,45,Sugarcane,Other_crops,0.2674674,0.81263320000000006,2.063472,0,0,usgs,3
2011,MN,27,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,MN,27,48,Watermelons,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,49,Onions,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,50,Cucumbers,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
2011,MN,27,51,Chick Peas,Vegetables_and_fruit,0.346765,5.955316,11.11303,0,0,usgs,3
