year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,MO,29,1,Corn,Corn,0.0344339,0.9216671,6.074756,0,0,usgs,3
2009,MO,29,2,Cotton,Cotton,1.402745,7.204337,27.6832,0,0,usgs,3
2009,MO,29,3,Rice,Rice,0.005010057,0.1236908,0.01509335,0,0,usgs,3
2009,MO,29,4,Sorghum,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,5,Soybeans,Soybeans,0.02127659,0.5778664,1.612883,0,0,usgs,3
2009,MO,29,6,Sunflower,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,10,Peanuts,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,11,Tobacco,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,12,Sweet Corn,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,21,Barley,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,22,Durum Wheat,Wheat,0.002503193,0.06268173,0.08941307,0,0,usgs,3
2009,MO,29,23,Spring Wheat,Wheat,0.002503193,0.06268173,0.08941307,0,0,usgs,3
2009,MO,29,24,Winter Wheat,Wheat,0.002503193,0.06268173,0.08941307,0,0,usgs,3
2009,MO,29,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,26,Dbl Crop WinWht/Soybeans,Double,0.02377979,0.6405481,1.702297,0,0,usgs,3
2009,MO,29,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,31,Canola,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,34,Rape Seed,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,36,Alfalfa,Alfalfa,0.2211404,3.616257,3.183671,0,0,usgs,3
2009,MO,29,37,Other Hay/Non Alfalfa,Pasture_and_hay,6.078953e-4,0.005170667,0.00178452,0,0,interp_s,3
2009,MO,29,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,41,Sugarbeets,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,42,Dry Beans,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,43,Potatoes,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,45,Sugarcane,Other_crops,0.04728017,0.4884779,1.888601,0,0,usgs,3
2009,MO,29,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,48,Watermelons,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,49,Onions,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,50,Cucumbers,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,51,Chick Peas,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,52,Lentils,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,53,Peas,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,54,Tomatoes,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,55,Caneberries,Vegetables_and_fruit,0.3586786,4.052972,3.079053,0,0,usgs,3
2009,MO,29,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MO,29,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
