year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,MT,30,1,Corn,Corn,0.0133402,0.4212258,2.303649,0,0,usgs,3
2009,MT,30,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2009,MT,30,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,MT,30,4,Sorghum,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,5,Soybeans,Soybeans,0.02455926,0.7596979,0.2114555,0,0,usgs,3
2009,MT,30,6,Sunflower,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,10,Peanuts,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,11,Tobacco,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,12,Sweet Corn,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,21,Barley,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,22,Durum Wheat,Wheat,0.008174643,0.08803271,0.3739245,0,0,usgs,3
2009,MT,30,23,Spring Wheat,Wheat,0.008174643,0.08803271,0.3739245,0,0,usgs,3
2009,MT,30,24,Winter Wheat,Wheat,0.008174643,0.08803271,0.3739245,0,0,usgs,3
2009,MT,30,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,26,Dbl Crop WinWht/Soybeans,Double,0.0327339,0.8477306,0.58538,0,0,usgs,3
2009,MT,30,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,31,Canola,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,34,Rape Seed,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,36,Alfalfa,Alfalfa,0.03588345,0.4579512,0.1550453,0,0,usgs,3
2009,MT,30,37,Other Hay/Non Alfalfa,Pasture_and_hay,1.633616e-5,2.113975e-4,3.211512e-4,0,0,interp_s,3
2009,MT,30,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,41,Sugarbeets,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,42,Dry Beans,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,43,Potatoes,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,45,Sugarcane,Other_crops,0.004187983,0.08207501,0.3936842,0,0,usgs,3
2009,MT,30,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,48,Watermelons,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,49,Onions,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,50,Cucumbers,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,51,Chick Peas,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,52,Lentils,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,53,Peas,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,54,Tomatoes,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,55,Caneberries,Vegetables_and_fruit,0.01836025,0.2848872,1.487225,0,0,usgs,3
2009,MT,30,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,61,Fallow/Idle Cropland,Pasture_and_hay,1.633616e-5,2.113975e-4,3.211512e-4,0,0,interp_s,3
2009,MT,30,62,Pasture/Grass,Pasture_and_hay,1.633616e-5,2.113975e-4,3.211512e-4,0,0,interp_s,3
2009,MT,30,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2009,MT,30,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2009,MT,30,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2009,MT,30,66,Cherries,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,67,Peaches,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,68,Apples,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,69,Grapes,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,MT,30,72,Citrus,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,74,Pecans,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,75,Almonds,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
2009,MT,30,76,Walnuts,Orchards_and_grapes,1.494746,17.60273,5.202326,0,0,usgs,3
