year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,NC,37,1,Corn,Corn,0.0256212,0.68491,5.749044,0,0,usgs,3
2010,NC,37,2,Cotton,Cotton,0.8835891,3.672327,11.49884,0,0,usgs,3
2010,NC,37,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,NC,37,4,Sorghum,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,5,Soybeans,Soybeans,0.05828206,0.7914498,1.092615,0,0,usgs,3
2010,NC,37,6,Sunflower,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,10,Peanuts,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,11,Tobacco,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,12,Sweet Corn,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,21,Barley,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,22,Durum Wheat,Wheat,0.01136085,0.2328402,1.135269,0,0,usgs,3
2010,NC,37,23,Spring Wheat,Wheat,0.01136085,0.2328402,1.135269,0,0,usgs,3
2010,NC,37,24,Winter Wheat,Wheat,0.01136085,0.2328402,1.135269,0,0,usgs,3
2010,NC,37,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,26,Dbl Crop WinWht/Soybeans,Double,0.06964291,1.02429,2.227884,0,0,usgs,3
2010,NC,37,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,31,Canola,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,34,Rape Seed,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,36,Alfalfa,Alfalfa,0.01396412,0.3327846,0.03841918,0,0,usgs,3
2010,NC,37,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.00308644,0.02433566,0.01216423,0,0,interp_s,3
2010,NC,37,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,41,Sugarbeets,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,42,Dry Beans,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,43,Potatoes,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,45,Sugarcane,Other_crops,1.341197,8.395737,9.912942,0,0,usgs,3
2010,NC,37,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,48,Watermelons,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,49,Onions,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,50,Cucumbers,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,51,Chick Peas,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,52,Lentils,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,53,Peas,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,54,Tomatoes,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,55,Caneberries,Vegetables_and_fruit,1.094663,10.30149,19.53612,0,0,usgs,3
2010,NC,37,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,61,Fallow/Idle Cropland,Pasture_and_hay,0.00308644,0.02433566,0.01216423,0,0,interp_s,3
2010,NC,37,62,Pasture/Grass,Pasture_and_hay,0.00308644,0.02433566,0.01216423,0,0,interp_s,3
2010,NC,37,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,66,Cherries,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,67,Peaches,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,68,Apples,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,69,Grapes,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,NC,37,72,Citrus,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,74,Pecans,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,75,Almonds,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,76,Walnuts,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,77,Pears,Orchards_and_grapes,3.073124,27.46757,21.85753,0,0,usgs,3
2010,NC,37,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2010,NC,37,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
