year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,ND,38,1,Corn,Corn,0.02447441,0.7082717,5.712788,0,0,usgs,3
2009,ND,38,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2009,ND,38,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,ND,38,4,Sorghum,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,5,Soybeans,Soybeans,0.1127874,2.914865,3.331848,0,0,usgs,3
2009,ND,38,6,Sunflower,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,10,Peanuts,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,11,Tobacco,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,12,Sweet Corn,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,21,Barley,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,22,Durum Wheat,Wheat,0.01265475,0.3031887,0.3514773,0,0,usgs,3
2009,ND,38,23,Spring Wheat,Wheat,0.01265475,0.3031887,0.3514773,0,0,usgs,3
2009,ND,38,24,Winter Wheat,Wheat,0.01265475,0.3031887,0.3514773,0,0,usgs,3
2009,ND,38,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,26,Dbl Crop WinWht/Soybeans,Double,0.1254421,3.218053,3.683325,0,0,usgs,3
2009,ND,38,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,31,Canola,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,34,Rape Seed,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,36,Alfalfa,Alfalfa,0.002573875,0.02664307,0.004897385,0,0,interp,3
2009,ND,38,37,Other Hay/Non Alfalfa,Pasture_and_hay,1.577674e-4,0.001897357,7.594978e-4,0,0,interp_s,3
2009,ND,38,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,41,Sugarbeets,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,42,Dry Beans,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,43,Potatoes,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,45,Sugarcane,Other_crops,0.06314823,1.010554,0.5022476,0,0,usgs,3
2009,ND,38,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,48,Watermelons,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,49,Onions,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,50,Cucumbers,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,51,Chick Peas,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,52,Lentils,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,53,Peas,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,54,Tomatoes,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,55,Caneberries,Vegetables_and_fruit,0.05807468,1.028224,5.7635,0,0,usgs,3
2009,ND,38,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,61,Fallow/Idle Cropland,Pasture_and_hay,1.577674e-4,0.001897357,7.594978e-4,0,0,interp_s,3
2009,ND,38,62,Pasture/Grass,Pasture_and_hay,1.577674e-4,0.001897357,7.594978e-4,0,0,interp_s,3
2009,ND,38,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2009,ND,38,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2009,ND,38,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2009,ND,38,66,Cherries,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,67,Peaches,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,68,Apples,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,69,Grapes,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,ND,38,72,Citrus,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,74,Pecans,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,75,Almonds,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
2009,ND,38,76,Walnuts,Orchards_and_grapes,NA,NA,NA,0,0,NA,3
