year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,NE,31,1,Corn,Corn,0.07917464,2.456446,10.06195,0,0,usgs,3
2013,NE,31,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,NE,31,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,NE,31,4,Sorghum,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,5,Soybeans,Soybeans,0.03216045,1.160201,4.821171,0,0,usgs,3
2013,NE,31,6,Sunflower,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,10,Peanuts,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,11,Tobacco,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,12,Sweet Corn,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,21,Barley,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,22,Durum Wheat,Wheat,0.0022324,0.07072474,0.205829,0,0,usgs,3
2013,NE,31,23,Spring Wheat,Wheat,0.0022324,0.07072474,0.205829,0,0,usgs,3
2013,NE,31,24,Winter Wheat,Wheat,0.0022324,0.07072474,0.205829,0,0,usgs,3
2013,NE,31,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,26,Dbl Crop WinWht/Soybeans,Double,0.03439285,1.230925,5.027,0,0,usgs,3
2013,NE,31,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,31,Canola,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,34,Rape Seed,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,36,Alfalfa,Alfalfa,0.06365634,1.543667,0.2705757,0,0,usgs,3
2013,NE,31,37,Other Hay/Non Alfalfa,Pasture_and_hay,4.845565e-4,0.001995958,0.007793718,0,0,interp_s,3
2013,NE,31,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,41,Sugarbeets,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,42,Dry Beans,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,43,Potatoes,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,45,Sugarcane,Other_crops,0.01611449,0.395693,2.813964,0,0,usgs,3
2013,NE,31,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NE,31,48,Watermelons,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,49,Onions,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,50,Cucumbers,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,51,Chick Peas,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
2013,NE,31,52,Lentils,Vegetables_and_fruit,1.586632,14.08771,60.31785,0,0,usgs,3
