year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,NM,35,1,Corn,Corn,0.1337409,0.5492253,3.686028,0,0,usgs,3
2013,NM,35,2,Cotton,Cotton,0.263325,2.821645,6.748514,0,0,usgs,3
2013,NM,35,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,NM,35,4,Sorghum,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,5,Soybeans,Soybeans,0.03318333,1.382639,6.636665,0,0,usgs,3
2013,NM,35,6,Sunflower,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,10,Peanuts,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,11,Tobacco,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,12,Sweet Corn,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,21,Barley,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,22,Durum Wheat,Wheat,0.0995562,3.943252,18.87423,0,0,usgs,3
2013,NM,35,23,Spring Wheat,Wheat,0.0995562,3.943252,18.87423,0,0,usgs,3
2013,NM,35,24,Winter Wheat,Wheat,0.0995562,3.943252,18.87423,0,0,usgs,3
2013,NM,35,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,26,Dbl Crop WinWht/Soybeans,Double,0.1327395,5.325891,25.51089,0,0,usgs,3
2013,NM,35,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,31,Canola,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,34,Rape Seed,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,36,Alfalfa,Alfalfa,0.06993076,1.212531,0.3173969,0,0,usgs,3
2013,NM,35,37,Other Hay/Non Alfalfa,Pasture_and_hay,2.557208e-5,6.987151e-5,1.113599e-4,0,0,interp_s,3
2013,NM,35,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,41,Sugarbeets,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,42,Dry Beans,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,43,Potatoes,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,45,Sugarcane,Other_crops,0.06599425,0.4993796,1.403196,0,0,usgs,3
2013,NM,35,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,48,Watermelons,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,49,Onions,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,50,Cucumbers,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,51,Chick Peas,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,52,Lentils,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,53,Peas,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,54,Tomatoes,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,55,Caneberries,Vegetables_and_fruit,0.6414612,5.825423,11.01216,0,0,usgs,3
2013,NM,35,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,61,Fallow/Idle Cropland,Pasture_and_hay,2.557208e-5,6.987151e-5,1.113599e-4,0,0,interp_s,3
2013,NM,35,62,Pasture/Grass,Pasture_and_hay,2.557208e-5,6.987151e-5,1.113599e-4,0,0,interp_s,3
2013,NM,35,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,NM,35,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2013,NM,35,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2013,NM,35,66,Cherries,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
2013,NM,35,67,Peaches,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
2013,NM,35,68,Apples,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
2013,NM,35,69,Grapes,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
2013,NM,35,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NM,35,72,Citrus,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
2013,NM,35,74,Pecans,Orchards_and_grapes,0.8210453,10.36885,22.66258,0,0,usgs,3
