year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2014,NV,32,1,Corn,Corn,0.4936736,2.374333,15.2112,0,0,usgs,3
2014,NV,32,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2014,NV,32,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2014,NV,32,4,Sorghum,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2014,NV,32,6,Sunflower,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,10,Peanuts,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,11,Tobacco,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,12,Sweet Corn,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,21,Barley,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,22,Durum Wheat,Wheat,0.07255008,1.686136,6.319748,0,0,usgs,3
2014,NV,32,23,Spring Wheat,Wheat,0.07255008,1.686136,6.319748,0,0,usgs,3
2014,NV,32,24,Winter Wheat,Wheat,0.07255008,1.686136,6.319748,0,0,usgs,3
2014,NV,32,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2014,NV,32,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,31,Canola,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,34,Rape Seed,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,36,Alfalfa,Alfalfa,0.1207237,2.448271,0.6331783,0,0,usgs,3
2014,NV,32,37,Other Hay/Non Alfalfa,Pasture_and_hay,NA,NA,NA,0,0,NA,3
2014,NV,32,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,41,Sugarbeets,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,42,Dry Beans,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,43,Potatoes,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,45,Sugarcane,Other_crops,0.0642589,0.03238961,0.002644209,0,0,interp_s,3
2014,NV,32,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,48,Watermelons,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,49,Onions,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,50,Cucumbers,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,51,Chick Peas,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,52,Lentils,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,53,Peas,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,54,Tomatoes,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,55,Caneberries,Vegetables_and_fruit,2.049768,11.19528,32.73187,0,0,usgs,3
2014,NV,32,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,61,Fallow/Idle Cropland,Pasture_and_hay,NA,NA,NA,0,0,NA,3
2014,NV,32,62,Pasture/Grass,Pasture_and_hay,NA,NA,NA,0,0,NA,3
2014,NV,32,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,66,Cherries,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,67,Peaches,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,68,Apples,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,69,Grapes,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2014,NV,32,72,Citrus,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,74,Pecans,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,75,Almonds,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,76,Walnuts,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,77,Pears,Orchards_and_grapes,1.156843,11.50315,8.748155,0,0,usgs,3
2014,NV,32,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2014,NV,32,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
