year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,NY,36,1,Corn,Corn,0.03932398,1.02273,9.57075,0,0,usgs,3
2013,NY,36,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,NY,36,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,NY,36,4,Sorghum,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,5,Soybeans,Soybeans,0.01490809,0.4025719,2.588845,0,0,usgs,3
2013,NY,36,6,Sunflower,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,10,Peanuts,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,11,Tobacco,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,12,Sweet Corn,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,21,Barley,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,22,Durum Wheat,Wheat,1.111973e-4,0.002133847,1.485627e-4,0,0,interp,3
2013,NY,36,23,Spring Wheat,Wheat,1.111973e-4,0.002133847,1.485627e-4,0,0,interp,3
2013,NY,36,24,Winter Wheat,Wheat,1.111973e-4,0.002133847,1.485627e-4,0,0,interp,3
2013,NY,36,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,26,Dbl Crop WinWht/Soybeans,Double,0.01501928,0.4047057,2.588993,0,0,interp,3
2013,NY,36,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,31,Canola,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,34,Rape Seed,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,36,Alfalfa,Alfalfa,0.007825326,0.07462613,0.09556216,0,0,usgs,3
2013,NY,36,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.007479215,0.1711484,0.03306898,0,0,interp_s,3
2013,NY,36,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,41,Sugarbeets,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,42,Dry Beans,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,43,Potatoes,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,45,Sugarcane,Other_crops,NA,NA,NA,0,0,NA,3
2013,NY,36,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,48,Watermelons,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,49,Onions,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,50,Cucumbers,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,51,Chick Peas,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,52,Lentils,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,53,Peas,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,54,Tomatoes,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,55,Caneberries,Vegetables_and_fruit,1.562082,13.20929,17.67239,0,0,usgs,3
2013,NY,36,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,NY,36,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
