year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,OH,39,1,Corn,Corn,0.03862373,0.9703483,5.734496,0,0,usgs,3
2009,OH,39,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2009,OH,39,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,OH,39,4,Sorghum,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,5,Soybeans,Soybeans,0.01142362,0.3158451,2.056834,0,0,usgs,3
2009,OH,39,6,Sunflower,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,10,Peanuts,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,11,Tobacco,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,12,Sweet Corn,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,21,Barley,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,22,Durum Wheat,Wheat,0.005391054,0.2069145,1.02854,0,0,usgs,3
2009,OH,39,23,Spring Wheat,Wheat,0.005391054,0.2069145,1.02854,0,0,usgs,3
2009,OH,39,24,Winter Wheat,Wheat,0.005391054,0.2069145,1.02854,0,0,usgs,3
2009,OH,39,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,26,Dbl Crop WinWht/Soybeans,Double,0.01681468,0.5227596,3.085374,0,0,usgs,3
2009,OH,39,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,31,Canola,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,34,Rape Seed,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,36,Alfalfa,Alfalfa,0.02421287,0.5066182,0.1668903,0,0,usgs,3
2009,OH,39,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.00203785,0.006185597,0.009337861,0,0,interp_s,3
2009,OH,39,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,41,Sugarbeets,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,42,Dry Beans,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,43,Potatoes,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,45,Sugarcane,Other_crops,0.2562477,0.5248678,3.813743,0,0,usgs,3
2009,OH,39,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,48,Watermelons,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,49,Onions,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,50,Cucumbers,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,51,Chick Peas,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,52,Lentils,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,53,Peas,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,54,Tomatoes,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,55,Caneberries,Vegetables_and_fruit,0.6032863,9.487421,6.123936,0,0,usgs,3
2009,OH,39,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,OH,39,61,Fallow/Idle Cropland,Pasture_and_hay,0.00203785,0.006185597,0.009337861,0,0,interp_s,3
2009,OH,39,62,Pasture/Grass,Pasture_and_hay,0.00203785,0.006185597,0.009337861,0,0,interp_s,3
2009,OH,39,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
