year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,OR,41,1,Corn,Corn,0.1009346,2.064745,10.59273,0,0,usgs,3
2013,OR,41,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,OR,41,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,OR,41,4,Sorghum,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2013,OR,41,6,Sunflower,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,10,Peanuts,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,11,Tobacco,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,12,Sweet Corn,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,21,Barley,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,22,Durum Wheat,Wheat,0.01947946,0.5607562,3.285339,0,0,usgs,3
2013,OR,41,23,Spring Wheat,Wheat,0.01947946,0.5607562,3.285339,0,0,usgs,3
2013,OR,41,24,Winter Wheat,Wheat,0.01947946,0.5607562,3.285339,0,0,usgs,3
2013,OR,41,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2013,OR,41,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,31,Canola,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,34,Rape Seed,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,36,Alfalfa,Alfalfa,0.01698155,0.4170712,0.06685053,0,0,usgs,3
2013,OR,41,37,Other Hay/Non Alfalfa,Pasture_and_hay,8.341699e-4,0.003514769,0.005650953,0,0,interp_s,3
2013,OR,41,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,41,Sugarbeets,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,42,Dry Beans,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,43,Potatoes,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,45,Sugarcane,Other_crops,0.02031325,0.5367271,0.5443638,0,0,usgs,3
2013,OR,41,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,48,Watermelons,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,49,Onions,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,50,Cucumbers,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,51,Chick Peas,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,52,Lentils,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,53,Peas,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,54,Tomatoes,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,55,Caneberries,Vegetables_and_fruit,2.525408,17.25699,17.03147,0,0,usgs,3
2013,OR,41,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,OR,41,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
