year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,PA,42,1,Corn,Corn,0.05556894,1.414258,5.393754,0,0,usgs,3
2011,PA,42,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2011,PA,42,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,PA,42,4,Sorghum,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,5,Soybeans,Soybeans,0.029462,0.8416554,4.692257,0,0,usgs,3
2011,PA,42,6,Sunflower,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,10,Peanuts,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,11,Tobacco,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,12,Sweet Corn,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,21,Barley,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,22,Durum Wheat,Wheat,6.061344e-4,0.01643865,0.07556597,0,0,usgs,3
2011,PA,42,23,Spring Wheat,Wheat,6.061344e-4,0.01643865,0.07556597,0,0,usgs,3
2011,PA,42,24,Winter Wheat,Wheat,6.061344e-4,0.01643865,0.07556597,0,0,usgs,3
2011,PA,42,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,26,Dbl Crop WinWht/Soybeans,Double,0.03006813,0.8580941,4.767823,0,0,usgs,3
2011,PA,42,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,31,Canola,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,34,Rape Seed,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,36,Alfalfa,Alfalfa,0.02112565,0.38561,0.1704768,0,0,usgs,3
2011,PA,42,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.001065744,0.02170311,0.005425136,0,0,interp_s,3
2011,PA,42,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,41,Sugarbeets,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,42,Dry Beans,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,43,Potatoes,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,45,Sugarcane,Other_crops,0.4679032,5.818111,7.397623,0,0,usgs,3
2011,PA,42,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,48,Watermelons,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,49,Onions,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,50,Cucumbers,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,51,Chick Peas,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,52,Lentils,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,53,Peas,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,54,Tomatoes,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,55,Caneberries,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
2011,PA,42,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,61,Fallow/Idle Cropland,Pasture_and_hay,0.001065744,0.02170311,0.005425136,0,0,interp_s,3
2011,PA,42,62,Pasture/Grass,Pasture_and_hay,0.001065744,0.02170311,0.005425136,0,0,interp_s,3
2011,PA,42,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,66,Cherries,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,67,Peaches,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,68,Apples,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,69,Grapes,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,72,Citrus,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,74,Pecans,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,75,Almonds,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,76,Walnuts,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,77,Pears,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,142,Evergreen Forest,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,143,Mixed Forest,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,152,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,171,Grassland Herbaceous,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,176,Grassland/Pasture,Pasture_and_hay,0.001065744,0.02170311,0.005425136,0,0,interp_s,3
2011,PA,42,181,Pasture/Hay,Pasture_and_hay,0.001065744,0.02170311,0.005425136,0,0,interp_s,3
2011,PA,42,190,Woody Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,195,Herbaceous Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2011,PA,42,204,Pistachios,Orchards_and_grapes,4.330427,34.9512,29.45542,0,0,usgs,3
2011,PA,42,205,Triticale,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,PA,42,206,Carrots,Vegetables_and_fruit,1.100757,9.851054,21.2427,0,0,usgs,3
