year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,SC,45,1,Corn,Corn,0.2373635,1.378287,7.971655,0,0,usgs,3
2013,SC,45,2,Cotton,Cotton,0.6439086,8.257189,13.34494,0,0,usgs,3
2013,SC,45,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,SC,45,4,Sorghum,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,5,Soybeans,Soybeans,0.1173542,1.968005,6.667621,0,0,usgs,3
2013,SC,45,6,Sunflower,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,10,Peanuts,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,11,Tobacco,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,12,Sweet Corn,Vegetables_and_fruit,0.4870136,9.241016,9.530891,0,0,usgs,3
2013,SC,45,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,21,Barley,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,22,Durum Wheat,Wheat,0.02120908,0.3279691,1.536026,0,0,usgs,3
2013,SC,45,23,Spring Wheat,Wheat,0.02120908,0.3279691,1.536026,0,0,usgs,3
2013,SC,45,24,Winter Wheat,Wheat,0.02120908,0.3279691,1.536026,0,0,usgs,3
2013,SC,45,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,26,Dbl Crop WinWht/Soybeans,Double,0.1385633,2.295975,8.203647,0,0,usgs,3
2013,SC,45,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,31,Canola,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,34,Rape Seed,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,36,Alfalfa,Alfalfa,0.05094903,1.252806,0.2037961,0,0,interp,3
2013,SC,45,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.01558325,0.04229738,0.07331782,0,0,interp_s,3
2013,SC,45,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,41,Sugarbeets,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
2013,SC,45,42,Dry Beans,Vegetables_and_fruit,0.4870136,9.241016,9.530891,0,0,usgs,3
2013,SC,45,43,Potatoes,Vegetables_and_fruit,0.4870136,9.241016,9.530891,0,0,usgs,3
2013,SC,45,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,SC,45,45,Sugarcane,Other_crops,0.8717458,1.694064,3.143306,0,0,usgs,3
