year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,SD,46,1,Corn,Corn,0.0211723,0.5986636,4.042272,0,0,usgs,3
2009,SD,46,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2009,SD,46,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,SD,46,4,Sorghum,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,5,Soybeans,Soybeans,0.1037759,2.64888,3.977269,0,0,usgs,3
2009,SD,46,6,Sunflower,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,10,Peanuts,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,11,Tobacco,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,12,Sweet Corn,Vegetables_and_fruit,0.06978602,0.8691369,1.688519,0,0,usgs,3
2009,SD,46,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,21,Barley,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,22,Durum Wheat,Wheat,0.005023475,0.15013,0.6355088,0,0,usgs,3
2009,SD,46,23,Spring Wheat,Wheat,0.005023475,0.15013,0.6355088,0,0,usgs,3
2009,SD,46,24,Winter Wheat,Wheat,0.005023475,0.15013,0.6355088,0,0,usgs,3
2009,SD,46,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,26,Dbl Crop WinWht/Soybeans,Double,0.1087993,2.79901,4.612778,0,0,usgs,3
2009,SD,46,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,31,Canola,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,34,Rape Seed,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,36,Alfalfa,Alfalfa,4.034113e-4,0.01011414,0.002262283,0,0,usgs,3
2009,SD,46,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.00282465,0.00875261,0.008467712,0,0,interp_s,3
2009,SD,46,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,41,Sugarbeets,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,42,Dry Beans,Vegetables_and_fruit,0.06978602,0.8691369,1.688519,0,0,usgs,3
2009,SD,46,43,Potatoes,Vegetables_and_fruit,0.06978602,0.8691369,1.688519,0,0,usgs,3
2009,SD,46,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,45,Sugarcane,Other_crops,0.04786791,1.280813,0.3488744,0,0,usgs,3
2009,SD,46,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,SD,46,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
