year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2012,TX,48,1,Corn,Corn,0.08879082,1.307168,11.53574,0,0,usgs,3
2012,TX,48,2,Cotton,Cotton,0.264621,2.926311,9.974743,0,0,usgs,3
2012,TX,48,3,Rice,Rice,0.04609939,1.186615,1.289753,0,0,usgs,3
2012,TX,48,4,Sorghum,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,5,Soybeans,Soybeans,0.3380524,2.88185,7.906983,0,0,usgs,3
2012,TX,48,6,Sunflower,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,10,Peanuts,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,11,Tobacco,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,12,Sweet Corn,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,21,Barley,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,22,Durum Wheat,Wheat,0.09661747,1.617596,2.716665,0,0,usgs,3
2012,TX,48,23,Spring Wheat,Wheat,0.09661747,1.617596,2.716665,0,0,usgs,3
2012,TX,48,24,Winter Wheat,Wheat,0.09661747,1.617596,2.716665,0,0,usgs,3
2012,TX,48,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,26,Dbl Crop WinWht/Soybeans,Double,0.4346699,4.499446,10.62365,0,0,usgs,3
2012,TX,48,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,31,Canola,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,34,Rape Seed,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,36,Alfalfa,Alfalfa,0.7108853,17.45566,2.876837,0,0,usgs,3
2012,TX,48,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.001208544,0.003989388,0.005846659,0,0,interp_s,3
2012,TX,48,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,41,Sugarbeets,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,42,Dry Beans,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,43,Potatoes,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,45,Sugarcane,Other_crops,0.06101629,1.07857,2.125423,0,0,usgs,3
2012,TX,48,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,48,Watermelons,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,49,Onions,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,50,Cucumbers,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,51,Chick Peas,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,52,Lentils,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,53,Peas,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,54,Tomatoes,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,55,Caneberries,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,61,Fallow/Idle Cropland,Pasture_and_hay,0.001208544,0.003989388,0.005846659,0,0,interp_s,3
2012,TX,48,62,Pasture/Grass,Pasture_and_hay,0.001208544,0.003989388,0.005846659,0,0,interp_s,3
2012,TX,48,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,66,Cherries,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,67,Peaches,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,68,Apples,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,69,Grapes,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,72,Citrus,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,74,Pecans,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,75,Almonds,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,76,Walnuts,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,77,Pears,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,142,Evergreen Forest,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,143,Mixed Forest,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,152,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,171,Grassland Herbaceous,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,176,Grassland/Pasture,Pasture_and_hay,0.001208544,0.003989388,0.005846659,0,0,interp_s,3
2012,TX,48,181,Pasture/Hay,Pasture_and_hay,0.001208544,0.003989388,0.005846659,0,0,interp_s,3
2012,TX,48,190,Woody Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,195,Herbaceous Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2012,TX,48,204,Pistachios,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,205,Triticale,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,206,Carrots,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,207,Asparagus,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,208,Garlic,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,209,Cantaloupes,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,210,Prunes,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,211,Olives,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,212,Oranges,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,213,Honeydew Melons,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,214,Broccoli,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,216,Peppers,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,217,Pomegranates,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,218,Nectarines,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,219,Greens,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,220,Plums,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,221,Strawberries,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,222,Squash,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,223,Apricots,Orchards_and_grapes,1.180294,16.56495,10.32828,0,0,usgs,3
2012,TX,48,224,Vetch,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,225,Dbl Crop WinWht/Corn,Double,0.1854083,2.924764,14.2524,0,0,usgs,3
2012,TX,48,226,Dbl Crop Oats/Corn,Double,NA,NA,NA,0.5,0,NA,3
2012,TX,48,227,Lettuce,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,229,Pumpkins,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,230,Dbl Crop Lettuce/Durum Wht,Double,0.8437994,9.411492,24.74873,0,0,usgs,3
2012,TX,48,231,Dbl Crop Lettuce/Cantaloupe,Double,1.494364,15.58779,44.06414,0,0,usgs,3
2012,TX,48,232,Dbl Crop Lettuce/Cotton,Double,1.011803,10.72021,32.00681,0,0,usgs,3
2012,TX,48,233,Dbl Crop Lettuce/Barley,Double,0.8081982,8.872466,24.15749,0,0,usgs,3
2012,TX,48,234,Dbl Crop Durum Wht/Sorghum,Double,0.1576338,2.696166,4.842087,0,0,usgs,3
2012,TX,48,235,Dbl Crop Barley/Sorghum,Double,0.1220326,2.157141,4.250845,0,0,usgs,3
2012,TX,48,236,Dbl Crop WinWht/Sorghum,Double,0.1576338,2.696166,4.842087,0,0,usgs,3
2012,TX,48,237,Dbl Crop Barley/Corn,Double,0.1498071,2.385738,13.66116,0,0,usgs,3
2012,TX,48,238,Dbl Crop WinWht/Cotton,Double,0.3612384,4.543907,12.69141,0,0,usgs,3
2012,TX,48,239,Dbl Crop Soybeans/Cotton,Double,0.6026734,5.808161,17.88173,0,0,usgs,3
2012,TX,48,240,Dbl Crop Soybeans/Oats,Double,NA,NA,NA,0.5,0,NA,3
2012,TX,48,241,Dbl Crop Corn/Soybeans,Double,0.4268433,4.189018,19.44272,0,0,usgs,3
2012,TX,48,242,Blueberries,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,243,Cabbage,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,244,Cauliflower,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,245,Celery,Vegetables_and_fruit,0.747182,7.793896,22.03207,0,0,usgs,3
2012,TX,48,246,Radishes,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,247,Turnips,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,248,Eggplants,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,249,Gourds,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,250,Cranberries,Not_surveyed,NA,NA,NA,1,0,NA,2
2012,TX,48,254,Dbl Crop Barley/Soybeans,Double,0.3990687,3.960421,10.03241,0,0,usgs,3
