year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2011,UT,49,1,Corn,Corn,0.3376604,0.4771529,1.739947,0,0,usgs,3
2011,UT,49,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2011,UT,49,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2011,UT,49,4,Sorghum,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2011,UT,49,6,Sunflower,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,10,Peanuts,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,11,Tobacco,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,12,Sweet Corn,Vegetables_and_fruit,0.4048441,5.084816,10.00834,0,0,usgs,3
2011,UT,49,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,21,Barley,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,22,Durum Wheat,Wheat,0.01024628,0.2449831,0.7529175,0,0,usgs,3
2011,UT,49,23,Spring Wheat,Wheat,0.01024628,0.2449831,0.7529175,0,0,usgs,3
2011,UT,49,24,Winter Wheat,Wheat,0.01024628,0.2449831,0.7529175,0,0,usgs,3
2011,UT,49,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2011,UT,49,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,31,Canola,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,34,Rape Seed,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,36,Alfalfa,Alfalfa,0.08653419,2.03676,0.3682738,0,0,usgs,3
2011,UT,49,37,Other Hay/Non Alfalfa,Pasture_and_hay,NA,NA,NA,0,0,NA,3
2011,UT,49,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2011,UT,49,41,Sugarbeets,Other_crops,0,0,0,0,0,usgs,3
2011,UT,49,42,Dry Beans,Vegetables_and_fruit,0.4048441,5.084816,10.00834,0,0,usgs,3
