year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2009,VA,51,1,Corn,Corn,0.04450231,1.045613,5.82582,0,0,usgs,3
2009,VA,51,2,Cotton,Cotton,0.7313607,3.269657,8.708975,0,0,usgs,3
2009,VA,51,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2009,VA,51,4,Sorghum,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
2009,VA,51,5,Soybeans,Soybeans,0.1860329,1.052593,1.057992,0,0,usgs,3
2009,VA,51,6,Sunflower,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
2009,VA,51,10,Peanuts,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
2009,VA,51,11,Tobacco,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
2009,VA,51,12,Sweet Corn,Vegetables_and_fruit,0.5022987,3.040515,4.80452,0,0,usgs,3
2009,VA,51,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,21,Barley,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
2009,VA,51,22,Durum Wheat,Wheat,0.01724682,0.5567387,2.018587,0,0,usgs,3
2009,VA,51,23,Spring Wheat,Wheat,0.01724682,0.5567387,2.018587,0,0,usgs,3
2009,VA,51,24,Winter Wheat,Wheat,0.01724682,0.5567387,2.018587,0,0,usgs,3
2009,VA,51,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,26,Dbl Crop WinWht/Soybeans,Double,0.2032797,1.609332,3.076579,0,0,usgs,3
2009,VA,51,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2009,VA,51,31,Canola,Other_crops,0.5540894,2.933207,6.584996,0,0,usgs,3
