year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,VT,50,1,Corn,Corn,0.05979052,1.509752,3.419431,0,0,usgs,3
2010,VT,50,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,VT,50,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,VT,50,4,Sorghum,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,5,Soybeans,Soybeans,0.01876459,0.2877339,4.93976,0,0,interp,3
2010,VT,50,6,Sunflower,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,10,Peanuts,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,11,Tobacco,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,12,Sweet Corn,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,21,Barley,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,22,Durum Wheat,Wheat,NA,NA,NA,0,0,NA,3
2010,VT,50,23,Spring Wheat,Wheat,NA,NA,NA,0,0,NA,3
2010,VT,50,24,Winter Wheat,Wheat,NA,NA,NA,0,0,NA,3
2010,VT,50,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2010,VT,50,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,31,Canola,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,34,Rape Seed,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,36,Alfalfa,Alfalfa,0.007663006,0.07624108,0.08695647,0,0,usgs,3
2010,VT,50,37,Other Hay/Non Alfalfa,Pasture_and_hay,NA,NA,NA,0,0,NA,3
2010,VT,50,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,41,Sugarbeets,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,42,Dry Beans,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,43,Potatoes,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,45,Sugarcane,Other_crops,NA,NA,NA,0,0,NA,3
2010,VT,50,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,VT,50,48,Watermelons,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,49,Onions,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,50,Cucumbers,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,51,Chick Peas,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
2010,VT,50,52,Lentils,Vegetables_and_fruit,2.479351,15.44783,18.39061,0,0,usgs,3
