year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2008,WA,53,1,Corn,Corn,0.01116316,0.253997,2.909601,0,0,usgs,3
2008,WA,53,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2008,WA,53,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2008,WA,53,4,Sorghum,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2008,WA,53,6,Sunflower,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,10,Peanuts,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,11,Tobacco,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,12,Sweet Corn,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,21,Barley,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,22,Durum Wheat,Wheat,0.008354835,0.06289637,0.09935878,0,0,usgs,3
2008,WA,53,23,Spring Wheat,Wheat,0.008354835,0.06289637,0.09935878,0,0,usgs,3
2008,WA,53,24,Winter Wheat,Wheat,0.008354835,0.06289637,0.09935878,0,0,usgs,3
2008,WA,53,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2008,WA,53,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,31,Canola,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,34,Rape Seed,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,36,Alfalfa,Alfalfa,0.05376836,0.4215827,0.6649095,0,0,usgs,3
2008,WA,53,37,Other Hay/Non Alfalfa,Pasture_and_hay,4.191799e-4,0.001572308,0.003083566,0,0,interp_s,3
2008,WA,53,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,41,Sugarbeets,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,42,Dry Beans,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,43,Potatoes,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,45,Sugarcane,Other_crops,0.05552197,0.1948139,0.3001187,0,0,interp,3
2008,WA,53,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,48,Watermelons,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,49,Onions,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,50,Cucumbers,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,51,Chick Peas,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,52,Lentils,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,53,Peas,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,54,Tomatoes,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,55,Caneberries,Vegetables_and_fruit,2.19543,6.223713,12.62223,0,0,usgs,3
2008,WA,53,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2008,WA,53,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
