year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,WI,55,1,Corn,Corn,0.05566226,1.339784,8.853831,0,0,usgs,3
2013,WI,55,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,WI,55,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,WI,55,4,Sorghum,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,5,Soybeans,Soybeans,0.03245065,0.857731,3.93707,0,0,usgs,3
2013,WI,55,6,Sunflower,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,10,Peanuts,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,11,Tobacco,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,12,Sweet Corn,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,21,Barley,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,22,Durum Wheat,Wheat,0.004987794,0.253974,0.3883348,0,0,usgs,3
2013,WI,55,23,Spring Wheat,Wheat,0.004987794,0.253974,0.3883348,0,0,usgs,3
2013,WI,55,24,Winter Wheat,Wheat,0.004987794,0.253974,0.3883348,0,0,usgs,3
2013,WI,55,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,26,Dbl Crop WinWht/Soybeans,Double,0.03743844,1.111705,4.325405,0,0,usgs,3
2013,WI,55,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,31,Canola,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,34,Rape Seed,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,36,Alfalfa,Alfalfa,0.009394823,0.2396997,0.04472286,0,0,usgs,3
2013,WI,55,37,Other Hay/Non Alfalfa,Pasture_and_hay,0.00251994,0.03068938,0.008052133,0,0,interp_s,3
2013,WI,55,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,41,Sugarbeets,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,42,Dry Beans,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,43,Potatoes,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,45,Sugarcane,Other_crops,0.01389406,0.3544485,0.05685455,0,0,interp,3
2013,WI,55,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,48,Watermelons,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,49,Onions,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,50,Cucumbers,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,51,Chick Peas,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,52,Lentils,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,53,Peas,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,54,Tomatoes,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,55,Caneberries,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,61,Fallow/Idle Cropland,Pasture_and_hay,0.00251994,0.03068938,0.008052133,0,0,interp_s,3
2013,WI,55,62,Pasture/Grass,Pasture_and_hay,0.00251994,0.03068938,0.008052133,0,0,interp_s,3
2013,WI,55,63,Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,64,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,65,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,66,Cherries,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,67,Peaches,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,68,Apples,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,69,Grapes,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,70,Christmas Trees,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,71,Other Tree Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,72,Citrus,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,74,Pecans,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,75,Almonds,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,76,Walnuts,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,77,Pears,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,83,Water,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,87,Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,92,Aquaculture,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,111,Open Water,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,112,Perennial Ice/Snow,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,121,Developed/Open Space,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,122,Developed/Low Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,123,Developed/Med Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,124,Developed/High Intensity,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,131,Barren,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,141,Deciduous Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,142,Evergreen Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,143,Mixed Forest,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,152,Shrubland,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,171,Grassland Herbaceous,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,176,Grassland/Pasture,Pasture_and_hay,0.00251994,0.03068938,0.008052133,0,0,interp_s,3
2013,WI,55,181,Pasture/Hay,Pasture_and_hay,0.00251994,0.03068938,0.008052133,0,0,interp_s,3
2013,WI,55,190,Woody Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,195,Herbaceous Wetlands,Non_crop,NA,NA,NA,0,1,NA,1
2013,WI,55,204,Pistachios,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,205,Triticale,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,206,Carrots,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,207,Asparagus,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,208,Garlic,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,209,Cantaloupes,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,210,Prunes,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,211,Olives,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,212,Oranges,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,213,Honeydew Melons,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,214,Broccoli,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,216,Peppers,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,217,Pomegranates,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,218,Nectarines,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,219,Greens,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WI,55,220,Plums,Orchards_and_grapes,2.857687,18.10873,13.89174,0,0,usgs,3
2013,WI,55,221,Strawberries,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
2013,WI,55,222,Squash,Vegetables_and_fruit,0.3810115,9.822821,13.72146,0,0,usgs,3
