year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2010,WV,54,1,Corn,Corn,0.1921619,5.026151,6.025349,0,0,usgs,3
2010,WV,54,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2010,WV,54,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2010,WV,54,4,Sorghum,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
2010,WV,54,5,Soybeans,Soybeans,0.02229438,0.6217728,3.425274,0,0,usgs,3
2010,WV,54,6,Sunflower,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
2010,WV,54,10,Peanuts,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
2010,WV,54,11,Tobacco,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
2010,WV,54,12,Sweet Corn,Vegetables_and_fruit,0.8215348,9.551041,13.3001,0,0,usgs,3
2010,WV,54,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,21,Barley,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
2010,WV,54,22,Durum Wheat,Wheat,0.004744419,0.08875741,0.1616668,0,0,usgs,3
2010,WV,54,23,Spring Wheat,Wheat,0.004744419,0.08875741,0.1616668,0,0,usgs,3
2010,WV,54,24,Winter Wheat,Wheat,0.004744419,0.08875741,0.1616668,0,0,usgs,3
2010,WV,54,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,26,Dbl Crop WinWht/Soybeans,Double,0.0270388,0.7105302,3.58694,0,0,usgs,3
2010,WV,54,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2010,WV,54,31,Canola,Other_crops,0.0164103,0.1896005,0.5974119,0,0,usgs,3
