year,state_alpha,state_fips,value,Categories,crop_usgs,kg_ha,ld50_ct_ha_bil,ld50_or_ha_bil,unsurveyed,noncrop,source,coverage
2013,WY,56,1,Corn,Corn,0.06146867,0.7724812,5.035871,0,0,usgs,3
2013,WY,56,2,Cotton,Cotton,NA,NA,NA,0,0,NA,3
2013,WY,56,3,Rice,Rice,NA,NA,NA,0,0,NA,3
2013,WY,56,4,Sorghum,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,5,Soybeans,Soybeans,NA,NA,NA,0,0,NA,3
2013,WY,56,6,Sunflower,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,10,Peanuts,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,11,Tobacco,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,12,Sweet Corn,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,13,Pop or Orn Corn,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,14,Mint,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,21,Barley,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,22,Durum Wheat,Wheat,0.03610412,0.7828227,2.070117,0,0,usgs,3
2013,WY,56,23,Spring Wheat,Wheat,0.03610412,0.7828227,2.070117,0,0,usgs,3
2013,WY,56,24,Winter Wheat,Wheat,0.03610412,0.7828227,2.070117,0,0,usgs,3
2013,WY,56,25,Other Small Grains,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,26,Dbl Crop WinWht/Soybeans,Double,NA,NA,NA,0,0,NA,3
2013,WY,56,27,Rye,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,28,Oats,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,29,Millet,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,30,Speltz,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,31,Canola,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,32,Flaxseed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,33,Safflower,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,34,Rape Seed,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,35,Mustard,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,36,Alfalfa,Alfalfa,0.07160272,1.639588,0.3245513,0,0,usgs,3
2013,WY,56,37,Other Hay/Non Alfalfa,Pasture_and_hay,2.009266e-4,4.492439e-4,3.899266e-4,0,0,interp_s,3
2013,WY,56,38,Camelina,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,39,Buckwheat,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,41,Sugarbeets,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,42,Dry Beans,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,43,Potatoes,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,44,Other Crops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,45,Sugarcane,Other_crops,0.02430882,0.4772961,2.549188,0,0,usgs,3
2013,WY,56,46,Sweet Potatoes,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,47,Misc Vegs & Fruits,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,48,Watermelons,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,49,Onions,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,50,Cucumbers,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,51,Chick Peas,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,52,Lentils,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,53,Peas,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,54,Tomatoes,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,55,Caneberries,Vegetables_and_fruit,1.3554060000000001,31.3724,18.2789,0,0,usgs,3
2013,WY,56,56,Hops,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,57,Herbs,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,58,Clover/Wildflowers,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,59,Sod/Grass Seed,Not_surveyed,NA,NA,NA,1,0,NA,2
2013,WY,56,60,Switchgrass,Not_surveyed,NA,NA,NA,1,0,NA,2
