"","CHAMPAIGN.Class","CHAMPAIGN.fieldacres","CHAMPAIGN.Commodity","CHAMPAIGN.Bin","CHAMPAIGN.Year","CHAMPAIGN.year","CHAMPAIGN.threshold","CHAMPAIGN.NASSacres","CHAMPAIGN.County"
"1",1,275520.713237737,"CORN","Corn",2008,2008,14,316550,"CHAMPAIGN"
"2",5,229152.006202239,"SOYBEANS","Soy",2008,2008,14,209668,"CHAMPAIGN"
"3",24,2500.9464489271,"WHEAT","Winter Wheat",2008,2008,14,3117,"CHAMPAIGN"
"5",28,27.1881643722284,"OATS","Row Crops",2008,2008,14,304,"CHAMPAIGN"
"6",36,20.2101550259876,"ALFALFA","Alfalfa",2008,2008,14,1475,"CHAMPAIGN"
"9",1,278916.487372543,"CORN","Corn",2008,2008,13,316550,"CHAMPAIGN"
"10",5,232165.045496133,"SOYBEANS","Soy",2008,2008,13,209668,"CHAMPAIGN"
"11",24,2599.05826607974,"WHEAT","Winter Wheat",2008,2008,13,3117,"CHAMPAIGN"
"13",28,28.088292476767,"OATS","Row Crops",2008,2008,13,304,"CHAMPAIGN"
"14",36,67.2635749056769,"ALFALFA","Alfalfa",2008,2008,13,1475,"CHAMPAIGN"
"17",1,280755.270787147,"CORN","Corn",2008,2008,12,316550,"CHAMPAIGN"
"18",5,233939.065024733,"SOYBEANS","Soy",2008,2008,12,209668,"CHAMPAIGN"
"19",24,2627.46124502448,"WHEAT","Winter Wheat",2008,2008,12,3117,"CHAMPAIGN"
"21",28,28.088292476767,"OATS","Row Crops",2008,2008,12,304,"CHAMPAIGN"
"22",36,81.1312700604675,"ALFALFA","Alfalfa",2008,2008,12,1475,"CHAMPAIGN"
"25",1,282546.970559379,"CORN","Corn",2008,2008,11,316550,"CHAMPAIGN"
"26",5,235689.991689054,"SOYBEANS","Soy",2008,2008,11,209668,"CHAMPAIGN"
"27",24,2686.41250913069,"WHEAT","Winter Wheat",2008,2008,11,3117,"CHAMPAIGN"
"29",28,28.088292476767,"OATS","Row Crops",2008,2008,11,304,"CHAMPAIGN"
"30",36,91.6316568437939,"ALFALFA","Alfalfa",2008,2008,11,1475,"CHAMPAIGN"
"33",1,283257.327232368,"CORN","Corn",2008,2008,10,316550,"CHAMPAIGN"
"34",5,236204.362398888,"SOYBEANS","Soy",2008,2008,10,209668,"CHAMPAIGN"
"35",24,2702.25678016788,"WHEAT","Winter Wheat",2008,2008,10,3117,"CHAMPAIGN"
"37",28,28.088292476767,"OATS","Row Crops",2008,2008,10,304,"CHAMPAIGN"
"38",36,91.8540514342865,"ALFALFA","Alfalfa",2008,2008,10,1475,"CHAMPAIGN"
"41",1,283457.162849414,"CORN","Corn",2008,2008,9,316550,"CHAMPAIGN"
"42",5,236366.477174533,"SOYBEANS","Soy",2008,2008,9,209668,"CHAMPAIGN"
"43",24,2704.04443450459,"WHEAT","Winter Wheat",2008,2008,9,3117,"CHAMPAIGN"
"45",28,28.088292476767,"OATS","Row Crops",2008,2008,9,304,"CHAMPAIGN"
"46",36,91.8540514342865,"ALFALFA","Alfalfa",2008,2008,9,1475,"CHAMPAIGN"
"49",1,283665.58285356,"CORN","Corn",2008,2008,8,316550,"CHAMPAIGN"
"50",5,236484.66136474,"SOYBEANS","Soy",2008,2008,8,209668,"CHAMPAIGN"
"51",24,2704.73698795399,"WHEAT","Winter Wheat",2008,2008,8,3117,"CHAMPAIGN"
"53",28,28.088292476767,"OATS","Row Crops",2008,2008,8,304,"CHAMPAIGN"
"54",36,92.2084189473944,"ALFALFA","Alfalfa",2008,2008,8,1475,"CHAMPAIGN"
"58",1,283977.131931699,"CORN","Corn",2008,2008,7,316550,"CHAMPAIGN"
"59",5,236748.370776939,"SOYBEANS","Soy",2008,2008,7,209668,"CHAMPAIGN"
"60",24,2722.7045765731,"WHEAT","Winter Wheat",2008,2008,7,3117,"CHAMPAIGN"
"62",28,28.088292476767,"OATS","Row Crops",2008,2008,7,304,"CHAMPAIGN"
"63",36,91.992275220542,"ALFALFA","Alfalfa",2008,2008,7,1475,"CHAMPAIGN"
"67",1,284146.278407461,"CORN","Corn",2008,2008,6,316550,"CHAMPAIGN"
"68",5,236982.627511048,"SOYBEANS","Soy",2008,2008,6,209668,"CHAMPAIGN"
"69",24,2725.75875561212,"WHEAT","Winter Wheat",2008,2008,6,3117,"CHAMPAIGN"
"71",28,28.088292476767,"OATS","Row Crops",2008,2008,6,304,"CHAMPAIGN"
