"","HURON.Class","HURON.fieldacres","HURON.Commodity","HURON.Bin","HURON.Year","HURON.year","HURON.threshold","HURON.NASSacres","HURON.County"
"1",1,105674.356560516,"CORN","Corn",2008,2008,14,126079,"HURON"
"2",5,33930.7028486925,"SOYBEANS","Soy",2008,2008,14,31935,"HURON"
"3",21,53.1109342639697,"BARLEY","Row Crops",2008,2008,14,614,"HURON"
"4",24,58538.8180938706,"WHEAT","Winter Wheat",2008,2008,14,117774,"HURON"
"5",27,56.669909333075,"RYE","Rye",2008,2008,14,266,"HURON"
"6",28,638.11530959915,"OATS","Row Crops",2008,2008,14,1458,"HURON"
"7",36,15359.755317331,"HAY","Alfalfa",2008,2008,14,28174,"HURON"
"8",41,43366.7600793644,"SUGARBEETS","Sugarbeets",2008,2008,14,53239,"HURON"
"10",43,24.406293474668,"POTATOES","Potatoes",2008,2008,14,635,"HURON"
"12",1,112644.404041584,"CORN","Corn",2008,2008,13,126079,"HURON"
"13",5,35870.5615861603,"SOYBEANS","Soy",2008,2008,13,31935,"HURON"
"14",21,56.9713676598792,"BARLEY","Row Crops",2008,2008,13,614,"HURON"
"15",24,62692.891206734,"WHEAT","Winter Wheat",2008,2008,13,117774,"HURON"
"16",27,56.669909333075,"RYE","Rye",2008,2008,13,266,"HURON"
"17",28,810.885403332681,"OATS","Row Crops",2008,2008,13,1458,"HURON"
"18",36,18705.4864392926,"HAY","Alfalfa",2008,2008,13,28174,"HURON"
"19",41,45820.242150234,"SUGARBEETS","Sugarbeets",2008,2008,13,53239,"HURON"
"21",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,13,635,"HURON"
"22",50,9.80815180738403,"CUCUMBERS","Row Crops",2008,2008,13,16,"HURON"
"25",1,114102.716280353,"CORN","Corn",2008,2008,12,126079,"HURON"
"26",5,36407.5610341016,"SOYBEANS","Soy",2008,2008,12,31935,"HURON"
"27",21,64.0131900323547,"BARLEY","Row Crops",2008,2008,12,614,"HURON"
"28",24,63528.9803390068,"WHEAT","Winter Wheat",2008,2008,12,117774,"HURON"
"29",27,56.669909333075,"RYE","Rye",2008,2008,12,266,"HURON"
"30",28,826.909604002311,"OATS","Row Crops",2008,2008,12,1458,"HURON"
"31",36,19365.6226838679,"HAY","Alfalfa",2008,2008,12,28174,"HURON"
"32",41,46154.2684017992,"SUGARBEETS","Sugarbeets",2008,2008,12,53239,"HURON"
"34",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,12,635,"HURON"
"35",50,13.008090792207,"CUCUMBERS","Row Crops",2008,2008,12,16,"HURON"
"38",1,115143.145848749,"CORN","Corn",2008,2008,11,126079,"HURON"
"39",5,36739.5504260582,"SOYBEANS","Soy",2008,2008,11,31935,"HURON"
"40",21,64.0131900323547,"BARLEY","Row Crops",2008,2008,11,614,"HURON"
"41",24,64269.1187624851,"WHEAT","Winter Wheat",2008,2008,11,117774,"HURON"
"42",27,56.669909333075,"RYE","Rye",2008,2008,11,266,"HURON"
"43",28,833.47553568736,"OATS","Row Crops",2008,2008,11,1458,"HURON"
"44",36,19701.1581529296,"HAY","Alfalfa",2008,2008,11,28174,"HURON"
"45",41,46393.3661109928,"SUGARBEETS","Sugarbeets",2008,2008,11,53239,"HURON"
"47",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,11,635,"HURON"
"48",50,12.5831482571167,"CUCUMBERS","Row Crops",2008,2008,11,16,"HURON"
"52",1,115865.939568379,"CORN","Corn",2008,2008,10,126079,"HURON"
"53",5,36957.1208091035,"SOYBEANS","Soy",2008,2008,10,31935,"HURON"
"54",21,64.0131900323547,"BARLEY","Row Crops",2008,2008,10,614,"HURON"
"55",24,64965.6404713245,"WHEAT","Winter Wheat",2008,2008,10,117774,"HURON"
"56",27,56.669909333075,"RYE","Rye",2008,2008,10,266,"HURON"
"57",28,837.090037228735,"OATS","Row Crops",2008,2008,10,1458,"HURON"
"58",36,19885.3991507616,"HAY","Alfalfa",2008,2008,10,28174,"HURON"
"59",41,46473.7681916935,"SUGARBEETS","Sugarbeets",2008,2008,10,53239,"HURON"
"61",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,10,635,"HURON"
"62",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,10,16,"HURON"
"66",1,116447.632189656,"CORN","Corn",2008,2008,9,126079,"HURON"
"67",5,37138.9825814793,"SOYBEANS","Soy",2008,2008,9,31935,"HURON"
"68",21,64.0131900323547,"BARLEY","Row Crops",2008,2008,9,614,"HURON"
"69",24,65324.3608037398,"WHEAT","Winter Wheat",2008,2008,9,117774,"HURON"
"70",27,56.669909333075,"RYE","Rye",2008,2008,9,266,"HURON"
"71",28,839.044761029594,"OATS","Row Crops",2008,2008,9,1458,"HURON"
"72",36,19961.1868287083,"HAY","Alfalfa",2008,2008,9,28174,"HURON"
"73",41,46561.5510982127,"SUGARBEETS","Sugarbeets",2008,2008,9,53239,"HURON"
"75",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,9,635,"HURON"
"76",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,9,16,"HURON"
"80",1,116849.702017448,"CORN","Corn",2008,2008,8,126079,"HURON"
"81",5,37239.5913873572,"SOYBEANS","Soy",2008,2008,8,31935,"HURON"
"82",21,64.0131900323547,"BARLEY","Row Crops",2008,2008,8,614,"HURON"
"83",24,65609.8868449107,"WHEAT","Winter Wheat",2008,2008,8,117774,"HURON"
"84",27,56.669909333075,"RYE","Rye",2008,2008,8,266,"HURON"
"85",28,853.929576832883,"OATS","Row Crops",2008,2008,8,1458,"HURON"
"86",36,20171.7264414177,"HAY","Alfalfa",2008,2008,8,28174,"HURON"
"87",41,46608.3257364454,"SUGARBEETS","Sugarbeets",2008,2008,8,53239,"HURON"
"89",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,8,635,"HURON"
"90",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,8,16,"HURON"
"94",1,117251.857167532,"CORN","Corn",2008,2008,7,126079,"HURON"
"95",5,37381.1646078648,"SOYBEANS","Soy",2008,2008,7,31935,"HURON"
"96",21,63.849599041637,"BARLEY","Row Crops",2008,2008,7,614,"HURON"
"97",24,65810.6482919682,"WHEAT","Winter Wheat",2008,2008,7,117774,"HURON"
"98",27,56.669909333075,"RYE","Rye",2008,2008,7,266,"HURON"
"99",28,854.964159919965,"OATS","Row Crops",2008,2008,7,1458,"HURON"
"100",36,20295.2439503,"HAY","Alfalfa",2008,2008,7,28174,"HURON"
"101",41,46647.021780626,"SUGARBEETS","Sugarbeets",2008,2008,7,53239,"HURON"
"103",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,7,635,"HURON"
"104",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,7,16,"HURON"
"108",1,117621.079308971,"CORN","Corn",2008,2008,6,126079,"HURON"
"109",5,37509.684531482,"SOYBEANS","Soy",2008,2008,6,31935,"HURON"
"110",21,63.849599041637,"BARLEY","Row Crops",2008,2008,6,614,"HURON"
"111",24,66043.4458779001,"WHEAT","Winter Wheat",2008,2008,6,117774,"HURON"
"112",27,56.669909333075,"RYE","Rye",2008,2008,6,266,"HURON"
"113",28,856.751054722501,"OATS","Row Crops",2008,2008,6,1458,"HURON"
"115",36,20407.4033938084,"HAY","Alfalfa",2008,2008,6,28174,"HURON"
"116",41,46691.1291097545,"SUGARBEETS","Sugarbeets",2008,2008,6,53239,"HURON"
"118",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,6,635,"HURON"
"119",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,6,16,"HURON"
"123",1,118034.178780951,"CORN","Corn",2008,2008,5,126079,"HURON"
"124",5,37617.4530390129,"SOYBEANS","Soy",2008,2008,5,31935,"HURON"
"125",21,63.849599041637,"BARLEY","Row Crops",2008,2008,5,614,"HURON"
"126",24,66270.3069536471,"WHEAT","Winter Wheat",2008,2008,5,117774,"HURON"
"127",27,56.669909333075,"RYE","Rye",2008,2008,5,266,"HURON"
"128",28,857.214174738778,"OATS","Row Crops",2008,2008,5,1458,"HURON"
"130",36,20573.8571741367,"HAY","Alfalfa",2008,2008,5,28174,"HURON"
"131",41,46790.249497789,"SUGARBEETS","Sugarbeets",2008,2008,5,53239,"HURON"
"133",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,5,635,"HURON"
"134",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,5,16,"HURON"
"138",1,118368.850354282,"CORN","Corn",2008,2008,4,126079,"HURON"
"139",5,37809.4166908646,"SOYBEANS","Soy",2008,2008,4,31935,"HURON"
"140",21,63.849599041637,"BARLEY","Row Crops",2008,2008,4,614,"HURON"
"141",24,66799.3466017568,"WHEAT","Winter Wheat",2008,2008,4,117774,"HURON"
"142",27,56.669909333075,"RYE","Rye",2008,2008,4,266,"HURON"
"143",28,859.207568059001,"OATS","Row Crops",2008,2008,4,1458,"HURON"
"145",36,20765.2227201,"HAY","Alfalfa",2008,2008,4,28174,"HURON"
"146",41,46877.9808132968,"SUGARBEETS","Sugarbeets",2008,2008,4,53239,"HURON"
"148",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,4,635,"HURON"
"149",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,4,16,"HURON"
"153",1,118896.883185798,"CORN","Corn",2008,2008,3,126079,"HURON"
"154",5,37945.4938923341,"SOYBEANS","Soy",2008,2008,3,31935,"HURON"
"155",21,63.849599041637,"BARLEY","Row Crops",2008,2008,3,614,"HURON"
"156",24,67138.0349014914,"WHEAT","Winter Wheat",2008,2008,3,117774,"HURON"
"157",27,56.669909333075,"RYE","Rye",2008,2008,3,266,"HURON"
"158",28,860.351934178453,"OATS","Row Crops",2008,2008,3,1458,"HURON"
"160",36,21074.0825725324,"HAY","Alfalfa",2008,2008,3,28174,"HURON"
"161",41,47004.4050164239,"SUGARBEETS","Sugarbeets",2008,2008,3,53239,"HURON"
"163",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,3,635,"HURON"
"164",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,3,16,"HURON"
"168",1,119115.142970316,"CORN","Corn",2008,2008,2,126079,"HURON"
"169",5,37967.6478386349,"SOYBEANS","Soy",2008,2008,2,31935,"HURON"
"170",21,63.849599041637,"BARLEY","Row Crops",2008,2008,2,614,"HURON"
"171",24,67632.7656139249,"WHEAT","Winter Wheat",2008,2008,2,117774,"HURON"
"172",27,56.669909333075,"RYE","Rye",2008,2008,2,266,"HURON"
"173",28,861.38600067371,"OATS","Row Crops",2008,2008,2,1458,"HURON"
"175",36,21184.7701307044,"HAY","Alfalfa",2008,2008,2,28174,"HURON"
"176",41,47051.9189981255,"SUGARBEETS","Sugarbeets",2008,2008,2,53239,"HURON"
"178",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,2,635,"HURON"
"179",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,2,16,"HURON"
"183",1,119238.935296276,"CORN","Corn",2008,2008,1,126079,"HURON"
"184",5,37976.8178167435,"SOYBEANS","Soy",2008,2008,1,31935,"HURON"
"185",21,63.849599041637,"BARLEY","Row Crops",2008,2008,1,614,"HURON"
"186",24,67960.3169958586,"WHEAT","Winter Wheat",2008,2008,1,117774,"HURON"
"187",27,56.669909333075,"RYE","Rye",2008,2008,1,266,"HURON"
"188",28,861.359649423054,"OATS","Row Crops",2008,2008,1,1458,"HURON"
"190",36,21271.1448095979,"HAY","Alfalfa",2008,2008,1,28174,"HURON"
"191",41,47059.11626553,"SUGARBEETS","Sugarbeets",2008,2008,1,53239,"HURON"
"193",43,24.1898004767224,"POTATOES","Potatoes",2008,2008,1,635,"HURON"
"194",50,12.4142208601782,"CUCUMBERS","Row Crops",2008,2008,1,16,"HURON"
"668",1,109722.673573525,"CORN","Corn",2012,2012,14,130915,"HURON"
"669",5,40215.6059436529,"SOYBEANS","Soy",2012,2012,14,47931,"HURON"
"670",21,52.62537625703,"BARLEY","Row Crops",2012,2012,14,226,"HURON"
"671",24,50578.1066327517,"WHEAT","Winter Wheat",2012,2012,14,110424,"HURON"
"672",27,17.7089350498938,"RYE","Rye",2012,2012,14,685,"HURON"
"673",28,314.534679146089,"OATS","Row Crops",2012,2012,14,805,"HURON"
"674",36,12805.5580754549,"HAY","Alfalfa",2012,2012,14,21197,"HURON"
"675",41,50237.8131457542,"SUGARBEETS","Sugarbeets",2012,2012,14,55896,"HURON"
"677",43,181.474229568535,"POTATOES","Potatoes",2012,2012,14,4,"HURON"
"680",1,116730.085021415,"CORN","Corn",2012,2012,13,130915,"HURON"
"681",5,42359.1473262679,"SOYBEANS","Soy",2012,2012,13,47931,"HURON"
"682",21,56.0113987600793,"BARLEY","Row Crops",2012,2012,13,226,"HURON"
"683",24,53991.4430373747,"WHEAT","Winter Wheat",2012,2012,13,110424,"HURON"
"684",27,32.2742983837158,"RYE","Rye",2012,2012,13,685,"HURON"
"685",28,369.786623311807,"OATS","Row Crops",2012,2012,13,805,"HURON"
"686",36,17185.9961105869,"HAY","Alfalfa",2012,2012,13,21197,"HURON"
"687",41,52838.2298273206,"SUGARBEETS","Sugarbeets",2012,2012,13,55896,"HURON"
"689",43,209.382157264336,"POTATOES","Potatoes",2012,2012,13,4,"HURON"
"692",1,118422.312045828,"CORN","Corn",2012,2012,12,130915,"HURON"
"693",5,42868.0031783846,"SOYBEANS","Soy",2012,2012,12,47931,"HURON"
"694",21,56.9547459876135,"BARLEY","Row Crops",2012,2012,12,226,"HURON"
"695",24,54683.2605943932,"WHEAT","Winter Wheat",2012,2012,12,110424,"HURON"
"696",27,32.3798284470471,"RYE","Rye",2012,2012,12,685,"HURON"
"697",28,373.943532574841,"OATS","Row Crops",2012,2012,12,805,"HURON"
"698",36,17834.3374955641,"HAY","Alfalfa",2012,2012,12,21197,"HURON"
"699",41,53301.6448511324,"SUGARBEETS","Sugarbeets",2012,2012,12,55896,"HURON"
"701",43,229.196736459092,"POTATOES","Potatoes",2012,2012,12,4,"HURON"
"704",1,119919.891615509,"CORN","Corn",2012,2012,11,130915,"HURON"
"705",5,43270.8706486283,"SOYBEANS","Soy",2012,2012,11,47931,"HURON"
"706",21,59.4075711492664,"BARLEY","Row Crops",2012,2012,11,226,"HURON"
"707",24,55258.1932002018,"WHEAT","Winter Wheat",2012,2012,11,110424,"HURON"
"708",27,32.8251476127551,"RYE","Rye",2012,2012,11,685,"HURON"
"709",28,374.943123337642,"OATS","Row Crops",2012,2012,11,805,"HURON"
"710",36,18083.8116930578,"HAY","Alfalfa",2012,2012,11,21197,"HURON"
"711",41,53540.0358847293,"SUGARBEETS","Sugarbeets",2012,2012,11,55896,"HURON"
"713",43,232.6993407604,"POTATOES","Potatoes",2012,2012,11,4,"HURON"
"716",1,120910.039020144,"CORN","Corn",2012,2012,10,130915,"HURON"
"717",5,43520.4344903986,"SOYBEANS","Soy",2012,2012,10,47931,"HURON"
"718",21,61.0134193094446,"BARLEY","Row Crops",2012,2012,10,226,"HURON"
"719",24,55550.9630089188,"WHEAT","Winter Wheat",2012,2012,10,110424,"HURON"
"720",27,32.8251476127551,"RYE","Rye",2012,2012,10,685,"HURON"
"721",28,401.873243155544,"OATS","Row Crops",2012,2012,10,805,"HURON"
"722",36,18323.6907923011,"HAY","Alfalfa",2012,2012,10,21197,"HURON"
"723",41,53672.149098735,"SUGARBEETS","Sugarbeets",2012,2012,10,55896,"HURON"
"725",43,233.056504252105,"POTATOES","Potatoes",2012,2012,10,4,"HURON"
"728",1,121603.619402334,"CORN","Corn",2012,2012,9,130915,"HURON"
"729",5,43684.255313682,"SOYBEANS","Soy",2012,2012,9,47931,"HURON"
"730",21,61.1174709054334,"BARLEY","Row Crops",2012,2012,9,226,"HURON"
"731",24,55791.4084241371,"WHEAT","Winter Wheat",2012,2012,9,110424,"HURON"
"732",27,32.8251476127551,"RYE","Rye",2012,2012,9,685,"HURON"
"733",28,424.043539168297,"OATS","Row Crops",2012,2012,9,805,"HURON"
"734",36,18527.4277539749,"HAY","Alfalfa",2012,2012,9,21197,"HURON"
"735",41,53768.3742153394,"SUGARBEETS","Sugarbeets",2012,2012,9,55896,"HURON"
"737",43,233.790515477438,"POTATOES","Potatoes",2012,2012,9,4,"HURON"
"740",1,122058.169903661,"CORN","Corn",2012,2012,8,130915,"HURON"
"741",5,43804.1661138193,"SOYBEANS","Soy",2012,2012,8,47931,"HURON"
"742",21,61.1505138391223,"BARLEY","Row Crops",2012,2012,8,226,"HURON"
"743",24,55900.5507284455,"WHEAT","Winter Wheat",2012,2012,8,110424,"HURON"
"744",27,32.8255398678113,"RYE","Rye",2012,2012,8,685,"HURON"
"745",28,424.245358074718,"OATS","Row Crops",2012,2012,8,805,"HURON"
