"","LANGLADE.Class","LANGLADE.fieldacres","LANGLADE.Commodity","LANGLADE.Bin","LANGLADE.Year","LANGLADE.year","LANGLADE.threshold","LANGLADE.NASSacres","LANGLADE.County"
"1",1,275520.713237737,"CORN","Corn",2008,2008,14,316550,"LANGLADE"
"2",5,229152.006202239,"SOYBEANS","Soy",2008,2008,14,209668,"LANGLADE"
"3",24,2500.9464489271,"WHEAT","Winter Wheat",2008,2008,14,6234,"LANGLADE"
"5",28,27.1881643722284,"OATS","Row Crops",2008,2008,14,304,"LANGLADE"
"6",36,20.2101550259876,"HAY","Alfalfa",2008,2008,14,3532,"LANGLADE"
"9",1,278916.487372543,"CORN","Corn",2008,2008,13,316550,"LANGLADE"
"10",5,232165.045496133,"SOYBEANS","Soy",2008,2008,13,209668,"LANGLADE"
"11",24,2599.05826607974,"WHEAT","Winter Wheat",2008,2008,13,6234,"LANGLADE"
"13",28,28.088292476767,"OATS","Row Crops",2008,2008,13,304,"LANGLADE"
"14",36,67.2635749056769,"HAY","Alfalfa",2008,2008,13,3532,"LANGLADE"
"17",1,280755.270787147,"CORN","Corn",2008,2008,12,316550,"LANGLADE"
"18",5,233939.065024733,"SOYBEANS","Soy",2008,2008,12,209668,"LANGLADE"
"19",24,2627.46124502448,"WHEAT","Winter Wheat",2008,2008,12,6234,"LANGLADE"
"21",28,28.088292476767,"OATS","Row Crops",2008,2008,12,304,"LANGLADE"
"22",36,81.1312700604675,"HAY","Alfalfa",2008,2008,12,3532,"LANGLADE"
"25",1,282546.970559379,"CORN","Corn",2008,2008,11,316550,"LANGLADE"
"26",5,235689.991689054,"SOYBEANS","Soy",2008,2008,11,209668,"LANGLADE"
"27",24,2686.41250913069,"WHEAT","Winter Wheat",2008,2008,11,6234,"LANGLADE"
"29",28,28.088292476767,"OATS","Row Crops",2008,2008,11,304,"LANGLADE"
"30",36,91.6316568437939,"HAY","Alfalfa",2008,2008,11,3532,"LANGLADE"
"33",1,283257.327232368,"CORN","Corn",2008,2008,10,316550,"LANGLADE"
"34",5,236204.362398888,"SOYBEANS","Soy",2008,2008,10,209668,"LANGLADE"
"35",24,2702.25678016788,"WHEAT","Winter Wheat",2008,2008,10,6234,"LANGLADE"
"37",28,28.088292476767,"OATS","Row Crops",2008,2008,10,304,"LANGLADE"
"38",36,91.8540514342865,"HAY","Alfalfa",2008,2008,10,3532,"LANGLADE"
"41",1,283457.162849414,"CORN","Corn",2008,2008,9,316550,"LANGLADE"
"42",5,236366.477174533,"SOYBEANS","Soy",2008,2008,9,209668,"LANGLADE"
"43",24,2704.04443450459,"WHEAT","Winter Wheat",2008,2008,9,6234,"LANGLADE"
"45",28,28.088292476767,"OATS","Row Crops",2008,2008,9,304,"LANGLADE"
"46",36,91.8540514342865,"HAY","Alfalfa",2008,2008,9,3532,"LANGLADE"
"49",1,283665.58285356,"CORN","Corn",2008,2008,8,316550,"LANGLADE"
"50",5,236484.66136474,"SOYBEANS","Soy",2008,2008,8,209668,"LANGLADE"
"51",24,2704.73698795399,"WHEAT","Winter Wheat",2008,2008,8,6234,"LANGLADE"
"53",28,28.088292476767,"OATS","Row Crops",2008,2008,8,304,"LANGLADE"
"54",36,103.84374017327,"HAY","Alfalfa",2008,2008,8,3532,"LANGLADE"
"57",1,283977.131931699,"CORN","Corn",2008,2008,7,316550,"LANGLADE"
"58",5,236748.370776939,"SOYBEANS","Soy",2008,2008,7,209668,"LANGLADE"
"59",24,2722.7045765731,"WHEAT","Winter Wheat",2008,2008,7,6234,"LANGLADE"
"61",28,28.088292476767,"OATS","Row Crops",2008,2008,7,304,"LANGLADE"
"62",36,103.627596446417,"HAY","Alfalfa",2008,2008,7,3532,"LANGLADE"
"65",1,284146.278407461,"CORN","Corn",2008,2008,6,316550,"LANGLADE"
"66",5,236982.627511048,"SOYBEANS","Soy",2008,2008,6,209668,"LANGLADE"
"67",24,2725.75875561212,"WHEAT","Winter Wheat",2008,2008,6,6234,"LANGLADE"
"69",28,28.088292476767,"OATS","Row Crops",2008,2008,6,304,"LANGLADE"
"70",36,105.454425160444,"HAY","Alfalfa",2008,2008,6,3532,"LANGLADE"
"73",1,284476.199619763,"CORN","Corn",2008,2008,5,316550,"LANGLADE"
"74",5,237310.416910086,"SOYBEANS","Soy",2008,2008,5,209668,"LANGLADE"
"75",24,2727.57267272793,"WHEAT","Winter Wheat",2008,2008,5,6234,"LANGLADE"
"77",28,28.088292476767,"OATS","Row Crops",2008,2008,5,304,"LANGLADE"
"78",36,105.457127328426,"HAY","Alfalfa",2008,2008,5,3532,"LANGLADE"
"81",1,285013.583200631,"CORN","Corn",2008,2008,4,316550,"LANGLADE"
"82",5,237808.982774558,"SOYBEANS","Soy",2008,2008,4,209668,"LANGLADE"
"83",24,2736.236481039,"WHEAT","Winter Wheat",2008,2008,4,6234,"LANGLADE"
"85",28,28.088292476767,"OATS","Row Crops",2008,2008,4,304,"LANGLADE"
"86",36,122.296989659185,"HAY","Alfalfa",2008,2008,4,3532,"LANGLADE"
"89",1,286729.347560815,"CORN","Corn",2008,2008,3,316550,"LANGLADE"
"90",5,239478.671911376,"SOYBEANS","Soy",2008,2008,3,209668,"LANGLADE"
"91",24,2784.90247735105,"WHEAT","Winter Wheat",2008,2008,3,6234,"LANGLADE"
"93",28,28.088292476767,"OATS","Row Crops",2008,2008,3,304,"LANGLADE"
"94",36,109.374993995369,"HAY","Alfalfa",2008,2008,3,3532,"LANGLADE"
"97",1,287333.898628248,"CORN","Corn",2008,2008,2,316550,"LANGLADE"
"98",5,239944.844681163,"SOYBEANS","Soy",2008,2008,2,209668,"LANGLADE"
"99",24,2817.74054250437,"WHEAT","Winter Wheat",2008,2008,2,6234,"LANGLADE"
"101",28,28.088292476767,"OATS","Row Crops",2008,2008,2,304,"LANGLADE"
"102",36,108.692555622635,"HAY","Alfalfa",2008,2008,2,3532,"LANGLADE"
"105",1,288388.276006154,"CORN","Corn",2008,2008,1,316550,"LANGLADE"
"106",5,240396.99067073,"SOYBEANS","Soy",2008,2008,1,209668,"LANGLADE"
"107",24,2842.86246201322,"WHEAT","Winter Wheat",2008,2008,1,6234,"LANGLADE"
"109",28,28.088292476767,"OATS","Row Crops",2008,2008,1,304,"LANGLADE"
"110",36,108.90442945834,"HAY","Alfalfa",2008,2008,1,3532,"LANGLADE"
"113",1,290634.304780004,"CORN","Corn",2009,2009,14,299000,"LANGLADE"
"114",5,214608.337888368,"SOYBEANS","Soy",2009,2009,14,223000,"LANGLADE"
"115",24,2626.85125483943,"WHEAT","Winter Wheat",2009,2009,14,3300,"LANGLADE"
"119",1,294346.019797535,"CORN","Corn",2009,2009,13,299000,"LANGLADE"
"120",5,217337.710515331,"SOYBEANS","Soy",2009,2009,13,223000,"LANGLADE"
"121",24,2717.12234678728,"WHEAT","Winter Wheat",2009,2009,13,3300,"LANGLADE"
"126",1,296463.429035857,"CORN","Corn",2009,2009,12,299000,"LANGLADE"
"127",5,218823.254233125,"SOYBEANS","Soy",2009,2009,12,223000,"LANGLADE"
"128",24,2743.43410489366,"WHEAT","Winter Wheat",2009,2009,12,3300,"LANGLADE"
"133",1,298558.926192424,"CORN","Corn",2009,2009,11,299000,"LANGLADE"
"134",5,220257.546227828,"SOYBEANS","Soy",2009,2009,11,223000,"LANGLADE"
"135",24,2795.98119993365,"WHEAT","Winter Wheat",2009,2009,11,3300,"LANGLADE"
"140",1,299241.515031622,"CORN","Corn",2009,2009,10,299000,"LANGLADE"
"141",5,220825.3988314,"SOYBEANS","Soy",2009,2009,10,223000,"LANGLADE"
"142",24,2787.65651840996,"WHEAT","Winter Wheat",2009,2009,10,3300,"LANGLADE"
"147",1,299454.477976763,"CORN","Corn",2009,2009,9,299000,"LANGLADE"
"148",5,220974.599482212,"SOYBEANS","Soy",2009,2009,9,223000,"LANGLADE"
"149",24,2789.23245986705,"WHEAT","Winter Wheat",2009,2009,9,3300,"LANGLADE"
"154",1,299618.595204395,"CORN","Corn",2009,2009,8,299000,"LANGLADE"
"155",5,221144.060476276,"SOYBEANS","Soy",2009,2009,8,223000,"LANGLADE"
"156",24,2790.48381454848,"WHEAT","Winter Wheat",2009,2009,8,3300,"LANGLADE"
"161",1,299966.04154668,"CORN","Corn",2009,2009,7,299000,"LANGLADE"
"162",5,221385.205154604,"SOYBEANS","Soy",2009,2009,7,223000,"LANGLADE"
"163",24,2795.22689702005,"WHEAT","Winter Wheat",2009,2009,7,3300,"LANGLADE"
"168",1,300237.498749679,"CORN","Corn",2009,2009,6,299000,"LANGLADE"
"169",5,221517.347925378,"SOYBEANS","Soy",2009,2009,6,223000,"LANGLADE"
"170",24,2798.51586800876,"WHEAT","Winter Wheat",2009,2009,6,3300,"LANGLADE"
"175",1,300613.185797279,"CORN","Corn",2009,2009,5,299000,"LANGLADE"
"176",5,221777.962391311,"SOYBEANS","Soy",2009,2009,5,223000,"LANGLADE"
"177",24,2821.60792983074,"WHEAT","Winter Wheat",2009,2009,5,3300,"LANGLADE"
"182",1,301237.258064935,"CORN","Corn",2009,2009,4,299000,"LANGLADE"
"183",5,222168.318371002,"SOYBEANS","Soy",2009,2009,4,223000,"LANGLADE"
"184",24,2826.66302782223,"WHEAT","Winter Wheat",2009,2009,4,3300,"LANGLADE"
"189",1,303164.918039034,"CORN","Corn",2009,2009,3,299000,"LANGLADE"
"190",5,223610.164747192,"SOYBEANS","Soy",2009,2009,3,223000,"LANGLADE"
"191",24,2866.89795422539,"WHEAT","Winter Wheat",2009,2009,3,3300,"LANGLADE"
"196",1,303837.227025543,"CORN","Corn",2009,2009,2,299000,"LANGLADE"
"197",5,224002.013189805,"SOYBEANS","Soy",2009,2009,2,223000,"LANGLADE"
"198",24,2881.57935649264,"WHEAT","Winter Wheat",2009,2009,2,3300,"LANGLADE"
"203",1,304799.156746743,"CORN","Corn",2009,2009,1,299000,"LANGLADE"
"204",5,224498.117102338,"SOYBEANS","Soy",2009,2009,1,223000,"LANGLADE"
"205",24,2901.11062392288,"WHEAT","Winter Wheat",2009,2009,1,3300,"LANGLADE"
"210",1,275821.080335981,"CORN","Corn",2010,2010,14,290000,"LANGLADE"
"211",5,231666.05642984,"SOYBEANS","Soy",2010,2010,14,244500,"LANGLADE"
"214",36,24.285901215957,"HAY","Alfalfa",2010,2010,14,1800,"LANGLADE"
"215",1,279330.760105216,"CORN","Corn",2010,2010,13,290000,"LANGLADE"
"216",5,234643.476081603,"SOYBEANS","Soy",2010,2010,13,244500,"LANGLADE"
"219",36,81.9814575869269,"HAY","Alfalfa",2010,2010,13,1800,"LANGLADE"
"220",1,281191.791404691,"CORN","Corn",2010,2010,12,290000,"LANGLADE"
"221",5,236388.890150761,"SOYBEANS","Soy",2010,2010,12,244500,"LANGLADE"
"224",36,123.967910562274,"HAY","Alfalfa",2010,2010,12,1800,"LANGLADE"
"225",1,283045.994169817,"CORN","Corn",2010,2010,11,290000,"LANGLADE"
"226",5,238083.260976711,"SOYBEANS","Soy",2010,2010,11,244500,"LANGLADE"
"229",36,183.806744246581,"HAY","Alfalfa",2010,2010,11,1800,"LANGLADE"
"230",1,283730.778601943,"CORN","Corn",2010,2010,10,290000,"LANGLADE"
"231",5,238634.955818516,"SOYBEANS","Soy",2010,2010,10,244500,"LANGLADE"
"234",36,192.952030587151,"HAY","Alfalfa",2010,2010,10,1800,"LANGLADE"
"235",1,283899.384158977,"CORN","Corn",2010,2010,9,290000,"LANGLADE"
"236",5,238826.030550641,"SOYBEANS","Soy",2010,2010,9,244500,"LANGLADE"
"239",36,193.885102928167,"HAY","Alfalfa",2010,2010,9,1800,"LANGLADE"
"240",1,284077.721123618,"CORN","Corn",2010,2010,8,290000,"LANGLADE"
"241",5,238953.337824991,"SOYBEANS","Soy",2010,2010,8,244500,"LANGLADE"
"244",36,196.111448544796,"HAY","Alfalfa",2010,2010,8,1800,"LANGLADE"
"246",1,284449.060486639,"CORN","Corn",2010,2010,7,290000,"LANGLADE"
"247",5,239173.505729917,"SOYBEANS","Soy",2010,2010,7,244500,"LANGLADE"
"250",36,195.89676796188,"HAY","Alfalfa",2010,2010,7,1800,"LANGLADE"
"252",1,284653.154399207,"CORN","Corn",2010,2010,6,290000,"LANGLADE"
"253",5,239389.275300345,"SOYBEANS","Soy",2010,2010,6,244500,"LANGLADE"
"256",36,197.99356763602,"HAY","Alfalfa",2010,2010,6,1800,"LANGLADE"
"258",1,284970.076484035,"CORN","Corn",2010,2010,5,290000,"LANGLADE"
"259",5,239718.248602815,"SOYBEANS","Soy",2010,2010,5,244500,"LANGLADE"
"262",36,209.84866954481,"HAY","Alfalfa",2010,2010,5,1800,"LANGLADE"
"264",1,285474.097131386,"CORN","Corn",2010,2010,4,290000,"LANGLADE"
"265",5,240200.242958905,"SOYBEANS","Soy",2010,2010,4,244500,"LANGLADE"
"268",36,283.659531049769,"HAY","Alfalfa",2010,2010,4,1800,"LANGLADE"
"270",1,287229.520634456,"CORN","Corn",2010,2010,3,290000,"LANGLADE"
"271",5,241843.470120943,"SOYBEANS","Soy",2010,2010,3,244500,"LANGLADE"
"274",36,300.94545627437,"HAY","Alfalfa",2010,2010,3,1800,"LANGLADE"
"276",1,287736.380032221,"CORN","Corn",2010,2010,2,290000,"LANGLADE"
"277",5,242374.51633468,"SOYBEANS","Soy",2010,2010,2,244500,"LANGLADE"
"280",36,351.660890358298,"HAY","Alfalfa",2010,2010,2,1800,"LANGLADE"
"282",1,288557.039897164,"CORN","Corn",2010,2010,1,290000,"LANGLADE"
"283",5,242981.289076624,"SOYBEANS","Soy",2010,2010,1,244500,"LANGLADE"
"286",36,369.833945186202,"HAY","Alfalfa",2010,2010,1,1800,"LANGLADE"
"289",1,290385.665794816,"CORN","Corn",2011,2011,14,302000,"LANGLADE"
"290",5,215150.20993121,"SOYBEANS","Soy",2011,2011,14,227000,"LANGLADE"
"293",36,36.868619211145,"HAY","Alfalfa",2011,2011,14,1700,"LANGLADE"
"294",1,294154.876831099,"CORN","Corn",2011,2011,13,302000,"LANGLADE"
"295",5,217813.188396812,"SOYBEANS","Soy",2011,2011,13,227000,"LANGLADE"
"298",36,113.942450931826,"HAY","Alfalfa",2011,2011,13,1700,"LANGLADE"
"299",1,296244.46350145,"CORN","Corn",2011,2011,12,302000,"LANGLADE"
"300",5,219257.585639939,"SOYBEANS","Soy",2011,2011,12,227000,"LANGLADE"
"304",36,169.4630773532,"HAY","Alfalfa",2011,2011,12,1700,"LANGLADE"
"305",1,298358.688792481,"CORN","Corn",2011,2011,11,302000,"LANGLADE"
"306",5,220663.4748289,"SOYBEANS","Soy",2011,2011,11,227000,"LANGLADE"
"310",36,218.541118266503,"HAY","Alfalfa",2011,2011,11,1700,"LANGLADE"
"311",1,299029.592698122,"CORN","Corn",2011,2011,10,302000,"LANGLADE"
"312",5,221214.624124219,"SOYBEANS","Soy",2011,2011,10,227000,"LANGLADE"
"316",36,240.45581691506,"HAY","Alfalfa",2011,2011,10,1700,"LANGLADE"
"317",1,299264.506165561,"CORN","Corn",2011,2011,9,302000,"LANGLADE"
"318",5,221340.071752248,"SOYBEANS","Soy",2011,2011,9,227000,"LANGLADE"
"322",36,242.156834555602,"HAY","Alfalfa",2011,2011,9,1700,"LANGLADE"
"323",1,299448.068181202,"CORN","Corn",2011,2011,8,302000,"LANGLADE"
"324",5,221485.637454364,"SOYBEANS","Soy",2011,2011,8,227000,"LANGLADE"
"328",36,252.660722013205,"HAY","Alfalfa",2011,2011,8,1700,"LANGLADE"
"329",1,299740.11490579,"CORN","Corn",2011,2011,7,302000,"LANGLADE"
"330",5,221748.357232846,"SOYBEANS","Soy",2011,2011,7,227000,"LANGLADE"
"334",36,288.582155875807,"HAY","Alfalfa",2011,2011,7,1700,"LANGLADE"
"335",1,299993.467602794,"CORN","Corn",2011,2011,6,302000,"LANGLADE"
"336",5,221882.53153195,"SOYBEANS","Soy",2011,2011,6,227000,"LANGLADE"
"340",36,315.963285302673,"HAY","Alfalfa",2011,2011,6,1700,"LANGLADE"
"341",1,300380.385880168,"CORN","Corn",2011,2011,5,302000,"LANGLADE"
"342",5,222113.289786771,"SOYBEANS","Soy",2011,2011,5,227000,"LANGLADE"
"346",36,355.157815527921,"HAY","Alfalfa",2011,2011,5,1700,"LANGLADE"
"347",1,300994.500744145,"CORN","Corn",2011,2011,4,302000,"LANGLADE"
