"","LANGLADE.Class","LANGLADE.fieldacres","LANGLADE.Commodity","LANGLADE.Bin","LANGLADE.Year","LANGLADE.year","LANGLADE.threshold","LANGLADE.NASSacres","LANGLADE.County"
"1",1,6911.18554155781,"CORN","Corn",2008,2008,14,15223,"LANGLADE"
"2",5,1753.08754889098,"SOYBEANS","Soy",2008,2008,14,3101,"LANGLADE"
"3",6,86.6600042983942,"SUNFLOWER","Row Crops",2008,2008,14,320,"LANGLADE"
"4",12,1057.66247092666,"SWEET CORN","Sweet Corn",2008,2008,14,3091,"LANGLADE"
"5",21,133.996567385136,"BARLEY","Row Crops",2008,2008,14,465,"LANGLADE"
"7",24,3124.75665952909,"WHEAT","Winter Wheat",2008,2008,14,2017,"LANGLADE"
"8",28,4581.83072177579,"OATS","Row Crops",2008,2008,14,8414,"LANGLADE"
"9",36,9975.62893527415,"HAY","Alfalfa",2008,2008,14,24438,"LANGLADE"
"11",43,8715.05142334285,"POTATOES","Potatoes",2008,2008,14,20430,"LANGLADE"
"12",53,1881.26501215613,"PEAS","Row Crops",2008,2008,14,2342,"LANGLADE"
"16",1,8351.82216783261,"CORN","Corn",2008,2008,13,15223,"LANGLADE"
"17",5,1941.80880916718,"SOYBEANS","Soy",2008,2008,13,3101,"LANGLADE"
"18",6,92.8488790611939,"SUNFLOWER","Row Crops",2008,2008,13,320,"LANGLADE"
"19",12,1098.74704434426,"SWEET CORN","Sweet Corn",2008,2008,13,3091,"LANGLADE"
"20",21,135.28300584866,"BARLEY","Row Crops",2008,2008,13,465,"LANGLADE"
"22",24,3555.54820906221,"WHEAT","Winter Wheat",2008,2008,13,2017,"LANGLADE"
"23",28,4896.15941483336,"OATS","Row Crops",2008,2008,13,8414,"LANGLADE"
"24",36,12534.1389909062,"HAY","Alfalfa",2008,2008,13,24438,"LANGLADE"
"26",43,9104.28637955976,"POTATOES","Potatoes",2008,2008,13,20430,"LANGLADE"
"27",53,2007.45021141795,"PEAS","Row Crops",2008,2008,13,2342,"LANGLADE"
"32",1,8751.50098849003,"CORN","Corn",2008,2008,12,15223,"LANGLADE"
"34",5,1969.58403595793,"SOYBEANS","Soy",2008,2008,12,3101,"LANGLADE"
"35",6,98.358409632984,"SUNFLOWER","Row Crops",2008,2008,12,320,"LANGLADE"
"36",12,1128.88530590484,"SWEET CORN","Sweet Corn",2008,2008,12,3091,"LANGLADE"
"37",21,146.451033270204,"BARLEY","Row Crops",2008,2008,12,465,"LANGLADE"
"39",24,3643.60005399132,"WHEAT","Winter Wheat",2008,2008,12,2017,"LANGLADE"
"40",28,4979.2577634319,"OATS","Row Crops",2008,2008,12,8414,"LANGLADE"
"41",36,13508.3371437011,"HAY","Alfalfa",2008,2008,12,24438,"LANGLADE"
"43",43,9220.9747016716,"POTATOES","Potatoes",2008,2008,12,20430,"LANGLADE"
"44",53,2028.25400456421,"PEAS","Row Crops",2008,2008,12,2342,"LANGLADE"
"49",1,8868.85261483691,"CORN","Corn",2008,2008,11,15223,"LANGLADE"
"51",5,1978.12054935895,"SOYBEANS","Soy",2008,2008,11,3101,"LANGLADE"
"52",6,98.9286992868445,"SUNFLOWER","Row Crops",2008,2008,11,320,"LANGLADE"
"53",12,1143.35931220959,"SWEET CORN","Sweet Corn",2008,2008,11,3091,"LANGLADE"
"54",21,146.483204670108,"BARLEY","Row Crops",2008,2008,11,465,"LANGLADE"
"56",24,3663.43250329361,"WHEAT","Winter Wheat",2008,2008,11,2017,"LANGLADE"
"57",28,5027.55633246615,"OATS","Row Crops",2008,2008,11,8414,"LANGLADE"
"58",36,13941.9660866827,"HAY","Alfalfa",2008,2008,11,24438,"LANGLADE"
"60",43,9283.63170622531,"POTATOES","Potatoes",2008,2008,11,20430,"LANGLADE"
"61",53,2037.64526888035,"PEAS","Row Crops",2008,2008,11,2342,"LANGLADE"
"66",1,8942.82239309054,"CORN","Corn",2008,2008,10,15223,"LANGLADE"
"68",5,1989.62361716546,"SOYBEANS","Soy",2008,2008,10,3101,"LANGLADE"
"69",6,98.9286992868445,"SUNFLOWER","Row Crops",2008,2008,10,320,"LANGLADE"
"70",12,1146.81518856929,"SWEET CORN","Sweet Corn",2008,2008,10,3091,"LANGLADE"
"71",21,146.504291154481,"BARLEY","Row Crops",2008,2008,10,465,"LANGLADE"
"73",24,3670.60714584032,"WHEAT","Winter Wheat",2008,2008,10,2017,"LANGLADE"
"74",28,5053.51541137899,"OATS","Row Crops",2008,2008,10,8414,"LANGLADE"
"75",36,14161.0572966349,"HAY","Alfalfa",2008,2008,10,24438,"LANGLADE"
"77",43,9303.52491521442,"POTATOES","Potatoes",2008,2008,10,20430,"LANGLADE"
"78",53,2045.66686128077,"PEAS","Row Crops",2008,2008,10,2342,"LANGLADE"
"83",1,8976.41490434685,"CORN","Corn",2008,2008,9,15223,"LANGLADE"
"85",5,1990.41566889702,"SOYBEANS","Soy",2008,2008,9,3101,"LANGLADE"
"86",6,99.0970596272772,"SUNFLOWER","Row Crops",2008,2008,9,320,"LANGLADE"
"87",12,1147.54738882748,"SWEET CORN","Sweet Corn",2008,2008,9,3091,"LANGLADE"
"88",21,146.504291154481,"BARLEY","Row Crops",2008,2008,9,465,"LANGLADE"
"90",24,3674.90077176629,"WHEAT","Winter Wheat",2008,2008,9,2017,"LANGLADE"
"91",28,5057.56311338361,"OATS","Row Crops",2008,2008,9,8414,"LANGLADE"
"92",36,14302.6365034964,"HAY","Alfalfa",2008,2008,9,24438,"LANGLADE"
"94",43,9297.09945864971,"POTATOES","Potatoes",2008,2008,9,20430,"LANGLADE"
"95",53,2047.02558091288,"PEAS","Row Crops",2008,2008,9,2342,"LANGLADE"
"100",1,9008.29620364464,"CORN","Corn",2008,2008,8,15223,"LANGLADE"
"102",5,2003.49213369099,"SOYBEANS","Soy",2008,2008,8,3101,"LANGLADE"
