"","LANGLADE.Class","LANGLADE.fieldacres","LANGLADE.Commodity","LANGLADE.Bin","LANGLADE.Year","LANGLADE.year","LANGLADE.threshold","LANGLADE.NASSacres","LANGLADE.County"
"1",1,6911.18554155781,"CORN","Corn",2008,2008,14,15223,"LANGLADE"
"2",5,1753.08754889098,"SOYBEANS","Soy",2008,2008,14,3101,"LANGLADE"
"3",6,86.6600042983942,"SUNFLOWER","Row Crops",2008,2008,14,320,"LANGLADE"
"4",12,1057.66247092666,"SWEET CORN","Sweet Corn",2008,2008,14,3091,"LANGLADE"
"5",21,133.996567385136,"BARLEY","Row Crops",2008,2008,14,465,"LANGLADE"
"7",24,3124.75665952909,"WHEAT","Winter Wheat",2008,2008,14,2017,"LANGLADE"
"8",28,4581.83072177579,"OATS","Row Crops",2008,2008,14,8414,"LANGLADE"
"9",36,9440.65163236957,"ALFALFA","Alfalfa",2008,2008,14,8672,"LANGLADE"
"11",42,2692.56357912097,"DRY BEANS","Dry Beans",2008,2008,14,3057,"LANGLADE"
"12",43,8715.05142334285,"POTATOES","Potatoes",2008,2008,14,20430,"LANGLADE"
"13",53,1881.26501215613,"PEAS","Row Crops",2008,2008,14,2342,"LANGLADE"
"17",1,8351.82216783261,"CORN","Corn",2008,2008,13,15223,"LANGLADE"
"18",5,1941.80880916718,"SOYBEANS","Soy",2008,2008,13,3101,"LANGLADE"
"19",6,92.8488790611939,"SUNFLOWER","Row Crops",2008,2008,13,320,"LANGLADE"
"20",12,1098.74704434426,"SWEET CORN","Sweet Corn",2008,2008,13,3091,"LANGLADE"
"21",21,135.28300584866,"BARLEY","Row Crops",2008,2008,13,465,"LANGLADE"
"23",24,3555.54820906221,"WHEAT","Winter Wheat",2008,2008,13,2017,"LANGLADE"
"24",28,4896.15941483336,"OATS","Row Crops",2008,2008,13,8414,"LANGLADE"
"25",36,11725.2048714809,"ALFALFA","Alfalfa",2008,2008,13,8672,"LANGLADE"
"27",42,2895.30571983409,"DRY BEANS","Dry Beans",2008,2008,13,3057,"LANGLADE"
"28",43,9104.28637955976,"POTATOES","Potatoes",2008,2008,13,20430,"LANGLADE"
"29",53,2007.45021141795,"PEAS","Row Crops",2008,2008,13,2342,"LANGLADE"
"34",1,8751.50098849003,"CORN","Corn",2008,2008,12,15223,"LANGLADE"
"36",5,1969.58403595793,"SOYBEANS","Soy",2008,2008,12,3101,"LANGLADE"
"37",6,98.358409632984,"SUNFLOWER","Row Crops",2008,2008,12,320,"LANGLADE"
"38",12,1128.88530590484,"SWEET CORN","Sweet Corn",2008,2008,12,3091,"LANGLADE"
"39",21,146.451033270204,"BARLEY","Row Crops",2008,2008,12,465,"LANGLADE"
"41",24,3643.60005399132,"WHEAT","Winter Wheat",2008,2008,12,2017,"LANGLADE"
"42",28,4979.2577634319,"OATS","Row Crops",2008,2008,12,8414,"LANGLADE"
"43",36,12641.7285948092,"ALFALFA","Alfalfa",2008,2008,12,8672,"LANGLADE"
"45",42,2938.47935336918,"DRY BEANS","Dry Beans",2008,2008,12,3057,"LANGLADE"
"46",43,9220.9747016716,"POTATOES","Potatoes",2008,2008,12,20430,"LANGLADE"
"47",53,2028.25400456421,"PEAS","Row Crops",2008,2008,12,2342,"LANGLADE"
"52",1,8868.85261483691,"CORN","Corn",2008,2008,11,15223,"LANGLADE"
"54",5,1978.12054935895,"SOYBEANS","Soy",2008,2008,11,3101,"LANGLADE"
"55",6,98.9286992868445,"SUNFLOWER","Row Crops",2008,2008,11,320,"LANGLADE"
"56",12,1143.35931220959,"SWEET CORN","Sweet Corn",2008,2008,11,3091,"LANGLADE"
"57",21,146.483204670108,"BARLEY","Row Crops",2008,2008,11,465,"LANGLADE"
"59",24,3663.43250329361,"WHEAT","Winter Wheat",2008,2008,11,2017,"LANGLADE"
"60",28,5027.55633246615,"OATS","Row Crops",2008,2008,11,8414,"LANGLADE"
"61",36,13058.7825689131,"ALFALFA","Alfalfa",2008,2008,11,8672,"LANGLADE"
"63",42,2949.82443846099,"DRY BEANS","Dry Beans",2008,2008,11,3057,"LANGLADE"
"64",43,9283.63170622531,"POTATOES","Potatoes",2008,2008,11,20430,"LANGLADE"
"65",53,2037.64526888035,"PEAS","Row Crops",2008,2008,11,2342,"LANGLADE"
"70",1,8942.82239309054,"CORN","Corn",2008,2008,10,15223,"LANGLADE"
"72",5,1989.62361716546,"SOYBEANS","Soy",2008,2008,10,3101,"LANGLADE"
"73",6,98.9286992868445,"SUNFLOWER","Row Crops",2008,2008,10,320,"LANGLADE"
"74",12,1146.81518856929,"SWEET CORN","Sweet Corn",2008,2008,10,3091,"LANGLADE"
"75",21,146.504291154481,"BARLEY","Row Crops",2008,2008,10,465,"LANGLADE"
"77",24,3670.60714584032,"WHEAT","Winter Wheat",2008,2008,10,2017,"LANGLADE"
"78",28,5053.51541137899,"OATS","Row Crops",2008,2008,10,8414,"LANGLADE"
"79",36,13203.4386233492,"ALFALFA","Alfalfa",2008,2008,10,8672,"LANGLADE"
"81",42,2955.00416403418,"DRY BEANS","Dry Beans",2008,2008,10,3057,"LANGLADE"
"82",43,9303.52491521442,"POTATOES","Potatoes",2008,2008,10,20430,"LANGLADE"
"83",53,2045.66686128077,"PEAS","Row Crops",2008,2008,10,2342,"LANGLADE"
"88",1,8976.41490434685,"CORN","Corn",2008,2008,9,15223,"LANGLADE"
"90",5,1990.41566889702,"SOYBEANS","Soy",2008,2008,9,3101,"LANGLADE"
"91",6,99.0970596272772,"SUNFLOWER","Row Crops",2008,2008,9,320,"LANGLADE"
"92",12,1147.54738882748,"SWEET CORN","Sweet Corn",2008,2008,9,3091,"LANGLADE"
"93",21,146.504291154481,"BARLEY","Row Crops",2008,2008,9,465,"LANGLADE"
"95",24,3674.90077176629,"WHEAT","Winter Wheat",2008,2008,9,2017,"LANGLADE"
