"","MCHENRY.Class","MCHENRY.fieldacres","MCHENRY.Commodity","MCHENRY.Bin","MCHENRY.Year","MCHENRY.year","MCHENRY.threshold","MCHENRY.NASSacres","MCHENRY.County"
"1",1,58130.5757475436,"CORN","Corn",2008,2008,14,128786,"MCHENRY"
"2",5,22639.6953038325,"SOYBEANS","Soy",2008,2008,14,42668,"MCHENRY"
"3",24,2257.84315941852,"WHEAT","Winter Wheat",2008,2008,14,15316,"MCHENRY"
"4",36,144.474316279749,"HAY","Alfalfa",2008,2008,14,23276,"MCHENRY"
"6",1,63245.0600670865,"CORN","Corn",2008,2008,13,128786,"MCHENRY"
"7",5,25147.4490312828,"SOYBEANS","Soy",2008,2008,13,42668,"MCHENRY"
"8",12,33.7934121761029,"SWEET CORN","Sweet Corn",2008,2008,13,1302,"MCHENRY"
"9",24,2802.40511541018,"WHEAT","Winter Wheat",2008,2008,13,15316,"MCHENRY"
"10",28,24.0322746890887,"OATS","Row Crops",2008,2008,13,601,"MCHENRY"
"11",36,226.325420338473,"HAY","Alfalfa",2008,2008,13,23276,"MCHENRY"
"14",1,65651.303544129,"CORN","Corn",2008,2008,12,128786,"MCHENRY"
"15",5,26455.8488491841,"SOYBEANS","Soy",2008,2008,12,42668,"MCHENRY"
"16",12,52.9828947208582,"SWEET CORN","Sweet Corn",2008,2008,12,1302,"MCHENRY"
"17",24,3097.52327286054,"WHEAT","Winter Wheat",2008,2008,12,15316,"MCHENRY"
"18",28,24.0322746890887,"OATS","Row Crops",2008,2008,12,601,"MCHENRY"
"19",36,277.721333239213,"HAY","Alfalfa",2008,2008,12,23276,"MCHENRY"
"22",1,68345.7563608777,"CORN","Corn",2008,2008,11,128786,"MCHENRY"
"23",5,27687.0537416982,"SOYBEANS","Soy",2008,2008,11,42668,"MCHENRY"
"24",12,59.8154840716589,"SWEET CORN","Sweet Corn",2008,2008,11,1302,"MCHENRY"
"25",24,3350.31288028092,"WHEAT","Winter Wheat",2008,2008,11,15316,"MCHENRY"
"26",28,24.0322746890887,"OATS","Row Crops",2008,2008,11,601,"MCHENRY"
"27",36,299.400840594437,"HAY","Alfalfa",2008,2008,11,23276,"MCHENRY"
"30",1,71469.2617376367,"CORN","Corn",2008,2008,10,128786,"MCHENRY"
"31",5,28407.0405850153,"SOYBEANS","Soy",2008,2008,10,42668,"MCHENRY"
"32",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,10,1302,"MCHENRY"
"33",24,3558.785550369,"WHEAT","Winter Wheat",2008,2008,10,15316,"MCHENRY"
"34",28,25.8487176933826,"OATS","Row Crops",2008,2008,10,601,"MCHENRY"
"35",36,314.059219263546,"HAY","Alfalfa",2008,2008,10,23276,"MCHENRY"
"38",1,72099.9800091938,"CORN","Corn",2008,2008,9,128786,"MCHENRY"
"39",5,28729.8910600101,"SOYBEANS","Soy",2008,2008,9,42668,"MCHENRY"
"40",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,9,1302,"MCHENRY"
"41",24,3632.34140627074,"WHEAT","Winter Wheat",2008,2008,9,15316,"MCHENRY"
"42",28,25.8487176933826,"OATS","Row Crops",2008,2008,9,601,"MCHENRY"
"43",36,361.368303381428,"HAY","Alfalfa",2008,2008,9,23276,"MCHENRY"
"46",1,75752.227811119,"CORN","Corn",2008,2008,8,128786,"MCHENRY"
"47",5,30394.688740322,"SOYBEANS","Soy",2008,2008,8,42668,"MCHENRY"
"48",12,85.8222721066992,"SWEET CORN","Sweet Corn",2008,2008,8,1302,"MCHENRY"
"49",24,3888.0133216406,"WHEAT","Winter Wheat",2008,2008,8,15316,"MCHENRY"
"50",28,25.8487176933826,"OATS","Row Crops",2008,2008,8,601,"MCHENRY"
"51",36,470.831688240948,"HAY","Alfalfa",2008,2008,8,23276,"MCHENRY"
"54",1,77090.7607441788,"CORN","Corn",2008,2008,7,128786,"MCHENRY"
"55",5,31122.7271824654,"SOYBEANS","Soy",2008,2008,7,42668,"MCHENRY"
"56",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,7,1302,"MCHENRY"
"57",24,4020.68557870454,"WHEAT","Winter Wheat",2008,2008,7,15316,"MCHENRY"
"58",28,25.8487176933826,"OATS","Row Crops",2008,2008,7,601,"MCHENRY"
"59",36,531.017923140594,"HAY","Alfalfa",2008,2008,7,23276,"MCHENRY"
"62",1,77438.6986652123,"CORN","Corn",2008,2008,6,128786,"MCHENRY"
"63",5,31329.5653853691,"SOYBEANS","Soy",2008,2008,6,42668,"MCHENRY"
"64",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,6,1302,"MCHENRY"
"65",24,4052.05485197917,"WHEAT","Winter Wheat",2008,2008,6,15316,"MCHENRY"
"66",28,25.8487176933826,"OATS","Row Crops",2008,2008,6,601,"MCHENRY"
"67",36,522.26747581072,"HAY","Alfalfa",2008,2008,6,23276,"MCHENRY"
"70",1,79505.9191626275,"CORN","Corn",2008,2008,5,128786,"MCHENRY"
"71",5,32238.4909875438,"SOYBEANS","Soy",2008,2008,5,42668,"MCHENRY"
"72",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,5,1302,"MCHENRY"
"73",24,4152.10073592596,"WHEAT","Winter Wheat",2008,2008,5,15316,"MCHENRY"
"74",28,25.8487176933826,"OATS","Row Crops",2008,2008,5,601,"MCHENRY"
"75",36,536.192242025017,"HAY","Alfalfa",2008,2008,5,23276,"MCHENRY"
"78",1,83782.858194188,"CORN","Corn",2008,2008,4,128786,"MCHENRY"
"79",5,34681.5605582396,"SOYBEANS","Soy",2008,2008,4,42668,"MCHENRY"
"80",12,86.6592071193243,"SWEET CORN","Sweet Corn",2008,2008,4,1302,"MCHENRY"
"81",24,4643.3377840589,"WHEAT","Winter Wheat",2008,2008,4,15316,"MCHENRY"
"82",28,25.8487176933826,"OATS","Row Crops",2008,2008,4,601,"MCHENRY"
"83",36,573.943415928083,"HAY","Alfalfa",2008,2008,4,23276,"MCHENRY"
"86",1,84759.6129690945,"CORN","Corn",2008,2008,3,128786,"MCHENRY"
"87",5,35184.9516824668,"SOYBEANS","Soy",2008,2008,3,42668,"MCHENRY"
"88",12,86.6996212446326,"SWEET CORN","Sweet Corn",2008,2008,3,1302,"MCHENRY"
"89",24,4717.27418983513,"WHEAT","Winter Wheat",2008,2008,3,15316,"MCHENRY"
"90",28,25.8487176933826,"OATS","Row Crops",2008,2008,3,601,"MCHENRY"
"91",36,588.570633697471,"HAY","Alfalfa",2008,2008,3,23276,"MCHENRY"
"94",1,93727.5050447767,"CORN","Corn",2008,2008,2,128786,"MCHENRY"
"95",5,39833.8607074086,"SOYBEANS","Soy",2008,2008,2,42668,"MCHENRY"
"96",12,87.2874505573877,"SWEET CORN","Sweet Corn",2008,2008,2,1302,"MCHENRY"
"97",24,5651.80192069174,"WHEAT","Winter Wheat",2008,2008,2,15316,"MCHENRY"
"98",28,25.8487176933826,"OATS","Row Crops",2008,2008,2,601,"MCHENRY"
"99",36,935.436674142452,"HAY","Alfalfa",2008,2008,2,23276,"MCHENRY"
"102",1,95957.1690795161,"CORN","Corn",2008,2008,1,128786,"MCHENRY"
"103",5,40623.9089515125,"SOYBEANS","Soy",2008,2008,1,42668,"MCHENRY"
"104",12,87.4462934339765,"SWEET CORN","Sweet Corn",2008,2008,1,1302,"MCHENRY"
"105",24,5794.4395208299,"WHEAT","Winter Wheat",2008,2008,1,15316,"MCHENRY"
"106",28,38.1743293308777,"OATS","Row Crops",2008,2008,1,601,"MCHENRY"
"107",36,970.263672780978,"HAY","Alfalfa",2008,2008,1,23276,"MCHENRY"
"381",1,57926.5426339359,"CORN","Corn",2012,2012,14,133976,"MCHENRY"
"382",5,23724.0786278318,"SOYBEANS","Soy",2012,2012,14,60250,"MCHENRY"
"383",12,216.322137265701,"SWEET CORN","Sweet Corn",2012,2012,14,1579,"MCHENRY"
"384",24,974.431153384137,"WHEAT","Winter Wheat",2012,2012,14,7368,"MCHENRY"
"385",36,336.989361673254,"HAY","Alfalfa",2012,2012,14,22814,"MCHENRY"
"387",1,63612.1913745136,"CORN","Corn",2012,2012,13,133976,"MCHENRY"
"388",5,25940.8480219617,"SOYBEANS","Soy",2012,2012,13,60250,"MCHENRY"
"389",12,239.376868134163,"SWEET CORN","Sweet Corn",2012,2012,13,1579,"MCHENRY"
