"","MCHENRY.Class","MCHENRY.fieldacres","MCHENRY.Commodity","MCHENRY.Bin","MCHENRY.Year","MCHENRY.year","MCHENRY.threshold","MCHENRY.NASSacres","MCHENRY.County"
"1",1,58130.5757475436,"CORN","Corn",2008,2008,14,128786,"MCHENRY"
"2",5,22639.6953038325,"SOYBEANS","Soy",2008,2008,14,42668,"MCHENRY"
"3",24,2257.84315941852,"WHEAT","Winter Wheat",2008,2008,14,7658,"MCHENRY"
"4",36,127.607174335226,"ALFALFA","Alfalfa",2008,2008,14,9117,"MCHENRY"
"7",1,63245.0600670865,"CORN","Corn",2008,2008,13,128786,"MCHENRY"
"8",5,25147.4490312828,"SOYBEANS","Soy",2008,2008,13,42668,"MCHENRY"
"9",12,33.7934121761029,"SWEET CORN","Sweet Corn",2008,2008,13,1302,"MCHENRY"
"10",24,2802.40511541018,"WHEAT","Winter Wheat",2008,2008,13,7658,"MCHENRY"
"11",28,24.0322746890887,"OATS","Row Crops",2008,2008,13,601,"MCHENRY"
"12",36,206.054369313719,"ALFALFA","Alfalfa",2008,2008,13,9117,"MCHENRY"
"16",1,65651.303544129,"CORN","Corn",2008,2008,12,128786,"MCHENRY"
"17",5,26455.8488491841,"SOYBEANS","Soy",2008,2008,12,42668,"MCHENRY"
"18",12,52.9828947208582,"SWEET CORN","Sweet Corn",2008,2008,12,1302,"MCHENRY"
"19",24,3097.52327286054,"WHEAT","Winter Wheat",2008,2008,12,7658,"MCHENRY"
"20",28,24.0322746890887,"OATS","Row Crops",2008,2008,12,601,"MCHENRY"
"21",36,252.735612685402,"ALFALFA","Alfalfa",2008,2008,12,9117,"MCHENRY"
"25",1,68345.7563608777,"CORN","Corn",2008,2008,11,128786,"MCHENRY"
"26",5,27687.0537416982,"SOYBEANS","Soy",2008,2008,11,42668,"MCHENRY"
"27",12,59.8154840716589,"SWEET CORN","Sweet Corn",2008,2008,11,1302,"MCHENRY"
"28",24,3350.31288028092,"WHEAT","Winter Wheat",2008,2008,11,7658,"MCHENRY"
"29",28,24.0322746890887,"OATS","Row Crops",2008,2008,11,601,"MCHENRY"
"30",36,274.426048675516,"ALFALFA","Alfalfa",2008,2008,11,9117,"MCHENRY"
"34",1,71469.2617376367,"CORN","Corn",2008,2008,10,128786,"MCHENRY"
"35",5,28407.0405850153,"SOYBEANS","Soy",2008,2008,10,42668,"MCHENRY"
"36",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,10,1302,"MCHENRY"
"37",24,3558.785550369,"WHEAT","Winter Wheat",2008,2008,10,7658,"MCHENRY"
"38",28,25.8487176933826,"OATS","Row Crops",2008,2008,10,601,"MCHENRY"
"39",36,288.799394291082,"ALFALFA","Alfalfa",2008,2008,10,9117,"MCHENRY"
"43",1,72099.9800091938,"CORN","Corn",2008,2008,9,128786,"MCHENRY"
"44",5,28729.8910600101,"SOYBEANS","Soy",2008,2008,9,42668,"MCHENRY"
"45",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,9,1302,"MCHENRY"
"46",24,3632.34140627074,"WHEAT","Winter Wheat",2008,2008,9,7658,"MCHENRY"
"47",28,25.8487176933826,"OATS","Row Crops",2008,2008,9,601,"MCHENRY"
"48",36,336.393511462508,"ALFALFA","Alfalfa",2008,2008,9,9117,"MCHENRY"
"52",1,75752.227811119,"CORN","Corn",2008,2008,8,128786,"MCHENRY"
"53",5,30394.688740322,"SOYBEANS","Soy",2008,2008,8,42668,"MCHENRY"
"54",12,85.8222721066992,"SWEET CORN","Sweet Corn",2008,2008,8,1302,"MCHENRY"
"55",24,3888.0133216406,"WHEAT","Winter Wheat",2008,2008,8,7658,"MCHENRY"
"56",28,25.8487176933826,"OATS","Row Crops",2008,2008,8,601,"MCHENRY"
"57",36,434.32094804613,"ALFALFA","Alfalfa",2008,2008,8,9117,"MCHENRY"
"61",1,77090.7607441788,"CORN","Corn",2008,2008,7,128786,"MCHENRY"
"62",5,31122.7271824654,"SOYBEANS","Soy",2008,2008,7,42668,"MCHENRY"
"63",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,7,1302,"MCHENRY"
"64",24,4020.68557870454,"WHEAT","Winter Wheat",2008,2008,7,7658,"MCHENRY"
"65",28,25.8487176933826,"OATS","Row Crops",2008,2008,7,601,"MCHENRY"
"66",36,480.16282559421,"ALFALFA","Alfalfa",2008,2008,7,9117,"MCHENRY"
"70",1,77438.6986652123,"CORN","Corn",2008,2008,6,128786,"MCHENRY"
"71",5,31329.5653853691,"SOYBEANS","Soy",2008,2008,6,42668,"MCHENRY"
"72",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,6,1302,"MCHENRY"
"73",24,4052.05485197917,"WHEAT","Winter Wheat",2008,2008,6,7658,"MCHENRY"
"74",28,25.8487176933826,"OATS","Row Crops",2008,2008,6,601,"MCHENRY"
"75",36,471.412378264335,"ALFALFA","Alfalfa",2008,2008,6,9117,"MCHENRY"
"79",1,79505.9191626275,"CORN","Corn",2008,2008,5,128786,"MCHENRY"
"80",5,32238.4909875438,"SOYBEANS","Soy",2008,2008,5,42668,"MCHENRY"
"81",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,5,1302,"MCHENRY"
"82",24,4152.10073592596,"WHEAT","Winter Wheat",2008,2008,5,7658,"MCHENRY"
"83",28,25.8487176933826,"OATS","Row Crops",2008,2008,5,601,"MCHENRY"
"84",36,493.942131302566,"ALFALFA","Alfalfa",2008,2008,5,9117,"MCHENRY"
"88",1,83782.858194188,"CORN","Corn",2008,2008,4,128786,"MCHENRY"
"89",5,34681.5605582396,"SOYBEANS","Soy",2008,2008,4,42668,"MCHENRY"
"90",12,86.6592071193243,"SWEET CORN","Sweet Corn",2008,2008,4,1302,"MCHENRY"
"91",24,4643.3377840589,"WHEAT","Winter Wheat",2008,2008,4,7658,"MCHENRY"
"92",28,25.8487176933826,"OATS","Row Crops",2008,2008,4,601,"MCHENRY"
"93",36,519.416894912545,"ALFALFA","Alfalfa",2008,2008,4,9117,"MCHENRY"
"97",1,84759.6129690945,"CORN","Corn",2008,2008,3,128786,"MCHENRY"
"98",5,35184.9516824668,"SOYBEANS","Soy",2008,2008,3,42668,"MCHENRY"
"99",12,86.6996212446326,"SWEET CORN","Sweet Corn",2008,2008,3,1302,"MCHENRY"
"100",24,4717.27418983513,"WHEAT","Winter Wheat",2008,2008,3,7658,"MCHENRY"
"101",28,25.8487176933826,"OATS","Row Crops",2008,2008,3,601,"MCHENRY"
"102",36,534.105476104904,"ALFALFA","Alfalfa",2008,2008,3,9117,"MCHENRY"
"106",1,93727.5050447767,"CORN","Corn",2008,2008,2,128786,"MCHENRY"
"107",5,39833.8607074086,"SOYBEANS","Soy",2008,2008,2,42668,"MCHENRY"
"108",12,87.2874505573877,"SWEET CORN","Sweet Corn",2008,2008,2,1302,"MCHENRY"
"109",24,5651.80192069174,"WHEAT","Winter Wheat",2008,2008,2,7658,"MCHENRY"
"110",28,25.8487176933826,"OATS","Row Crops",2008,2008,2,601,"MCHENRY"
"111",36,855.994090060919,"ALFALFA","Alfalfa",2008,2008,2,9117,"MCHENRY"
"115",1,95957.1690795161,"CORN","Corn",2008,2008,1,128786,"MCHENRY"
"116",5,40623.9089515125,"SOYBEANS","Soy",2008,2008,1,42668,"MCHENRY"
"117",12,87.4462934339765,"SWEET CORN","Sweet Corn",2008,2008,1,1302,"MCHENRY"
"118",24,5794.4395208299,"WHEAT","Winter Wheat",2008,2008,1,7658,"MCHENRY"
"119",28,38.1743293308777,"OATS","Row Crops",2008,2008,1,601,"MCHENRY"
"120",36,890.821088699445,"ALFALFA","Alfalfa",2008,2008,1,9117,"MCHENRY"
"431",1,57926.5426339359,"CORN","Corn",2012,2012,14,133976,"MCHENRY"
"432",5,23724.0786278318,"SOYBEANS","Soy",2012,2012,14,60250,"MCHENRY"
"433",12,216.322137265701,"SWEET CORN","Sweet Corn",2012,2012,14,1579,"MCHENRY"
"434",24,974.431153384137,"WHEAT","Winter Wheat",2012,2012,14,3684,"MCHENRY"
"435",36,321.500393600863,"ALFALFA","Alfalfa",2012,2012,14,10215,"MCHENRY"
"438",1,63612.1913745136,"CORN","Corn",2012,2012,13,133976,"MCHENRY"
"439",5,25940.8480219617,"SOYBEANS","Soy",2012,2012,13,60250,"MCHENRY"
