Label,Bin,Year,Hyperparameters,percentf
"Champaign County, Illinois",Corn,2008,Large,54.5
"Champaign County, Illinois",Soy,2008,Large,45.5
"Champaign County, Illinois",Corn,2012,Large,54.5
"Champaign County, Illinois",Soy,2012,Large,45.5
"Champaign County, Illinois",Corn,2017,Large,51.8
"Champaign County, Illinois",Soy,2017,Large,48.2
"Rock County, Wisconsin",Alfalfa,2008,Large,6.4
"Rock County, Wisconsin",Corn,2012,Large,64.8
"Rock County, Wisconsin",Soy,2012,Large,30.5
"Rock County, Wisconsin",Soy,2008,Large,31.5
"Rock County, Wisconsin",Corn,2008,Large,62.1
"Rock County, Wisconsin",Alfalfa,2012,Large,4.7
"Rock County, Wisconsin",Corn,2017,Large,59.6
"Rock County, Wisconsin",Soy,2017,Large,40.4
"Huron County, Michigan",Corn,2008,Large,33.9
"Huron County, Michigan",Soy,2008,Large,10.8
"Huron County, Michigan",Winter Wheat,2008,Large,19.3
"Huron County, Michigan",Sugarbeets,2008,Large,13.4
"Huron County, Michigan",Dry Beans,2008,Large,22.6
"Huron County, Michigan",Corn,2012,Large,35.2
"Huron County, Michigan",Soy,2012,Large,12.6
"Huron County, Michigan",Winter Wheat,2012,Large,16.3
"Huron County, Michigan",Sugarbeets,2012,Large,15.4
"Huron County, Michigan",Dry Beans,2012,Large,20.5
"Huron County, Michigan",Corn,2017,Large,27.1
"Huron County, Michigan",Soy,2017,Large,16.0
"Huron County, Michigan",Winter Wheat,2017,Large,19.4
"Huron County, Michigan",Sugarbeets,2017,Large,14.1
"Huron County, Michigan",Dry Beans,2017,Large,23.4
"McHenry County, Illinois",Corn,2008,Large,67.0
"McHenry County, Illinois",Soy,2008,Large,28.4
"McHenry County, Illinois",Corn,2012,Large,70.4
"McHenry County, Illinois",Soy,2012,Large,28.6
"McHenry County, Illinois",Alfalfa,2012,Large,1.0
"McHenry County, Illinois",Corn,2017,Large,57.7
"McHenry County, Illinois",Soy,2017,Large,41.5
"McHenry County, Illinois",Alfalfa,2017,Large,0.8
"McHenry County, Illinois",Winter Wheat,2008,Large,4.0
"McHenry County, Illinois",Alfalfa,2008,Large,0.6
"Van Buren County, Michigan",Soy,2012,Large,24.2
"Van Buren County, Michigan",Alfalfa,2012,Large,5.4
"Van Buren County, Michigan",Tree Crops,2012,Large,3.1
"Van Buren County, Michigan",Blueberries,2012,Large,2.0
"Van Buren County, Michigan",Corn,2017,Large,53.2
"Van Buren County, Michigan",Soy,2017,Large,41.2
"Van Buren County, Michigan",Alfalfa,2017,Large,5.7
"Van Buren County, Michigan",Corn,2008,Large,58.4
"Van Buren County, Michigan",Soy,2008,Large,32.2
"Van Buren County, Michigan",Alfalfa,2008,Large,8.0
"Van Buren County, Michigan",Blueberries,2008,Large,1.4
"Van Buren County, Michigan",Corn,2012,Large,65.3
"Waushara County, Wisconsin",Corn,2008,Large,38.7
"Waushara County, Wisconsin",Soy,2008,Large,13.5
"Waushara County, Wisconsin",Sweet Corn,2008,Large,10.1
"Waushara County, Wisconsin",Alfalfa,2008,Large,17.0
"Waushara County, Wisconsin",Dry Beans,2008,Large,9.9
"Waushara County, Wisconsin",Potatoes,2008,Large,10.9
"Waushara County, Wisconsin",Corn,2012,Large,45.0
"Waushara County, Wisconsin",Soy,2012,Large,14.9
"Waushara County, Wisconsin",Sweet Corn,2012,Large,8.7
"Waushara County, Wisconsin",Alfalfa,2012,Large,9.6
"Waushara County, Wisconsin",Dry Beans,2012,Large,6.5
"Waushara County, Wisconsin",Potatoes,2012,Large,15.2
"Waushara County, Wisconsin",Corn,2017,Large,46.8
"Waushara County, Wisconsin",Soy,2017,Large,18.7
"Waushara County, Wisconsin",Alfalfa,2017,Large,10.5
"Waushara County, Wisconsin",Dry Beans,2017,Large,11.0
"Waushara County, Wisconsin",Potatoes,2017,Large,13.0
"Oceana County, Michigan",Corn,2008,Large,47.9
"Oceana County, Michigan",Alfalfa,2008,Large,24.8
"Oceana County, Michigan",Cherries,2008,Large,24.4
"Oceana County, Michigan",Apples,2008,Large,1.9
"Oceana County, Michigan",Soy,2017,Large,11.6
"Oceana County, Michigan",Winter Wheat,2017,Large,3.1
"Oceana County, Michigan",Alfalfa,2017,Large,26.5
"Oceana County, Michigan",Cherries,2017,Large,18.9
"Oceana County, Michigan",Row Crops,2017,Large,0.8
"Oceana County, Michigan",Row Crops,2008,Large,1.0
"Oceana County, Michigan",Corn,2012,Large,39.5
"Oceana County, Michigan",Soy,2012,Large,7.6
"Oceana County, Michigan",Alfalfa,2012,Large,27.8
"Oceana County, Michigan",Cherries,2012,Large,12.7
"Oceana County, Michigan",Apples,2012,Large,4.0
"Oceana County, Michigan",Row Crops,2012,Large,8.5
"Oceana County, Michigan",Corn,2017,Large,37.3
"Oceana County, Michigan",Row Crops,2017,Large,1.8
"Langlade County, Wisconsin",Corn,2008,Large,20.5
"Langlade County, Wisconsin",Soy,2008,Large,4.5
"Langlade County, Wisconsin",Sweet Corn,2008,Large,2.6
"Langlade County, Wisconsin",Row Crops,2008,Large,11.4
"Langlade County, Wisconsin",Alfalfa,2008,Large,33.4
