"","OCEANA.Class","OCEANA.fieldacres","OCEANA.Commodity","OCEANA.Bin","OCEANA.Year","OCEANA.year","OCEANA.threshold","OCEANA.NASSacres","OCEANA.County"
"1",1,7855.64393657023,"CORN","Corn",2008,2008,14,19615,"OCEANA"
"2",5,712.418903873499,"SOYBEANS","Soy",2008,2008,14,1736,"OCEANA"
"3",24,635.880777332336,"WHEAT","Winter Wheat",2008,2008,14,3182,"OCEANA"
"4",27,62.6431698107898,"RYE","Rye",2008,2008,14,1159,"OCEANA"
"5",28,115.076144781792,"OATS","Row Crops",2008,2008,14,219,"OCEANA"
"6",36,3177.7023387951,"HAY","Alfalfa",2008,2008,14,22687,"OCEANA"
"7",50,26.5292733383728,"CUCUMBERS","Row Crops",2008,2008,14,1067,"OCEANA"
"9",66,884.987166484113,"CHERRIES","Cherries",2008,2008,14,9988,"OCEANA"
"10",68,177.551214689719,"APPLES","Apples",2008,2008,14,3685,"OCEANA"
"11",206,129.99633255579,"CARROTS","Row Crops",2008,2008,14,1386,"OCEANA"
"12",207,235.300787845685,"ASPARAGUS","Row Crops",2008,2008,14,8670,"OCEANA"
"13",222,196.45903910072,"SQUASH","Row Crops",2008,2008,14,1976,"OCEANA"
"14",242,30.5626711850269,"BLUEBERRIES","Blueberries",2008,2008,14,89,"OCEANA"
"15",1,11771.6097368387,"CORN","Corn",2008,2008,13,19615,"OCEANA"
"16",5,1057.94248318185,"SOYBEANS","Soy",2008,2008,13,1736,"OCEANA"
"17",24,1075.52351023464,"WHEAT","Winter Wheat",2008,2008,13,3182,"OCEANA"
"18",27,163.686323778511,"RYE","Rye",2008,2008,13,1159,"OCEANA"
"19",28,124.933820509374,"OATS","Row Crops",2008,2008,13,219,"OCEANA"
"20",36,5762.3719445408,"HAY","Alfalfa",2008,2008,13,22687,"OCEANA"
"22",50,26.7912475318433,"CUCUMBERS","Row Crops",2008,2008,13,1067,"OCEANA"
"25",66,3010.19613603961,"CHERRIES","Cherries",2008,2008,13,9988,"OCEANA"
"26",67,11.3421140704468,"PEACHES","Tree Crops",2008,2008,13,1888,"OCEANA"
"27",68,407.504525154038,"APPLES","Apples",2008,2008,13,3685,"OCEANA"
"28",206,138.054992063594,"CARROTS","Row Crops",2008,2008,13,1386,"OCEANA"
"29",207,320.320187211738,"ASPARAGUS","Row Crops",2008,2008,13,8670,"OCEANA"
"30",222,228.493256003664,"SQUASH","Row Crops",2008,2008,13,1976,"OCEANA"
"31",242,66.7009168810053,"BLUEBERRIES","Blueberries",2008,2008,13,89,"OCEANA"
"32",1,12808.925381383,"CORN","Corn",2008,2008,12,19615,"OCEANA"
"33",5,1236.66564943945,"SOYBEANS","Soy",2008,2008,12,1736,"OCEANA"
"34",24,1226.27137307837,"WHEAT","Winter Wheat",2008,2008,12,3182,"OCEANA"
"35",27,191.639923247155,"RYE","Rye",2008,2008,12,1159,"OCEANA"
"36",28,142.495131527189,"OATS","Row Crops",2008,2008,12,219,"OCEANA"
"37",36,6716.14997258813,"HAY","Alfalfa",2008,2008,12,22687,"OCEANA"
