"","ROCK.Class","ROCK.fieldacres","ROCK.Commodity","ROCK.Bin","ROCK.Year","ROCK.year","ROCK.threshold","ROCK.NASSacres","ROCK.County"
"1",1,520.575592820355,"CORN","Corn",2008,2008,14,3594,"ROCK"
"2",5,177.273095689576,"SOYBEANS","Soy",2008,2008,14,1724,"ROCK"
"3",1,511.302257374628,"CORN","Corn",2008,2008,13,3594,"ROCK"
"4",5,407.88934377344,"SOYBEANS","Soy",2008,2008,13,1724,"ROCK"
"5",1,513.172947829438,"CORN","Corn",2008,2008,12,3594,"ROCK"
"6",5,410.09224210579,"SOYBEANS","Soy",2008,2008,12,1724,"ROCK"
"7",1,516.490440170741,"CORN","Corn",2008,2008,11,3594,"ROCK"
"8",5,447.174629644417,"SOYBEANS","Soy",2008,2008,11,1724,"ROCK"
"9",1,530.103519624559,"CORN","Corn",2008,2008,10,3594,"ROCK"
"10",5,486.790669931701,"SOYBEANS","Soy",2008,2008,10,1724,"ROCK"
"11",1,548.125829332207,"CORN","Corn",2008,2008,9,3594,"ROCK"
"12",5,523.724143798702,"SOYBEANS","Soy",2008,2008,9,1724,"ROCK"
"13",1,565.232100625016,"CORN","Corn",2008,2008,8,3594,"ROCK"
"14",5,537.889815639622,"SOYBEANS","Soy",2008,2008,8,1724,"ROCK"
"15",1,560.148683742946,"CORN","Corn",2008,2008,7,3594,"ROCK"
"16",5,543.924614703726,"SOYBEANS","Soy",2008,2008,7,1724,"ROCK"
"17",1,581.03546067245,"CORN","Corn",2008,2008,6,3594,"ROCK"
"18",5,588.315706611621,"SOYBEANS","Soy",2008,2008,6,1724,"ROCK"
"19",1,583.628695980784,"CORN","Corn",2008,2008,5,3594,"ROCK"
"20",5,635.262996733826,"SOYBEANS","Soy",2008,2008,5,1724,"ROCK"
"21",1,624.273084237214,"CORN","Corn",2008,2008,4,3594,"ROCK"
"22",5,764.792320084365,"SOYBEANS","Soy",2008,2008,4,1724,"ROCK"
"23",1,863.647656424468,"CORN","Corn",2008,2008,3,3594,"ROCK"
"24",5,869.800261922562,"SOYBEANS","Soy",2008,2008,3,1724,"ROCK"
"25",1,858.795868294714,"CORN","Corn",2008,2008,2,3594,"ROCK"
