"","ROCK.Class","ROCK.fieldacres","ROCK.Commodity","ROCK.Bin","ROCK.Year","ROCK.year","ROCK.threshold","ROCK.NASSacres","ROCK.County"
"1",1,133856.113159079,"CORN","Corn",2008,2008,14,179918,"ROCK"
"2",5,68938.30026015,"SOYBEANS","Soy",2008,2008,14,66510,"ROCK"
"3",12,1053.14724059118,"SWEET CORN","Sweet Corn",2008,2008,14,3014,"ROCK"
"5",24,9847.27565592674,"WHEAT","Winter Wheat",2008,2008,14,22252,"ROCK"
"6",28,140.129310159824,"OATS","Row Crops",2008,2008,14,883,"ROCK"
"7",36,5584.00658843469,"HAY","Alfalfa",2008,2008,14,38488,"ROCK"
"12",1,145347.699087667,"CORN","Corn",2008,2008,13,179918,"ROCK"
"13",5,74734.2293592696,"SOYBEANS","Soy",2008,2008,13,66510,"ROCK"
"14",12,1447.79951905719,"SWEET CORN","Sweet Corn",2008,2008,13,3014,"ROCK"
"16",24,11700.9143798794,"WHEAT","Winter Wheat",2008,2008,13,22252,"ROCK"
"17",28,268.824346732159,"OATS","Row Crops",2008,2008,13,883,"ROCK"
"18",36,9473.08837695287,"HAY","Alfalfa",2008,2008,13,38488,"ROCK"
"23",1,149736.114848542,"CORN","Corn",2008,2008,12,179918,"ROCK"
"24",5,76858.9138154932,"SOYBEANS","Soy",2008,2008,12,66510,"ROCK"
"25",12,1464.57894213526,"SWEET CORN","Sweet Corn",2008,2008,12,3014,"ROCK"
"27",24,12196.5830719143,"WHEAT","Winter Wheat",2008,2008,12,22252,"ROCK"
"28",28,290.78050837505,"OATS","Row Crops",2008,2008,12,883,"ROCK"
"29",36,10895.7895781055,"HAY","Alfalfa",2008,2008,12,38488,"ROCK"
"35",1,152040.622016965,"CORN","Corn",2008,2008,11,179918,"ROCK"
"36",5,77963.2001762746,"SOYBEANS","Soy",2008,2008,11,66510,"ROCK"
"37",12,1500.15622047895,"SWEET CORN","Sweet Corn",2008,2008,11,3014,"ROCK"
"39",24,12374.2166201983,"WHEAT","Winter Wheat",2008,2008,11,22252,"ROCK"
"40",28,291.167376469808,"OATS","Row Crops",2008,2008,11,883,"ROCK"
"41",36,11588.7618421292,"HAY","Alfalfa",2008,2008,11,38488,"ROCK"
"47",1,152980.450135985,"CORN","Corn",2008,2008,10,179918,"ROCK"
"48",5,78517.7940647084,"SOYBEANS","Soy",2008,2008,10,66510,"ROCK"
"49",12,1501.08170363178,"SWEET CORN","Sweet Corn",2008,2008,10,3014,"ROCK"
"51",24,12478.8285472258,"WHEAT","Winter Wheat",2008,2008,10,22252,"ROCK"
"52",28,291.232067545292,"OATS","Row Crops",2008,2008,10,883,"ROCK"
"53",36,12125.5674585195,"HAY","Alfalfa",2008,2008,10,38488,"ROCK"
"59",1,153421.0460148,"CORN","Corn",2008,2008,9,179918,"ROCK"
"60",5,78702.6410877942,"SOYBEANS","Soy",2008,2008,9,66510,"ROCK"
"61",12,1501.95022416536,"SWEET CORN","Sweet Corn",2008,2008,9,3014,"ROCK"
"63",24,12532.2961457643,"WHEAT","Winter Wheat",2008,2008,9,22252,"ROCK"
"64",28,326.824559044647,"OATS","Row Crops",2008,2008,9,883,"ROCK"
"65",36,12468.9769139274,"HAY","Alfalfa",2008,2008,9,38488,"ROCK"
"71",1,153961.691405377,"CORN","Corn",2008,2008,8,179918,"ROCK"
"72",5,78954.7086019491,"SOYBEANS","Soy",2008,2008,8,66510,"ROCK"
