"","ROCK.Class","ROCK.fieldacres","ROCK.Commodity","ROCK.Bin","ROCK.Year","ROCK.year","ROCK.threshold","ROCK.NASSacres","ROCK.County"
"1",1,133856.113159079,"CORN","Corn",2008,2008,14,179918,"ROCK"
"2",5,68938.30026015,"SOYBEANS","Soy",2008,2008,14,66510,"ROCK"
"3",12,1053.14724059118,"SWEET CORN","Sweet Corn",2008,2008,14,3014,"ROCK"
"5",24,9847.27565592674,"WHEAT","Winter Wheat",2008,2008,14,11126,"ROCK"
"6",28,140.129310159824,"OATS","Row Crops",2008,2008,14,883,"ROCK"
"7",36,5491.78796461185,"ALFALFA","Alfalfa",2008,2008,14,18227,"ROCK"
"9",42,320.081643289946,"DRY BEANS","Dry Beans",2008,2008,14,7,"ROCK"
"13",1,145347.699087667,"CORN","Corn",2008,2008,13,179918,"ROCK"
"14",5,74734.2293592696,"SOYBEANS","Soy",2008,2008,13,66510,"ROCK"
"15",12,1447.79951905719,"SWEET CORN","Sweet Corn",2008,2008,13,3014,"ROCK"
"17",24,11700.9143798794,"WHEAT","Winter Wheat",2008,2008,13,11126,"ROCK"
"18",28,268.824346732159,"OATS","Row Crops",2008,2008,13,883,"ROCK"
"19",36,9368.91642825063,"ALFALFA","Alfalfa",2008,2008,13,18227,"ROCK"
"21",42,364.437893935796,"DRY BEANS","Dry Beans",2008,2008,13,7,"ROCK"
"25",1,149736.114848542,"CORN","Corn",2008,2008,12,179918,"ROCK"
"26",5,76858.9138154932,"SOYBEANS","Soy",2008,2008,12,66510,"ROCK"
"27",12,1464.57894213526,"SWEET CORN","Sweet Corn",2008,2008,12,3014,"ROCK"
"29",24,12196.5830719143,"WHEAT","Winter Wheat",2008,2008,12,11126,"ROCK"
"30",28,290.78050837505,"OATS","Row Crops",2008,2008,12,883,"ROCK"
"31",36,10778.5864520904,"ALFALFA","Alfalfa",2008,2008,12,18227,"ROCK"
"33",42,370.107086402114,"DRY BEANS","Dry Beans",2008,2008,12,7,"ROCK"
"38",1,152040.622016965,"CORN","Corn",2008,2008,11,179918,"ROCK"
"39",5,77963.2001762746,"SOYBEANS","Soy",2008,2008,11,66510,"ROCK"
"40",12,1500.15622047895,"SWEET CORN","Sweet Corn",2008,2008,11,3014,"ROCK"
"42",24,12374.2166201983,"WHEAT","Winter Wheat",2008,2008,11,11126,"ROCK"
"43",28,291.167376469808,"OATS","Row Crops",2008,2008,11,883,"ROCK"
"44",36,11380.7995045564,"ALFALFA","Alfalfa",2008,2008,11,18227,"ROCK"
"46",42,369.393975548135,"DRY BEANS","Dry Beans",2008,2008,11,7,"ROCK"
"51",1,152980.450135985,"CORN","Corn",2008,2008,10,179918,"ROCK"
"52",5,78517.7940647084,"SOYBEANS","Soy",2008,2008,10,66510,"ROCK"
"53",12,1501.08170363178,"SWEET CORN","Sweet Corn",2008,2008,10,3014,"ROCK"
"55",24,12478.8285472258,"WHEAT","Winter Wheat",2008,2008,10,11126,"ROCK"
"56",28,291.232067545292,"OATS","Row Crops",2008,2008,10,883,"ROCK"
"57",36,11893.3597609981,"ALFALFA","Alfalfa",2008,2008,10,18227,"ROCK"
"59",42,370.387347180018,"DRY BEANS","Dry Beans",2008,2008,10,7,"ROCK"
"64",1,153421.0460148,"CORN","Corn",2008,2008,9,179918,"ROCK"
"65",5,78702.6410877942,"SOYBEANS","Soy",2008,2008,9,66510,"ROCK"
