"","VAN.BUREN.Class","VAN.BUREN.fieldacres","VAN.BUREN.Commodity","VAN.BUREN.Bin","VAN.BUREN.Year","VAN.BUREN.year","VAN.BUREN.threshold","VAN.BUREN.NASSacres","VAN.BUREN.County"
"1",1,35896.138767493,"CORN","Corn",2008,2008,14,58185,"VAN BUREN"
"2",5,21038.5744112852,"SOYBEANS","Soy",2008,2008,14,30613,"VAN BUREN"
"3",12,41.3550606678918,"SWEET CORN","Sweet Corn",2008,2008,14,552,"VAN BUREN"
"4",24,1798.1857679534,"WHEAT","Winter Wheat",2008,2008,14,1870,"VAN BUREN"
"5",36,1834.79208587065,"HAY","Alfalfa",2008,2008,14,21083,"VAN BUREN"
"6",43,131.478656932272,"POTATOES","Potatoes",2008,2008,14,30,"VAN BUREN"
"7",54,78.3998323522845,"TOMATOES","Row Crops",2008,2008,14,199,"VAN BUREN"
"8",68,330.755886569447,"APPLES","Apples",2008,2008,14,3688,"VAN BUREN"
"9",69,1195.61119797657,"GRAPES","Tree Crops",2008,2008,14,4429,"VAN BUREN"
"10",222,22.1203179104279,"SQUASH","Row Crops",2008,2008,14,982,"VAN BUREN"
"11",1,40623.5886382175,"CORN","Corn",2008,2008,13,58185,"VAN BUREN"
"12",5,23514.7277658788,"SOYBEANS","Soy",2008,2008,13,30613,"VAN BUREN"
"13",12,43.8154289268518,"SWEET CORN","Sweet Corn",2008,2008,13,552,"VAN BUREN"
"14",24,2304.77157258287,"WHEAT","Winter Wheat",2008,2008,13,1870,"VAN BUREN"
"15",36,3783.90955962054,"HAY","Alfalfa",2008,2008,13,21083,"VAN BUREN"
"16",43,130.334136975479,"POTATOES","Potatoes",2008,2008,13,30,"VAN BUREN"
"17",50,115.787643903061,"CUCUMBERS","Row Crops",2008,2008,13,415,"VAN BUREN"
"18",54,119.765255714636,"TOMATOES","Row Crops",2008,2008,13,199,"VAN BUREN"
"19",66,13.329975611026,"CHERRIES","Cherries",2008,2008,13,1626,"VAN BUREN"
"20",68,868.7810064039,"APPLES","Apples",2008,2008,13,3688,"VAN BUREN"
"21",69,2138.49849909735,"GRAPES","Tree Crops",2008,2008,13,4429,"VAN BUREN"
"22",216,23.8526085408014,"PEPPERS","Row Crops",2008,2008,13,573,"VAN BUREN"
"23",222,37.8665052450543,"SQUASH","Row Crops",2008,2008,13,982,"VAN BUREN"
"24",242,88.8681201599139,"BLUEBERRIES","Blueberries",2008,2008,13,8615,"VAN BUREN"
"25",1,42606.7194480761,"CORN","Corn",2008,2008,12,58185,"VAN BUREN"
"26",5,24548.7015194192,"SOYBEANS","Soy",2008,2008,12,30613,"VAN BUREN"
"27",12,44.1259563268964,"SWEET CORN","Sweet Corn",2008,2008,12,552,"VAN BUREN"
"28",24,2550.70558500199,"WHEAT","Winter Wheat",2008,2008,12,1870,"VAN BUREN"
"29",36,4659.99437685804,"HAY","Alfalfa",2008,2008,12,21083,"VAN BUREN"
"30",43,132.945582070232,"POTATOES","Potatoes",2008,2008,12,30,"VAN BUREN"
"31",50,130.122808025603,"CUCUMBERS","Row Crops",2008,2008,12,415,"VAN BUREN"
"32",54,126.579493597843,"TOMATOES","Row Crops",2008,2008,12,199,"VAN BUREN"
"33",66,67.726519607713,"CHERRIES","Cherries",2008,2008,12,1626,"VAN BUREN"
"34",68,1225.67276133652,"APPLES","Apples",2008,2008,12,3688,"VAN BUREN"
"35",69,2639.99492591925,"GRAPES","Tree Crops",2008,2008,12,4429,"VAN BUREN"
"36",216,24.1437553919312,"PEPPERS","Row Crops",2008,2008,12,573,"VAN BUREN"
