"","VAN.BUREN.Class","VAN.BUREN.fieldacres","VAN.BUREN.Commodity","VAN.BUREN.Bin","VAN.BUREN.Year","VAN.BUREN.year","VAN.BUREN.threshold","VAN.BUREN.NASSacres","VAN.BUREN.County"
"1",1,35896.138767493,"CORN","Corn",2008,2008,14,58185,"VAN BUREN"
"2",5,21038.5744112852,"SOYBEANS","Soy",2008,2008,14,30613,"VAN BUREN"
"3",12,41.3550606678918,"SWEET CORN","Sweet Corn",2008,2008,14,552,"VAN BUREN"
"4",24,1798.1857679534,"WHEAT","Winter Wheat",2008,2008,14,935,"VAN BUREN"
"5",36,1781.01540096578,"ALFALFA","Alfalfa",2008,2008,14,8230,"VAN BUREN"
"7",43,131.478656932272,"POTATOES","Potatoes",2008,2008,14,30,"VAN BUREN"
"8",54,78.3998323522845,"TOMATOES","Row Crops",2008,2008,14,199,"VAN BUREN"
"9",68,330.755886569447,"APPLES","Apples",2008,2008,14,3688,"VAN BUREN"
"10",69,1195.61119797657,"GRAPES","Tree Crops",2008,2008,14,4429,"VAN BUREN"
"11",222,22.1203179104279,"SQUASH","Row Crops",2008,2008,14,982,"VAN BUREN"
"12",1,40623.5886382175,"CORN","Corn",2008,2008,13,58185,"VAN BUREN"
"13",5,23514.7277658788,"SOYBEANS","Soy",2008,2008,13,30613,"VAN BUREN"
"14",12,43.8154289268518,"SWEET CORN","Sweet Corn",2008,2008,13,552,"VAN BUREN"
"15",24,2304.77157258287,"WHEAT","Winter Wheat",2008,2008,13,935,"VAN BUREN"
"16",36,3633.59069205108,"ALFALFA","Alfalfa",2008,2008,13,8230,"VAN BUREN"
"18",43,130.334136975479,"POTATOES","Potatoes",2008,2008,13,30,"VAN BUREN"
"19",50,115.787643903061,"CUCUMBERS","Row Crops",2008,2008,13,415,"VAN BUREN"
"20",54,119.765255714636,"TOMATOES","Row Crops",2008,2008,13,199,"VAN BUREN"
"21",66,13.329975611026,"CHERRIES","Cherries",2008,2008,13,1626,"VAN BUREN"
"22",68,868.7810064039,"APPLES","Apples",2008,2008,13,3688,"VAN BUREN"
"23",69,2138.49849909735,"GRAPES","Tree Crops",2008,2008,13,4429,"VAN BUREN"
"24",216,23.8526085408014,"PEPPERS","Row Crops",2008,2008,13,573,"VAN BUREN"
"25",222,37.8665052450543,"SQUASH","Row Crops",2008,2008,13,982,"VAN BUREN"
"26",242,88.8681201599139,"BLUEBERRIES","Blueberries",2008,2008,13,8615,"VAN BUREN"
"27",1,42606.7194480761,"CORN","Corn",2008,2008,12,58185,"VAN BUREN"
"28",5,24548.7015194192,"SOYBEANS","Soy",2008,2008,12,30613,"VAN BUREN"
"29",12,44.1259563268964,"SWEET CORN","Sweet Corn",2008,2008,12,552,"VAN BUREN"
"30",24,2550.70558500199,"WHEAT","Winter Wheat",2008,2008,12,935,"VAN BUREN"
"31",36,4471.31033134292,"ALFALFA","Alfalfa",2008,2008,12,8230,"VAN BUREN"
"33",43,132.945582070232,"POTATOES","Potatoes",2008,2008,12,30,"VAN BUREN"
"34",50,130.122808025603,"CUCUMBERS","Row Crops",2008,2008,12,415,"VAN BUREN"
"35",54,126.579493597843,"TOMATOES","Row Crops",2008,2008,12,199,"VAN BUREN"
"36",66,67.726519607713,"CHERRIES","Cherries",2008,2008,12,1626,"VAN BUREN"
"37",68,1225.67276133652,"APPLES","Apples",2008,2008,12,3688,"VAN BUREN"
"38",69,2639.99492591925,"GRAPES","Tree Crops",2008,2008,12,4429,"VAN BUREN"
"39",216,24.1437553919312,"PEPPERS","Row Crops",2008,2008,12,573,"VAN BUREN"
