"","WAUSHARA.Class","WAUSHARA.fieldacres","WAUSHARA.Commodity","WAUSHARA.Bin","WAUSHARA.Year","WAUSHARA.year","WAUSHARA.threshold","WAUSHARA.NASSacres","WAUSHARA.County"
"1",1,58130.5757475436,"CORN","Corn",2008,2008,14,128786,"WAUSHARA"
"2",5,22639.6953038325,"SOYBEANS","Soy",2008,2008,14,42668,"WAUSHARA"
"3",24,2257.84315941852,"WHEAT","Winter Wheat",2008,2008,14,15316,"WAUSHARA"
"4",36,144.474316279749,"HAY","Alfalfa",2008,2008,14,23276,"WAUSHARA"
"6",1,63245.0600670865,"CORN","Corn",2008,2008,13,128786,"WAUSHARA"
"7",5,25147.4490312828,"SOYBEANS","Soy",2008,2008,13,42668,"WAUSHARA"
"8",12,33.7934121761029,"SWEET CORN","Sweet Corn",2008,2008,13,1302,"WAUSHARA"
"9",24,2802.40511541018,"WHEAT","Winter Wheat",2008,2008,13,15316,"WAUSHARA"
"10",28,24.0322746890887,"OATS","Row Crops",2008,2008,13,601,"WAUSHARA"
"11",36,226.325420338473,"HAY","Alfalfa",2008,2008,13,23276,"WAUSHARA"
"14",1,65651.303544129,"CORN","Corn",2008,2008,12,128786,"WAUSHARA"
"15",5,26455.8488491841,"SOYBEANS","Soy",2008,2008,12,42668,"WAUSHARA"
"16",12,52.9828947208582,"SWEET CORN","Sweet Corn",2008,2008,12,1302,"WAUSHARA"
"17",24,3097.52327286054,"WHEAT","Winter Wheat",2008,2008,12,15316,"WAUSHARA"
"18",28,24.0322746890887,"OATS","Row Crops",2008,2008,12,601,"WAUSHARA"
"19",36,277.721333239213,"HAY","Alfalfa",2008,2008,12,23276,"WAUSHARA"
"22",1,68345.7563608777,"CORN","Corn",2008,2008,11,128786,"WAUSHARA"
"23",5,27687.0537416982,"SOYBEANS","Soy",2008,2008,11,42668,"WAUSHARA"
"24",12,59.8154840716589,"SWEET CORN","Sweet Corn",2008,2008,11,1302,"WAUSHARA"
"25",24,3350.31288028092,"WHEAT","Winter Wheat",2008,2008,11,15316,"WAUSHARA"
"26",28,24.0322746890887,"OATS","Row Crops",2008,2008,11,601,"WAUSHARA"
"27",36,299.400840594437,"HAY","Alfalfa",2008,2008,11,23276,"WAUSHARA"
"30",1,71469.2617376367,"CORN","Corn",2008,2008,10,128786,"WAUSHARA"
"31",5,28407.0405850153,"SOYBEANS","Soy",2008,2008,10,42668,"WAUSHARA"
"32",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,10,1302,"WAUSHARA"
"33",24,3558.785550369,"WHEAT","Winter Wheat",2008,2008,10,15316,"WAUSHARA"
"34",28,25.8487176933826,"OATS","Row Crops",2008,2008,10,601,"WAUSHARA"
"35",36,314.059219263546,"HAY","Alfalfa",2008,2008,10,23276,"WAUSHARA"
"38",1,72099.9800091938,"CORN","Corn",2008,2008,9,128786,"WAUSHARA"
"39",5,28729.8910600101,"SOYBEANS","Soy",2008,2008,9,42668,"WAUSHARA"
"40",12,82.1293830497015,"SWEET CORN","Sweet Corn",2008,2008,9,1302,"WAUSHARA"
"41",24,3632.34140627074,"WHEAT","Winter Wheat",2008,2008,9,15316,"WAUSHARA"
"42",28,25.8487176933826,"OATS","Row Crops",2008,2008,9,601,"WAUSHARA"
"43",36,361.368303381428,"HAY","Alfalfa",2008,2008,9,23276,"WAUSHARA"
"46",1,75752.227811119,"CORN","Corn",2008,2008,8,128786,"WAUSHARA"
"47",5,30394.688740322,"SOYBEANS","Soy",2008,2008,8,42668,"WAUSHARA"
"48",12,85.8222721066992,"SWEET CORN","Sweet Corn",2008,2008,8,1302,"WAUSHARA"
"49",24,3888.0133216406,"WHEAT","Winter Wheat",2008,2008,8,15316,"WAUSHARA"
"50",28,25.8487176933826,"OATS","Row Crops",2008,2008,8,601,"WAUSHARA"
"51",36,470.831688240948,"HAY","Alfalfa",2008,2008,8,23276,"WAUSHARA"
"54",1,77090.7607441788,"CORN","Corn",2008,2008,7,128786,"WAUSHARA"
"55",5,31122.7271824654,"SOYBEANS","Soy",2008,2008,7,42668,"WAUSHARA"
"56",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,7,1302,"WAUSHARA"
"57",24,4020.68557870454,"WHEAT","Winter Wheat",2008,2008,7,15316,"WAUSHARA"
"58",28,25.8487176933826,"OATS","Row Crops",2008,2008,7,601,"WAUSHARA"
"59",36,531.017923140594,"HAY","Alfalfa",2008,2008,7,23276,"WAUSHARA"
"62",1,77438.6986652123,"CORN","Corn",2008,2008,6,128786,"WAUSHARA"
"63",5,31329.5653853691,"SOYBEANS","Soy",2008,2008,6,42668,"WAUSHARA"
"64",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,6,1302,"WAUSHARA"
"65",24,4052.05485197917,"WHEAT","Winter Wheat",2008,2008,6,15316,"WAUSHARA"
"66",28,25.8487176933826,"OATS","Row Crops",2008,2008,6,601,"WAUSHARA"
"67",36,522.26747581072,"HAY","Alfalfa",2008,2008,6,23276,"WAUSHARA"
"70",1,79505.9191626275,"CORN","Corn",2008,2008,5,128786,"WAUSHARA"
"71",5,32238.4909875438,"SOYBEANS","Soy",2008,2008,5,42668,"WAUSHARA"
"72",12,87.4318517574939,"SWEET CORN","Sweet Corn",2008,2008,5,1302,"WAUSHARA"
"73",24,4152.10073592596,"WHEAT","Winter Wheat",2008,2008,5,15316,"WAUSHARA"
"74",28,25.8487176933826,"OATS","Row Crops",2008,2008,5,601,"WAUSHARA"
"75",36,536.192242025017,"HAY","Alfalfa",2008,2008,5,23276,"WAUSHARA"
"78",1,83782.858194188,"CORN","Corn",2008,2008,4,128786,"WAUSHARA"
"79",5,34681.5605582396,"SOYBEANS","Soy",2008,2008,4,42668,"WAUSHARA"
"80",12,86.6592071193243,"SWEET CORN","Sweet Corn",2008,2008,4,1302,"WAUSHARA"
"81",24,4643.3377840589,"WHEAT","Winter Wheat",2008,2008,4,15316,"WAUSHARA"
"82",28,25.8487176933826,"OATS","Row Crops",2008,2008,4,601,"WAUSHARA"
"83",36,573.943415928083,"HAY","Alfalfa",2008,2008,4,23276,"WAUSHARA"
"86",1,84759.6129690945,"CORN","Corn",2008,2008,3,128786,"WAUSHARA"
"87",5,35184.9516824668,"SOYBEANS","Soy",2008,2008,3,42668,"WAUSHARA"
"88",12,86.6996212446326,"SWEET CORN","Sweet Corn",2008,2008,3,1302,"WAUSHARA"
"89",24,4717.27418983513,"WHEAT","Winter Wheat",2008,2008,3,15316,"WAUSHARA"
"90",28,25.8487176933826,"OATS","Row Crops",2008,2008,3,601,"WAUSHARA"
"91",36,588.570633697471,"HAY","Alfalfa",2008,2008,3,23276,"WAUSHARA"
"94",1,93727.5050447767,"CORN","Corn",2008,2008,2,128786,"WAUSHARA"
"95",5,39833.8607074086,"SOYBEANS","Soy",2008,2008,2,42668,"WAUSHARA"
"96",12,87.2874505573877,"SWEET CORN","Sweet Corn",2008,2008,2,1302,"WAUSHARA"
"97",24,5651.80192069174,"WHEAT","Winter Wheat",2008,2008,2,15316,"WAUSHARA"
"98",28,25.8487176933826,"OATS","Row Crops",2008,2008,2,601,"WAUSHARA"
"99",36,935.436674142452,"HAY","Alfalfa",2008,2008,2,23276,"WAUSHARA"
"102",1,95957.1690795161,"CORN","Corn",2008,2008,1,128786,"WAUSHARA"
"103",5,40623.9089515125,"SOYBEANS","Soy",2008,2008,1,42668,"WAUSHARA"
"104",12,87.4462934339765,"SWEET CORN","Sweet Corn",2008,2008,1,1302,"WAUSHARA"
"105",24,5794.4395208299,"WHEAT","Winter Wheat",2008,2008,1,15316,"WAUSHARA"
"106",28,38.1743293308777,"OATS","Row Crops",2008,2008,1,601,"WAUSHARA"
"107",36,970.263672780978,"HAY","Alfalfa",2008,2008,1,23276,"WAUSHARA"
"110",1,55171.2532936871,"CORN","Corn",2009,2009,14,96000,"WAUSHARA"
"111",5,24617.9751557099,"SOYBEANS","Soy",2009,2009,14,49900,"WAUSHARA"
"112",24,1967.69408153878,"WHEAT","Winter Wheat",2009,2009,14,6000,"WAUSHARA"
"113",36,93.4258749975531,"HAY","Alfalfa",2009,2009,14,3500,"WAUSHARA"
"116",1,60377.7542256386,"CORN","Corn",2009,2009,13,96000,"WAUSHARA"
"117",5,27013.6471049463,"SOYBEANS","Soy",2009,2009,13,49900,"WAUSHARA"
"118",24,2420.81156254316,"WHEAT","Winter Wheat",2009,2009,13,6000,"WAUSHARA"
"119",36,216.217843029011,"HAY","Alfalfa",2009,2009,13,3500,"WAUSHARA"
"122",1,62890.84594305,"CORN","Corn",2009,2009,12,96000,"WAUSHARA"
