"","WAUSHARA.Class","WAUSHARA.fieldacres","WAUSHARA.Commodity","WAUSHARA.Bin","WAUSHARA.Year","WAUSHARA.year","WAUSHARA.threshold","WAUSHARA.NASSacres","WAUSHARA.County"
"1",1,26778.6611258844,"CORN","Corn",2008,2008,14,45057,"WAUSHARA"
"2",5,9883.04535697303,"SOYBEANS","Soy",2008,2008,14,10517,"WAUSHARA"
"3",12,7517.6237319878,"SWEET CORN","Sweet Corn",2008,2008,14,7523,"WAUSHARA"
"4",24,1661.19180633063,"WHEAT","Winter Wheat",2008,2008,14,1277,"WAUSHARA"
"5",27,124.431720554108,"RYE","Rye",2008,2008,14,720,"WAUSHARA"
"6",28,75.3998034541187,"OATS","Row Crops",2008,2008,14,468,"WAUSHARA"
"8",36,5065.40392337993,"ALFALFA","Alfalfa",2008,2008,14,11379,"WAUSHARA"
"10",42,7274.75226533806,"DRY BEANS","Dry Beans",2008,2008,14,7585,"WAUSHARA"
"11",43,8133.35509829559,"POTATOES","Potatoes",2008,2008,14,9646,"WAUSHARA"
"12",50,426.274264141899,"CUCUMBERS","Row Crops",2008,2008,14,1202,"WAUSHARA"
"13",53,1444.00260208308,"PEAS","Row Crops",2008,2008,14,1904,"WAUSHARA"
"15",1,30691.0040037062,"CORN","Corn",2008,2008,13,45057,"WAUSHARA"
"16",5,10910.5366247872,"SOYBEANS","Soy",2008,2008,13,10517,"WAUSHARA"
"17",12,8968.74128667342,"SWEET CORN","Sweet Corn",2008,2008,13,7523,"WAUSHARA"
"18",24,2044.1963374651,"WHEAT","Winter Wheat",2008,2008,13,1277,"WAUSHARA"
"19",27,141.018890210989,"RYE","Rye",2008,2008,13,720,"WAUSHARA"
"20",28,79.1180257507068,"OATS","Row Crops",2008,2008,13,468,"WAUSHARA"
"22",36,7717.42415180497,"ALFALFA","Alfalfa",2008,2008,13,11379,"WAUSHARA"
"24",42,8097.64699278567,"DRY BEANS","Dry Beans",2008,2008,13,7585,"WAUSHARA"
"25",43,9676.42765477134,"POTATOES","Potatoes",2008,2008,13,9646,"WAUSHARA"
"26",50,456.47187044773,"CUCUMBERS","Row Crops",2008,2008,13,1202,"WAUSHARA"
"27",53,1879.99934339271,"PEAS","Row Crops",2008,2008,13,1904,"WAUSHARA"
"31",1,31901.3672371889,"CORN","Corn",2008,2008,12,45057,"WAUSHARA"
"32",5,11300.7028108866,"SOYBEANS","Soy",2008,2008,12,10517,"WAUSHARA"
"33",12,9088.02199433834,"SWEET CORN","Sweet Corn",2008,2008,12,7523,"WAUSHARA"
"34",24,2223.35529209199,"WHEAT","Winter Wheat",2008,2008,12,1277,"WAUSHARA"
"35",27,142.054165385121,"RYE","Rye",2008,2008,12,720,"WAUSHARA"
"36",28,81.2170304870673,"OATS","Row Crops",2008,2008,12,468,"WAUSHARA"
"38",36,8960.01585908676,"ALFALFA","Alfalfa",2008,2008,12,11379,"WAUSHARA"
"40",42,8300.94926620809,"DRY BEANS","Dry Beans",2008,2008,12,7585,"WAUSHARA"
"41",43,9802.50061171483,"POTATOES","Potatoes",2008,2008,12,9646,"WAUSHARA"
"42",50,470.024011401446,"CUCUMBERS","Row Crops",2008,2008,12,1202,"WAUSHARA"
"43",53,1918.64405169055,"PEAS","Row Crops",2008,2008,12,1904,"WAUSHARA"
"47",1,32427.0378807649,"CORN","Corn",2008,2008,11,45057,"WAUSHARA"
"48",5,11509.5342217215,"SOYBEANS","Soy",2008,2008,11,10517,"WAUSHARA"
"49",12,9170.13834902426,"SWEET CORN","Sweet Corn",2008,2008,11,7523,"WAUSHARA"
"50",24,2347.3580530259,"WHEAT","Winter Wheat",2008,2008,11,1277,"WAUSHARA"
"51",27,144.998388912966,"RYE","Rye",2008,2008,11,720,"WAUSHARA"
"52",28,82.3329621267847,"OATS","Row Crops",2008,2008,11,468,"WAUSHARA"
"54",36,9510.98994193916,"ALFALFA","Alfalfa",2008,2008,11,11379,"WAUSHARA"
"56",42,8405.21650637465,"DRY BEANS","Dry Beans",2008,2008,11,7585,"WAUSHARA"
"57",43,9853.38057694678,"POTATOES","Potatoes",2008,2008,11,9646,"WAUSHARA"
"58",50,472.447890860764,"CUCUMBERS","Row Crops",2008,2008,11,1202,"WAUSHARA"
"59",53,1924.17822827132,"PEAS","Row Crops",2008,2008,11,1904,"WAUSHARA"
"64",1,32802.1405963178,"CORN","Corn",2008,2008,10,45057,"WAUSHARA"
"65",5,11560.2773265581,"SOYBEANS","Soy",2008,2008,10,10517,"WAUSHARA"
"66",12,9210.69873301292,"SWEET CORN","Sweet Corn",2008,2008,10,7523,"WAUSHARA"
