Commodity,Year,Label,Percent (%)
Corn,2008,"Champaign County, Illinois",59.6
Soybeans,2008,"Champaign County, Illinois",39.5
Corn,2012,"Champaign County, Illinois",54.3
Soybeans,2012,"Champaign County, Illinois",44.6
Corn,2017,"Champaign County, Illinois",50.8
Soybeans,2017,"Champaign County, Illinois",48.1
Corn,2008,"DuPage County, Illinois",67.6
Soybeans,2008,"DuPage County, Illinois",32.4
Soybeans,2012,"DuPage County, Illinois",100.0
Soybeans,2017,"DuPage County, Illinois",91.4
Other Hay/Non Alfalfa,2017,"DuPage County, Illinois",5.2
Corn,2008,"McHenry County, Illinois",67.7
Soybeans,2008,"McHenry County, Illinois",22.4
Corn,2012,"McHenry County, Illinois",63.9
Soybeans,2012,"McHenry County, Illinois",28.7
Corn,2017,"McHenry County, Illinois",54.5
Soybeans,2017,"McHenry County, Illinois",37.9
Corn,2008,"Huron County, Michigan",35.0
Soybeans,2008,"Huron County, Michigan",8.9
Wheat,2008,"Huron County, Michigan",16.4
Sugarbeets,2008,"Huron County, Michigan",14.8
Dry Beans,2008,"Huron County, Michigan",20.3
Corn,2012,"Huron County, Michigan",35.3
Soybeans,2012,"Huron County, Michigan",12.9
Wheat,2012,"Huron County, Michigan",14.9
Sugarbeets,2012,"Huron County, Michigan",15.1
Dry Beans,2012,"Huron County, Michigan",18.7
Corn,2017,"Huron County, Michigan",28.6
Soybeans,2017,"Huron County, Michigan",15.7
Wheat,2017,"Huron County, Michigan",17.8
Sugarbeets,2017,"Huron County, Michigan",13.9
Dry Beans,2017,"Huron County, Michigan",20.1
Corn,2008,"Oceana County, Michigan",30.4
Alfalfa,2008,"Oceana County, Michigan",15.8
Cherries,2008,"Oceana County, Michigan",15.5
Apples,2008,"Oceana County, Michigan",5.7
Asparagus,2008,"Oceana County, Michigan",13.4
Corn,2012,"Oceana County, Michigan",38.4
Soybeans,2012,"Oceana County, Michigan",6.1
Alfalfa,2012,"Oceana County, Michigan",12.3
Cherries,2012,"Oceana County, Michigan",12.9
Apples,2012,"Oceana County, Michigan",5.6
Asparagus,2012,"Oceana County, Michigan",11.0
Corn,2017,"Oceana County, Michigan",31.4
Soybeans,2017,"Oceana County, Michigan",11.0
Wheat,2017,"Oceana County, Michigan",5.3
Alfalfa,2017,"Oceana County, Michigan",8.9
Cherries,2017,"Oceana County, Michigan",9.3
Asparagus,2017,"Oceana County, Michigan",14.9
Squash,2017,"Oceana County, Michigan",5.5
Corn,2008,"Van Buren County, Michigan",48.8
Soybeans,2008,"Van Buren County, Michigan",25.7
Alfalfa,2008,"Van Buren County, Michigan",6.9
Blueberries,2008,"Van Buren County, Michigan",7.2
Corn,2012,"Van Buren County, Michigan",61.8
Soybeans,2012,"Van Buren County, Michigan",16.0
Alfalfa,2012,"Van Buren County, Michigan",5.5
Grapes,2012,"Van Buren County, Michigan",4.0
Blueberries,2012,"Van Buren County, Michigan",6.9
Corn,2017,"Van Buren County, Michigan",52.0
Soybeans,2017,"Van Buren County, Michigan",31.7
Alfalfa,2017,"Van Buren County, Michigan",6.3
Corn,2008,"Langlade County, Wisconsin",22.7
Soybeans,2008,"Langlade County, Wisconsin",4.6
Sweet Corn,2008,"Langlade County, Wisconsin",4.6
Oats,2008,"Langlade County, Wisconsin",12.5
Alfalfa,2008,"Langlade County, Wisconsin",12.9
Dry Beans,2008,"Langlade County, Wisconsin",4.6
Potatoes,2008,"Langlade County, Wisconsin",30.4
Corn,2012,"Langlade County, Wisconsin",24.9
Soybeans,2012,"Langlade County, Wisconsin",8.3
Sweet Corn,2012,"Langlade County, Wisconsin",5.0
